feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
CAP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,4,4996,0.9467824971494337,0.0,0.9314180018220037,0.0,0.8194859259629211,0.0,2.006503196437733,1.4121834443421606e-08,29.85778654557756,0.8963970969085177,0.8963763514333292,0.0,0.9467824971494337,0.9314180018220037,0.8194859259629211
CAP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,4,4996,0.9450739684207704,0.0,0.93476317763956,0.0,0.8246752987836387,0.0,1.9807417936654357,0.014310154145095375,28.094536968850957,0.8931648057865832,0.8931434130764884,0.0,0.9450739684207704,0.93476317763956,0.8246752987836387
CAP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,4,4996,0.8245504400027589,0.0,0.8096095637770732,0.0,0.5967127400132171,0.0,1.5780310411001794,3.261126073316415e-06,-40.04447216226901,0.6798834281087431,0.6798193278740833,0.0,0.8245504400027589,0.8096095637770732,0.5967127400132171
CAP FP Equity_DX_DEMAND_SUPPLY_RATIO,4,4996,-0.5099692223504566,0.0,-0.6683729936407389,0.0,-0.4597805691460483,0.0,0.8862809890159351,-138.32057580928335,114.19137107842566,0.2600686077447293,0.2599204436693877,0.0,0.5099692223504566,0.6683729936407389,0.4597805691460483
CAP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,4,4996,0.4795932475307693,8.41848480546827e-286,0.45420411205025163,6.842449478088609e-253,0.30334177830981607,1.1322540531502938e-226,0.79705349569962,7.86274255243246e-08,63.818558569695995,0.23000968307710978,0.22985549999402544,8.418484805472738e-286,0.4795932475307693,0.45420411205025163,0.30334177830981607
CAP FP Equity_DX_BROKER_SI_QTY,4,4996,-0.4568042893441537,3.9031988604864344e-256,-0.6212894567904016,0.0,-0.4387905911248133,0.0,0.8520299602165435,-5.737233318553664e-06,114.22341247025251,0.20867015876321715,0.20851170264763108,3.903198860484172e-256,0.4568042893441537,0.6212894567904016,0.4387905911248133
CAP FP Equity_DX_SUPPLY_SI_MV,4,4996,0.4344888791818487,3.410094717489143e-229,0.3858200508437275,4.808318141655288e-177,0.25514351666339036,5.745524527104328e-161,0.7916649058043985,0.0703009895490933,65.07170285447337,0.188780586132699,0.18861814732335425,3.410094717488961e-229,0.4344888791818487,0.3858200508437275,0.25514351666339036
CAP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,4,4996,0.42179910459836456,9.439029511869102e-215,0.4656169238108505,2.430242443909455e-267,0.3089616456629129,5.862412983231341e-235,0.45354450519493916,3.579650670352419,26.270004062701528,0.17791448463998205,0.17774986999934117,9.439029511878971e-215,0.42179910459836456,0.4656169238108505,0.3089616456629129
CAP FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,4,4996,-0.42164223339172074,1.4112698641640244e-214,-0.5449598963357352,0.0,-0.35513845517780857,1.716786613856296e-309,0.8154615379550831,-5.267448485269079,112.37455998111771,0.17778217297955823,0.17761753184479234,1.4112698641710046e-214,0.42164223339172074,0.5449598963357352,0.35513845517780857
CAP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,4,4996,-0.4210146000056577,7.040072811353497e-214,-0.5412920657538779,0.0,-0.35343614513143856,1.6176486439469207e-306,0.8202334821561319,-5.582417686819904,112.23327005016499,0.17725329341792384,0.17708854638016203,7.040072811355474e-214,0.4210146000056577,0.5412920657538779,0.35343614513143856
CAP FP Equity_DX_UTILIZATION_QUANTITY,4,4996,-0.41354173288395024,1.1078640170424861e-205,-0.48445380465272314,2.0014243337154057e-292,-0.30516101234531745,3.093861469196882e-229,0.8037104919343747,-2.1003803972991024,110.0180336335201,0.1710167648366604,0.17085076899461726,1.1078640170443268e-205,0.41354173288395024,0.48445380465272314,0.30516101234531745
CAP FP Equity_DX_DSS,4,4996,-0.4023326103121437,8.999370280363711e-194,-0.4695747239377981,1.7577084341734088e-272,-0.35346584373476125,9.796314906880698e-234,0.2876023922277411,-24.653336204005996,120.59575715353881,0.16187152932058335,0.16170370223394348,8.999370280249425e-194,0.4023326103121437,0.4695747239377981,0.35346584373476125
CAP FP Equity_DX_SI_QTY,4,4996,-0.39105554859682334,3.030994889953907e-182,-0.5126404511284977,0.0,-0.33614462964322517,7.356232226830204e-278,0.7870911741491762,-3.4964062121899655e-06,111.59705265400603,0.15292444208836264,0.1527548234343955,3.03099488994982e-182,0.39105554859682334,0.5126404511284977,0.33614462964322517
CAP FP Equity_DX_ACTIVE_UTILIZATION_MV,4,4996,-0.3777035233879683,3.616934867193136e-169,-0.48656804484946703,2.434935607611979e-295,-0.3079428362346365,2.1488694707813676e-233,0.8152011290146088,-1.5292852385449298,104.96458514508547,0.14265995157968547,0.1424882775611791,3.616934867194226e-169,0.3777035233879683,0.48656804484946703,0.3079428362346365
CAP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,4,4996,-0.37547871310573594,4.768439744144468e-167,-0.4847778781297506,7.175897941106334e-293,-0.3055422905244347,8.364946347306835e-230,0.8121160075724125,-1.526120673138295,104.84347746037093,0.14098426399553943,0.14081225443686807,4.7684397441457656e-167,0.37547871310573594,0.4847778781297506,0.3055422905244347
