feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
CAT31 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,4,4986,0.40347897009727063,1.3911676364232547e-194,0.44771953582030244,1.9467661211283227e-244,0.27208072101701225,7.78609702720349e-173,1.872792690942212,6.534404962671054e-05,72.62717028665135,0.1627952793107541,0.16262730083549548,1.3911676364322826e-194,0.40347897009727063,0.44771953582030244,0.27208072101701225
CAT31 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,4,4986,0.37636169209033987,1.4827820406208005e-167,0.47218189024038904,2.3417797305626082e-275,0.29200790064772536,1.4117305061135987e-191,1.4726818718146837,36.93436385023758,74.35511418262253,0.1416481232731035,0.14147590178900904,1.4827820406204496e-167,0.37636169209033987,0.47218189024038904,0.29200790064772536
CAT31 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,4,4986,0.3008120552240788,8.408275783041121e-105,0.3518869612969983,2.7747757222280393e-145,0.19331094373629382,7.555783349115381e-87,1.7027080661240097,0.003236717668338706,74.99041952012664,0.09048789256813428,0.09030540619023864,8.408275783044403e-105,0.3008120552240788,0.3518869612969983,0.19331094373629382
CAT31 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,4,4986,-0.08938198471546094,2.5739621892887403e-10,-0.05393487743906303,0.00013882789639908745,-0.04624733757676697,5.818463869648424e-05,0.19179637719498466,-0.06744549621970962,81.21307166668277,0.007989139191675099,0.007790100094402175,2.5739621892864754e-10,0.08938198471546094,0.05393487743906303,0.04624733757676697
CAT31 FP Equity_DX_ACTIVE_UTILIZATION_MV,4,4986,-0.08938118945474965,2.574903458575433e-10,-0.053934019980403286,0.00013886196697742708,-0.04624401914473008,5.8198075902078426e-05,0.19206652792701528,-0.06744484747121696,81.21306487120752,0.007988997028345435,0.00778995790254855,2.574903458582741e-10,0.08938118945474965,0.053934019980403286,0.04624401914473008
CAT31 FP Equity_DX_UTILIZATION_QUANTITY,4,4986,-0.05596627347743917,7.686276858603844e-05,-0.05323943838926129,0.00016920332709935044,-0.04619879290986497,3.469197889457943e-05,0.31997060768972374,-0.07439660909065453,80.62717491473025,0.0031322237669518804,0.002932210168189231,7.686276858604932e-05,0.05596627347743917,0.05323943838926129,0.04619879290986497
CAT31 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,4,4986,-0.04642891048027835,0.0010404034033716467,-0.01081489675693367,0.44517231708851546,-0.010173526869378327,0.3706728071698884,0.16724189398207967,-0.261071790043724,80.4527103387216,0.0021556437283859475,0.0019554341865979374,0.0010404034033711389,0.04642891048027835,0.01081489675693367,0.010173526869378327
CAT31 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,4,4986,0.04382749639955321,0.0019652004732984437,0.014933930797249086,0.29174405836138817,0.018334466079508213,0.09670081076277075,0.4794140064952026,0.00010234650334365504,79.98198191087317,0.0019208494406528498,0.0017205927892565143,0.001965200473298088,0.04382749639955321,0.014933930797249086,0.018334466079508213
CAT31 FP Equity_DX_DEMAND_SUPPLY_RATIO,4,4986,-0.04195130450692646,0.0030484383524898065,-0.002951771047643126,0.8349342142257137,-0.011960694119316375,0.2793798228436294,0.3965939831788152,-2.5103417443189584,80.50104608309354,0.0017599119498332705,0.0015596230076081463,0.003048438352487369,0.04195130450692646,0.002951771047643126,0.011960694119316375
CAT31 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,4,4986,0.041013040302469786,0.0037736328426862206,0.00024402325469436285,0.9862558769005401,-0.005222926806019849,0.6360099343739881,0.38951036089301927,0.8817757832457898,80.01553431805668,0.0016820694748520548,0.001481764914152861,0.003773632842686531,0.041013040302469786,0.00024402325469436285,0.005222926806019849
CAT31 FP Equity_DX_SHORT_INTEREST_VALUE,4,4986,0.04078847922363024,0.003968977078979812,0.0070578794919532555,0.6183081903671097,0.008475158144264102,0.4417699068049882,0.48172276439530726,5.4107423039798554e-05,79.977760336553,0.001663700037376592,0.0014633917909956384,0.003968977078975907,0.04078847922363024,0.0070578794919532555,0.008475158144264102
CAT31 FP Equity_DX_SUPPLY_SI_MV,4,4986,0.03904440546991545,0.005827219621008658,0.034056393141864885,0.01617815376450157,0.029717454476011994,0.009429995788246237,0.12221466501553935,101.97399753033702,80.00328007322841,0.0015244655984995026,0.0013241294158347072,0.005827219621008052,0.03904440546991545,0.034056393141864885,0.029717454476011994
CAT31 FP Equity_DX_BROKER_SI_QTY,4,4986,0.03583779719339698,0.011382117673717272,0.012045764262476027,0.3951091614966924,0.009495627586125653,0.3932258571902042,0.3935010845792437,0.007452438581829915,80.01172829567916,0.0012843477076752707,0.0010839633472635724,0.011382117673723288,0.03583779719339698,0.012045764262476027,0.009495627586125653
CAT31 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,4,4986,0.03444323629318093,0.015007239270042057,-0.04002920554302471,0.004699350562859983,-0.01871394294679419,0.09223617518527344,0.3939299134126464,9.171298507692212e-05,80.00784647582832,0.0011863365263482528,0.0009859325007717246,0.015007239270052446,0.03444323629318093,0.04002920554302471,0.01871394294679419
CAT31 FP Equity_DX_SI_MV,4,4986,0.03360695590711852,0.017638690222169115,-0.050309739672372435,0.00037969105749160775,-0.034164601595960416,0.0026348870107130093,0.23518078438342171,43.73955044519377,80.01152836669935,0.0011294274853417274,0.0009290120414182645,0.017638690222166954,0.03360695590711852,0.050309739672372435,0.034164601595960416
CAT31 FP Equity_DX_SI_QTY,4,4986,0.027342636552981643,0.053534453190122344,0.0032186284322561847,0.82025566867252,-0.0002321700656203523,0.9832901413064005,0.41719303653947604,0.003168963911207175,80.0449438350762,0.0007476197736689949,0.0005471277230618687,0.05353445319013548,0.027342636552981643,0.0032186284322561847,0.0002321700656203523
CAT31 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,4,4986,0.021651658049239127,0.12635015044007752,-0.0576602447864634,4.624196874331146e-05,-0.041576123965186666,0.00026521774348755797,0.21583998755394562,35.25983657024295,80.07825761614802,0.0004687942962808833,0.0002682463015570846,0.12635015044004022,0.021651658049239127,0.0576602447864634,0.041576123965186666
CAT31 FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,4,4986,0.021651658049239127,0.12635015044007752,-0.0576602447864634,4.624196874331146e-05,-0.041576123965186666,0.00026521774348755797,0.21583998755394562,35.25983657024295,80.07825761614802,0.0004687942962808833,0.0002682463015570846,0.12635015044004022,0.021651658049239127,0.0576602447864634,0.041576123965186666
CAT31 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,4,4986,-0.019150272406829896,0.17637001610359795,0.013750332519124034,0.3316799521773741,0.014094917348789282,0.2090287407014083,0.29794127407388027,-0.013493939815061681,80.46196342275496,0.0003667329332558422,0.00016616446073047797,0.17637001610351605,0.019150272406829896,0.013750332519124034,0.014094917348789282
CAT31 FP Equity_DX_BROKER_SI_CON_RATIO,4,4986,-0.01728781607136115,0.22227322201467448,0.0130943150800922,0.35526845661585627,0.013526392746985782,0.2280105674530799,0.3005369089072567,-1.2437851049991826,80.4361313983687,0.00029886858451755316,9.828649554977087e-05,0.22227322201463118,0.01728781607136115,0.0130943150800922,0.013526392746985782
CAT31 FP Equity_DX_SUPPLY_SI_QTY,4,4986,0.01635522541801816,0.2482311105671353,-0.0472652189253038,0.0008423130934292563,-0.033743655625229046,0.002523799241860566,0.344729066469611,0.0036405866553128633,80.1111336980474,0.00026749339847398357,6.690501432449203e-05,0.24823111056720074,0.01635522541801816,0.0472652189253038,0.033743655625229046
CAT31 FP Equity_DX_SUPPLY_SI_QTY_NEW_x,4,4986,0.015550179224544807,0.2722855805942086,0.012920825753224757,0.36167940509215524,0.010558808616386903,0.36156318838745494,0.0,0.15679707663270856,80.2041390019263,0.00024180807391549486,4.121453620964388e-05,0.27228558059415914,0.015550179224544807,0.012920825753224757,0.010558808616386903
CAT31 FP Equity_DX_SUPPLY_SI_QTY_NEW_y,4,4986,0.015550179224544807,0.2722855805942086,0.012920825753224757,0.36167940509215524,0.010558808616386903,0.36156318838745494,0.0,0.15679707663270856,80.2041390019263,0.00024180807391549486,4.121453620964388e-05,0.27228558059415914,0.015550179224544807,0.012920825753224757,0.010558808616386903
CAT31 FP Equity_DX_SUPPLY_SI_MV_NEW,4,4986,0.015391218737133299,0.2772177568246177,0.01532624527759497,0.2792511447706767,0.012523458657462032,0.27920703760978227,0.0,1454.7278836510898,80.20544232698104,0.00023688961421430843,3.629508965863337e-05,0.27721775682459215,0.015391218737133299,0.01532624527759497,0.012523458657462032
CAT31 FP Equity_DX_SUPPLY_SI_MV_RMV,4,4986,0.01470337194663274,0.2992585968797926,0.01392892468085758,0.3254376969340236,0.011381673020634035,0.3253883664872801,0.0,1389.71484453372,80.2057031093281,0.00021618914659937705,1.5590468659287815e-05,0.29925859687977036,0.01470337194663274,0.01392892468085758,0.011381673020634035
CAT31 FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,4,4986,0.014703371946632737,0.2992585968797926,0.01392892468085758,0.3254376969340236,0.011381673020634035,0.3253883664872801,0.0,0.15271591698174355,80.20570310932807,0.00021618914659937705,1.5590468659287815e-05,0.29925859687975276,0.014703371946632737,0.01392892468085758,0.011381673020634035
CAT31 FP Equity_DX_BROKER_SI_MV_ADD,4,4986,0.006585453350689644,0.6420045480308897,0.011435785485265146,0.41948030153672833,0.009339491843901745,0.4195274623305223,0.0,53.936503794181874,80.20640966171135,4.336819583428131e-05,-0.0001572651572563366,0.6420045480308956,0.006585453350689644,0.011435785485265146,0.009339491843901745
CAT31 FP Equity_DX_BROKER_SI_MV_DEC,4,4986,0.005723697961994988,0.6861674776397042,0.004325367482844354,0.7601026235594326,0.003538310461446885,0.7596924552860599,0.0,43.2632256872689,80.20624495168498,3.276071836011418e-05,-0.00016787476303670168,0.6861674776396742,0.005723697961994988,0.004325367482844354,0.003538310461446885
CAT31 FP Equity_DX_SUPPLY_SI_QTY_INC_x,4,4986,-0.004768874312807605,0.7363766923014601,-0.012817640671003005,0.36552656281052487,-0.010445892477311569,0.3660814976761033,0.002337505553676733,-0.004797516221428312,80.21494451149624,2.2742162211542016e-05,-0.000177895329328992,0.7363766923014989,0.004768874312807605,0.012817640671003005,0.010445892477311569
CAT31 FP Equity_DX_SUPPLY_SI_QTY_INC_y,4,4986,-0.004768874312807605,0.7363766923014601,-0.012817640671003005,0.36552656281052487,-0.010445892477311569,0.3660814976761033,0.002337505553676733,-0.004797516221428312,80.21494451149624,2.2742162211542016e-05,-0.000177895329328992,0.7363766923014989,0.004768874312807605,0.012817640671003005,0.010445892477311569
CAT31 FP Equity_DX_BROKER_SI_QTY_ADD,4,4986,0.004428397611078537,0.7545698131270066,0.0013278733654252409,0.9253158431482069,0.0011026053826230795,0.9240125999456289,0.0003002111680792119,0.0031152234550415616,80.20772999623398,1.961070540190679e-05,-0.0001810274144404822,0.7545698131270253,0.004428397611078537,0.0013278733654252409,0.0011026053826230795
CAT31 FP Equity_DX_BROKER_SI_QTY_DEC,4,4986,0.0037292598391224737,0.7923471466360108,-0.004717186630693242,0.7391293784971309,-0.003810089658053021,0.7415371764573697,0.002733792393704304,0.0024764642019480206,80.20761453600302,1.39073789480193e-05,-0.00018673188522155826,0.7923471466360001,0.0037292598391224737,0.004717186630693242,0.003810089658053021
CAT31 FP Equity_DX_SUPPLY_SI_QTY_DEC,4,4986,-0.003277302278602117,0.8170365350941639,-0.008056735742612538,0.5695151533044676,-0.006496833641722521,0.5736956886125829,0.005416155295937086,-0.0025264418077206234,80.2155182092838,1.0740710225554118e-05,-0.00018989918931078265,0.8170365350941724,0.003277302278602117,0.008056735742612538,0.006496833641722521
CAT31 FP Equity_DX_BROKER_SI_MV_INC_x,4,4986,0.0021140412071448383,0.88136536270865,0.00040859890107380886,0.9769885340340174,0.0003357599986926785,0.9768523677583761,0.0,38.81827680193101,80.21018761356763,4.4691702257848576e-06,-0.00019617198764532162,0.8813653627086737,0.0021140412071448383,0.00040859890107380886,0.0003357599986926785
CAT31 FP Equity_DX_BROKER_SI_MV_INC_y,4,4986,0.0021140412071448383,0.88136536270865,0.00040859890107380886,0.9769885340340174,0.0003357599986926785,0.9768523677583761,0.0,38.81827680193101,80.21018761356763,4.4691702257848576e-06,-0.00019617198764532162,0.8813653627086737,0.0021140412071448383,0.00040859890107380886,0.0003357599986926785
CAT31 FP Equity_DX_SUPPLY_SI_QTY_ADD,4,4986,0.0021095005854270504,0.8816182914080424,0.010481359870163182,0.45933610398025415,0.008556652789192112,0.4593497821700123,0.0,0.0023593047455479493,80.20921732594019,4.449992720201301e-06,-0.00019619116899871614,0.8816182914080035,0.0021095005854270504,0.010481359870163182,0.008556652789192112
