feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
CRLA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,4,4760,0.17515872039487115,4.185310761134373e-34,0.1871331456264667,9.097250603080351e-39,0.1285869606530708,1.0107011313704943e-39,1.7209284812405516,1.0676493444852379e-05,48.655769902637985,0.03068057733036833,0.03047685319781901,4.185310761137024e-34,0.17515872039487115,0.1871331456264667,0.1285869606530708
CRLA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,4,4760,-0.1387575282925026,6.757839838519409e-22,-0.09209468625758564,1.943648428885937e-10,-0.07255615519439416,1.7928850088484037e-13,1.674910622016577,-0.0002496386223296424,52.574442335866955,0.01925365165784476,0.01904752590157277,6.7578398384815e-22,0.1387575282925026,0.09209468625758564,0.07255615519439416
CRLA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,4,4760,0.08233325417658027,1.2811084671338084e-08,0.10271026640131029,1.2190533067713023e-12,0.07010376381944003,1.2378172498617509e-12,1.38880722648247,2.840748054616723,50.17903934986557,0.006778764743305521,0.0065700171108429295,1.2811084671341666e-08,0.08233325417658027,0.10271026640131029,0.07010376381944003
CRLA FP Equity_DX_SUPPLY_SI_MV,4,4760,0.04906010048630334,0.0007093455410548874,-0.014902166477380201,0.3039834430013789,-0.01200987284435817,0.3028314068814325,0.14708730708185747,34.52010367149134,50.88936909568673,0.0024068934597261116,0.002197226980839906,0.0007093455410554858,0.04906010048630334,0.014902166477380201,0.01200987284435817
CRLA FP Equity_DX_SUPPLY_SI_QTY,4,4760,0.03935153940734838,0.006621382128567566,-0.0018410530466484683,0.8989514268133517,-0.002835755126177103,0.8058399675444418,0.1878116242240062,0.0018053129368865578,50.894551534692425,0.0015485436537283626,0.0013386967734537736,0.006621382128563516,0.03935153940734838,0.0018410530466484683,0.002835755126177103
CRLA FP Equity_DX_ACTIVE_UTILIZATION_MV,4,4760,0.03902078535111245,0.007092497273601694,0.003913353300742722,0.7872193830378064,0.0053896541734585945,0.6423810343101983,0.14667190977477884,0.02633053606519531,50.866614723972816,0.0015226216894168587,0.0013127693610623936,0.007092497273589867,0.03902078535111245,0.003913353300742722,0.0053896541734585945
CRLA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,4,4760,0.03901406911585694,0.007102367725891084,0.003932256058878749,0.7862164727500565,0.005450144096637415,0.6388578515859162,0.14859136866013256,0.026325851740348793,50.86659994344551,0.0015220975889769228,0.0013122451504710142,0.007102367725877868,0.03901406911585694,0.003932256058878749,0.005450144096637415
CRLA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,4,4760,0.037098814500587794,0.010474499759394042,-0.010120287559197683,0.4851390484173057,-0.010280462909709184,0.3714684632790364,0.18242532346164197,0.25161075622515305,50.95323266436996,0.0013763220373496088,0.0011664389608546655,0.010474499759388332,0.037098814500587794,0.010120287559197683,0.010280462909709184
CRLA FP Equity_DX_SI_MV,4,4760,0.03651583897679273,0.011751936271969445,-0.014202130804735412,0.32726574649044715,-0.010518278457600736,0.36476701918865373,0.1800162210608307,18.515233022029577,50.891654919663694,0.0013334064961788572,0.001123514400024117,0.011751936271962967,0.03651583897679273,0.014202130804735412,0.010518278457600736
CRLA FP Equity_DX_BROKER_SI_QTY,4,4760,0.03623473297442001,0.012415882386199919,-0.008188107181056545,0.5722226255969035,-0.007487854118850852,0.5160290456309445,0.18348148409492948,0.0016070285048951465,50.907930035782805,0.0013129558737274838,0.0011030594794175785,0.012415882386203994,0.03623473297442001,0.008188107181056545,0.007487854118850852
CRLA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,4,4760,0.03567165913396228,0.013846432473640355,-0.00033941634894756615,0.9813223358795404,0.0006684478165185633,0.9536887859475989,0.21859745550807985,3.7148404024928724e-05,50.89349288973533,0.00127246726536967,0.001062562361474173,0.013846432473640494,0.03567165913396228,0.00033941634894756615,0.0006684478165185633
CRLA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,4,4760,0.03283767417399358,0.023477264911398735,-0.006482703349482837,0.654769081865155,-0.004122081232526106,0.7201592677677233,0.21438167633801752,3.268420331510645e-05,50.90820508045957,0.0010783128451574697,0.0008683671353728606,0.02347726491141,0.03283767417399358,0.006482703349482837,0.004122081232526106
CRLA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,4,4760,0.03161351497219942,0.029177816532347887,-0.015585040679069812,0.28235782749312166,-0.013320947467605825,0.25185937542453996,0.15155073101179406,15.136865254142208,50.90833723199595,0.0009994143288973856,0.0007894520368268987,0.02917781653233299,0.03161351497219942,0.015585040679069812,0.013320947467605825
CRLA FP Equity_DX_SUPPLY_SI_QTY_ADD,4,4760,0.026206597766497364,0.07062191845367063,0.021393798344437855,0.1399980511640232,0.017454669527605535,0.1403114001431387,0.0,0.003704385084191175,51.02485455682154,0.0006867857664951682,0.0004767577685477198,0.07062191845368357,0.026206597766497364,0.021393798344437855,0.017454669527605535
CRLA FP Equity_DX_SUPPLY_SI_MV_DEC,4,4760,0.023127823891557,0.11061241206368956,0.022740300574199422,0.1167162901387509,0.018563511022836984,0.1169106096994578,0.0,45.55573405806218,51.0266338312142,0.0005348962379588817,0.0003248363170336166,0.11061241206373477,0.023127823891557,0.022740300574199422,0.018563511022836984
CRLA FP Equity_DX_SUPPLY_SI_QTY_DEC,4,4760,0.02262533843677464,0.11857703792245596,0.008223549280151796,0.5705607233691634,0.006721606170581025,0.5693628292208148,0.0019680434132602898,0.003195232017236987,51.02537433705555,0.0005119059393783321,0.0003018411865282067,0.11857703792241728,0.02262533843677464,0.008223549280151796,0.006721606170581025
