feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
CRLO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,4,4956,-0.2527163491571376,4.521870103054099e-73,0.008040476295393303,0.5714571673660418,0.0067511790698246065,0.513897257292545,1.1060020566726654,-0.0025499437956272007,63.166418781941296,0.06386555313131193,0.06367658776052709,4.521870103133685e-73,0.2527163491571376,0.008040476295393303,0.0067511790698246065
CRLO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,4,4956,-0.14878645149419703,6.2557543443007e-26,0.028545249546507827,0.04448883156735869,0.027854790242943545,0.007596924081153626,0.9692988391643214,-27.84846473034301,62.12801192820736,0.02213740814823517,0.02194001965573389,6.255754344323669e-26,0.14878645149419703,0.028545249546507827,0.027854790242943545
CRLO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,4,4956,-0.1405165286779889,2.814806138746405e-23,0.05484719460175851,0.00011195070037082448,0.07149225119457339,1.6758354904255289e-12,1.3100153681296538,-4.509155039597675e-05,62.17582306379573,0.019744894831712045,0.019547023393446383,2.814806138736622e-23,0.1405165286779889,0.05484719460175851,0.07149225119457339
CRLO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,4,4956,0.10675515632854769,4.8801007465249727e-14,0.1287750815359072,8.92989449116472e-20,0.10517730408427019,1.297529644497889e-19,0.030690836817556022,0.12998239953867735,60.41357078232275,0.011396663402732932,0.01119710681480457,4.880100746526605e-14,0.10675515632854769,0.1287750815359072,0.10517730408427019
CRLO FP Equity_DX_ACTIVE_UTILIZATION_MV,4,4956,0.10675304622111577,4.8857060067123e-14,0.1287750766538476,8.929923103281671e-20,0.10517687480037675,1.2978886556323013e-19,0.03069164872244201,0.12998067984396047,60.413581561825524,0.0113962128774876,0.011196656198617538,4.885706006717449e-14,0.10675304622111577,0.1287750766538476,0.10517687480037675
CRLO FP Equity_DX_UTILIZATION_QUANTITY,4,4956,0.10443409830800071,1.7018309680719144e-13,0.1291819318992848,6.834366924936504e-20,0.10520336086878984,8.574788634261071e-20,0.046337806868248066,0.17427815256435975,60.46527172530337,0.010906480889405268,0.010706825354663607,1.7018309680726084e-13,0.10443409830800071,0.1291819318992848,0.10520336086878984
CRLO FP Equity_DX_DEMAND_SUPPLY_RATIO,4,4956,0.09202449817935944,8.551699355939513e-11,0.11372588198946126,9.730022375406319e-16,0.09263031843242406,9.21442042064734e-16,0.0628889856474577,6.3431996098982175,60.514105788765725,0.008468508265162766,0.008268360608373437,8.551699355952798e-11,0.09202449817935944,0.11372588198946126,0.09263031843242406
CRLO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,4,4956,0.0844727254872487,2.5859536822280387e-09,0.1291768758287539,6.857155157855865e-20,0.10540312357352755,6.177981544416133e-20,0.06787140398321956,0.0008809623630776637,60.56408434888833,0.007135641351243782,0.0069352246458243005,2.5859536822287906e-09,0.0844727254872487,0.1291768758287539,0.10540312357352755
CRLO FP Equity_DX_SUPPLY_SI_QTY,4,4956,0.08276185350574136,5.38284880380712e-09,0.12905343405717865,7.437414683377589e-20,0.10509464308270386,8.567834698369073e-20,0.0550608451778587,0.060091939512360956,60.56723756728227,0.006849524395705409,0.0066490499355511545,5.382848803802911e-09,0.08276185350574136,0.12905343405717865,0.10509464308270386
CRLO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,4,4956,0.08146135720261209,9.30761552820938e-09,0.1025438245262749,4.61330754483315e-13,0.08361756035190984,5.668489888414461e-13,0.04219272917420236,0.08518555749680146,60.4489926677916,0.00663595271729156,0.0064354351461808346,9.307615528211314e-09,0.08146135720261209,0.1025438245262749,0.08361756035190984
CRLO FP Equity_DX_BROKER_SI_CON_RATIO,4,4956,0.08056488477883451,1.351054174564228e-08,0.1020865455598249,5.85613213003047e-13,0.0832458603921536,7.168397032044322e-13,0.04191003862451437,8.471411464418324,60.45379549578756,0.006490700659427251,0.0062901537681595565,1.3510541745627113e-08,0.08056488477883451,0.1020865455598249,0.0832458603921536
CRLO FP Equity_DX_SUPPLY_SI_MV,4,4956,0.07652962609512624,6.884812750308147e-08,0.10374377953040888,2.454630569736571e-13,0.08474145794180775,2.7511991740492405e-13,0.03001379484992661,720.8830102041098,60.60948265306124,0.005856783670259658,0.00565610881835632,6.884812750303442e-08,0.07652962609512624,0.10374377953040888,0.08474145794180775
CRLO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,4,4956,0.05365197161197402,0.0001575816415017764,0.0526434404375016,0.00020917130754879009,0.043027501581530986,0.00020933773373420217,0.006983578423860548,0.9350687701335278,60.73140650935763,0.002878534057852211,0.002677258025163165,0.00015758164150180443,0.05365197161197402,0.0526434404375016,0.043027501581530986
CRLO FP Equity_DX_SI_MV,4,4956,0.052677143831465933,0.00020721709825037042,0.09283467951973938,5.83317475485478e-11,0.07549848142710625,6.570314680964292e-11,0.04577720386391526,277.19455884454226,60.6286511266686,0.0027748814822411427,0.002573584526545214,0.00020721709825057707,0.052677143831465933,0.09283467951973938,0.07549848142710625
CRLO FP Equity_DX_SHORT_INTEREST_VALUE,4,4956,0.051811066650943934,0.00026329289610936346,0.10265889539988601,4.343809076101877e-13,0.08366956070509543,3.4624496175271505e-13,0.0847859536030946,0.0002917293350939245,60.62743424328352,0.0026843866275085837,0.0024830714047850977,0.0002632928961091804,0.051811066650943934,0.10265889539988601,0.08366956070509543
CRLO FP Equity_DX_SI_QTY,4,4956,0.04494646582448813,0.0015509287104991081,0.10237202969763698,5.046459299752701e-13,0.08316146595331572,5.052585704547549e-13,0.0746867157920057,0.016307356222621958,60.64904912119421,0.0020201847901117898,0.0018187354935413902,0.0015509287104984854,0.04494646582448813,0.10237202969763698,0.08316146595331572
CRLO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,4,4956,0.04347259685447229,0.002205279933083321,0.09946099703409962,2.257424454575193e-12,0.08105396944557178,1.862200038737677e-12,0.08627048436003237,0.0002718103375228721,60.65985859134256,0.0018898666772714234,0.0016883910750666864,0.0022052799330831638,0.04347259685447229,0.09946099703409962,0.08105396944557178
CRLO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,4,4956,0.04029850355984407,0.004548177042008356,0.09866945763332402,3.367695211894539e-12,0.08026169826358134,3.813886847380702e-12,0.04785130894552525,152.52226999607137,60.66806588069276,0.0016239693891629825,0.0014224401137067355,0.00454817704200768,0.04029850355984407,0.09866945763332402,0.08026169826358134
CRLO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,4,4956,0.04029850355984407,0.004548177042008356,0.09866945763332402,3.367695211894539e-12,0.08026169826358134,3.813886847380702e-12,0.04785130894552525,152.52226999607137,60.66806588069276,0.0016239693891629825,0.0014224401137067355,0.00454817704200768,0.04029850355984407,0.09866945763332402,0.08026169826358134
CRLO FP Equity_DX_BROKER_SI_QTY,4,4956,0.036883263345540374,0.009410536209911545,0.0992906432222053,2.4610249794901545e-12,0.08067734026736421,2.475599029247986e-12,0.07661948202256763,0.014586985672596933,60.679727268580265,0.001360375115016632,0.0011587926311884544,0.009410536209910865,0.036883263345540374,0.0992906432222053,0.08067734026736421
CRLO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,4,4956,0.03415798647944407,0.016182268108927225,0.10173355426443986,7.035101964346404e-13,0.08206490983968046,9.741256971344417e-13,0.06778664615867491,5.234609178632606,60.677376827742194,0.0011667680403298908,0.0009651464755420225,0.016182268108931766,0.03415798647944407,0.10173355426443986,0.08206490983968046
CRLO FP Equity_DX_BROKER_SI_QTY_INC,4,4956,0.027734203616928115,0.050897918804217845,0.0298807380685332,0.035421295415341204,0.024405766360634584,0.035481994933874696,0.005322429016556773,0.49436985804745315,60.75084768173157,0.0007691860502654357,0.0005674842307359373,0.05089791880422252,0.027734203616928115,0.0298807380685332,0.024405766360634584
CRLO FP Equity_DX_SUPPLY_SI_QTY_DEC,4,4956,0.018140446420978222,0.2016553038921174,0.04335606663090392,0.0022665400417842293,0.035396430661072883,0.002280383478326868,0.007341266289394577,0.05135191975602585,60.75925560245146,0.0003290757963521074,0.00012728513744952874,0.20165530389208725,0.018140446420978222,0.04335606663090392,0.035396430661072883
CRLO FP Equity_DX_SUPPLY_SI_QTY_ADD,4,4956,0.016295255382022377,0.2514005353288619,0.023840709613046088,0.09331313503682677,0.01947983411044491,0.09324610691299878,0.00601219351034854,0.062470447435961515,60.761957116530084,0.0002655353479650291,6.373186297281563e-05,0.25140053532881945,0.016295255382022377,0.023840709613046088,0.01947983411044491
CRLO FP Equity_DX_SUPPLY_SI_MV_DEC,4,4956,0.012464078633100112,0.3803401613240178,0.017568811925660552,0.21623270736931804,0.014361754840418026,0.21604664465456103,0.005955955151522696,527.0486441331425,60.76494987790767,0.00015535325617210827,-4.647246985611808e-05,0.38034016132400494,0.012464078633100112,0.017568811925660552,0.014361754840418026
CRLO FP Equity_DX_BROKER_SI_QTY_DEC,4,4956,0.012402911605680338,0.3826825879603311,0.04405110501254169,0.0019230164271765355,0.03596712209930861,0.001932663669033025,0.00760673458099248,0.023610654323542812,60.76514317677954,0.00015383221629849952,-4.7993816762348374e-05,0.3826825879602985,0.012402911605680338,0.04405110501254169,0.03596712209930861
CRLO FP Equity_DX_SUPPLY_SI_QTY_INC_x,4,4956,0.011713464618160243,0.4096925079148981,0.03254782736956669,0.021942652059377756,0.02658977502217964,0.021972913305133783,0.005911361208766008,0.04751884060378142,60.767964345367446,0.00013720525336125,-6.462413596985961e-05,0.40969250791487954,0.011713464618160243,0.03254782736956669,0.02658977502217964
CRLO FP Equity_DX_SUPPLY_SI_QTY_INC_y,4,4956,0.011713464618160243,0.4096925079148981,0.03254782736956669,0.021942652059377756,0.02658977502217964,0.021972913305133783,0.005911361208766008,0.04751884060378142,60.767964345367446,0.00013720525336125,-6.462413596985961e-05,0.40969250791487954,0.011713464618160243,0.03254782736956669,0.02658977502217964
CRLO FP Equity_DX_BROKER_SI_QTY_ADD,4,4956,0.00880561219663145,0.535415322218886,0.03354687097248119,0.018189856867184235,0.027403514564446105,0.01820617576218848,0.006635452134767794,0.016832074595606844,60.767768303954995,7.753880615757325e-05,-0.00012430262726859098,0.5354153222189004,0.00880561219663145,0.03354687097248119,0.027403514564446105
CRLO FP Equity_DX_BROKER_SI_MV_ADD,4,4956,0.008648639370343474,0.5427152296223174,0.013662585457074966,0.3362341148406126,0.011164626743457874,0.3362207212865317,0.005848673988930964,294.13130767315147,60.768239670795595,7.479896295825572e-05,-0.00012704302352473107,0.5427152296222808,0.008648639370343474,0.013662585457074966,0.011164626743457874
CRLO FP Equity_DX_BROKER_SI_MV_DEC,4,4956,0.007556604858170537,0.5948300300460356,0.013848428235148195,0.32970193516957147,0.011314581856066751,0.3297707671898874,0.006147510833944825,216.28657469715768,60.768902759084824,5.710227698263459e-05,-0.00014474328170188677,0.5948300300460636,0.007556604858170537,0.013848428235148195,0.011314581856066751
