feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
FMI FP Equity_DX_BROKER_SI_CON_RATIO,4,3916,-0.30134728136470024,5.157153386834259e-83,-0.35952800078973396,8.138358761625358e-120,-0.2932551645549484,8.002677680427565e-116,0.1623399896544402,-16.105103060748917,45.16648605645564,0.09081018398589569,0.09057789225978063,5.157153386883132e-83,0.30134728136470024,0.35952800078973396,0.2932551645549484
FMI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,4,3916,-0.3011545936608875,6.625294047100977e-83,-0.35862630655294114,3.495073759922954e-119,-0.2922701580633054,2.989901118336207e-115,0.16326241925188678,-0.159192770413831,45.183088311852,0.09069408928305467,0.09046176789554394,6.625294047105341e-83,0.3011545936608875,0.35862630655294114,0.2922701580633054
FMI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,4,3916,-0.237664334072535,2.0503229770170122e-51,-0.3556185768879115,4.363538247239978e-117,-0.2823693407075235,6.004128722449948e-112,0.34566130765466396,-1.7166542238725648,44.224532943523066,0.05648433569014155,0.056243273946577466,2.0503229770030718e-51,0.237664334072535,0.3556185768879115,0.2823693407075235
FMI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,4,3916,-0.1579225801407103,2.739418934636152e-23,-0.3837103788131352,1.4301148441646618e-137,-0.3135967810730956,2.964319565523385e-140,0.4235409221043138,-0.000693061659212527,43.54965362336014,0.024939541318298675,0.02469042009737843,2.739418934631437e-23,0.1579225801407103,0.3837103788131352,0.3135967810730956
FMI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,4,3916,-0.15023609915405417,3.319147796463607e-21,-0.3586331075437087,3.456927412308642e-119,-0.27704920890808804,1.0883487429714291e-112,0.49901092620318854,-2.1404662213006253e-05,43.52346533382216,0.022570885489027415,0.02232115909288257,3.319147796470001e-21,0.15023609915405417,0.3586331075437087,0.27704920890808804
FMI FP Equity_DX_SI_QTY,4,3916,-0.1304724512533026,2.461474044930293e-16,-0.34570130676670274,2.4681893866645428e-110,-0.2706203561681201,5.439948097293159e-103,0.3257472419721925,-7.232088744001032e-05,43.474263603692975,0.017023060536045187,0.01677191670889544,2.4614740449323106e-16,0.1304724512533026,0.34570130676670274,0.2706203561681201
FMI FP Equity_DX_BROKER_SI_QTY,4,3916,-0.12903599250326692,5.225382244646014e-16,-0.3206153727354892,2.561086991576405e-94,-0.25225720544652225,2.4492873082121496e-89,0.30368318469490485,-7.153115400394393e-05,43.464738980402444,0.016650287361303584,0.016399048293179175,5.225382244638667e-16,0.12903599250326692,0.3206153727354892,0.25225720544652225
FMI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,4,3916,-0.1221322967525423,1.7324308051670348e-14,-0.16338293171001883,7.807894801744966e-25,-0.13188006670103986,2.732837943626411e-24,0.07297854885698452,-17.964340060411587,43.31684424362159,0.014916297910051557,0.014664615819584004,1.7324308051643262e-14,0.1221322967525423,0.16338293171001883,0.13188006670103986
FMI FP Equity_DX_SI_MV,4,3916,-0.11678536674175961,2.2852188100751107e-13,-0.34209289438243795,6.154679145071023e-108,-0.26588405807349597,1.43101088201613e-99,0.3057622241461264,-1.8880747010872527,43.405893936847335,0.013638821885007757,0.013386813408228226,2.2852188100777603e-13,0.11678536674175961,0.34209289438243795,0.26588405807349597
FMI FP Equity_DX_SHORT_INTEREST_VALUE,4,3916,-0.1166293386441174,2.459626023640705e-13,-0.34199972434745396,7.090414688181623e-108,-0.26574048339439926,1.3651122780743256e-99,0.3100549506681247,-1.8787255115686482e-06,43.40458203448628,0.013602402632564514,0.013350384850917218,2.459626023643116e-13,0.1166293386441174,0.34199972434745396,0.26574048339439926
FMI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,4,3916,-0.11545997009218895,4.255071330066852e-13,-0.3169052198976057,4.478477670478556e-92,-0.2474652417931353,3.1020028234035996e-86,0.2875182424854015,-1.8599187479335524e-06,43.397243113556385,0.013331004693689086,0.013078917571740623,4.2550713300705444e-13,0.11545997009218895,0.3169052198976057,0.2474652417931353
FMI FP Equity_DX_ACTIVE_UTILIZATION_MV,4,3916,-0.07847820997640499,8.787052224697135e-07,-0.15080591720812436,2.3455479228630993e-21,-0.12259473013887554,4.785869871652388e-21,0.035411479890966824,-0.13487685351047565,43.110106922575966,0.006158829441100688,0.005904909877851083,8.787052224691182e-07,0.07847820997640499,0.15080591720812436,0.12259473013887554
FMI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,4,3916,-0.07847739851920536,8.789340788172723e-07,-0.1508051516404465,2.3466444007728885e-21,-0.12260930444791635,4.858190986239466e-21,0.03546440661840278,-0.13487548464209015,43.1101044253527,0.006158702078342682,0.005904782482552773,8.789340788168888e-07,0.07847739851920536,0.1508051516404465,0.12260930444791635
FMI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,4,3916,-0.07807058767692876,1.0011897125417322e-06,-0.0763882019500929,1.7040558393575334e-06,-0.061156781902261224,2.2455581722797526e-06,0.06539602066640571,-0.1468928721603363,43.251098798769334,0.006095016660220942,0.005841080793246078,1.0011897125420304e-06,0.07807058767692876,0.0763882019500929,0.061156781902261224
FMI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,4,3916,-0.06141169778672813,0.00012034559443668704,-0.347516793632518,1.4942391439165965e-111,-0.27258031712623626,1.3249031413845227e-104,0.19865002786856856,-0.04094907388468057,43.04318760444745,0.003771396625048551,0.0035168670891837506,0.00012034559443669183,0.06141169778672813,0.347516793632518,0.27258031712623626
