feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
GOAI FP Equity_DX_ACTIVE_UTILIZATION_MV,4,1815,0.4980420237041347,2.1986563672748016e-114,0.5095208899374338,1.698265460510804e-120,0.3764974481369181,3.754953502634712e-98,0.5512237000048958,0.2120382874142864,63.15942899960299,0.2480458573753097,0.24763110053988513,2.1986563672696607e-114,0.4980420237041347,0.5095208899374338,0.3764974481369181
GOAI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,4,1815,0.4980406715674601,2.202235064851404e-114,0.509521687319871,1.696574099280818e-120,0.3765062945790305,3.8145406322690066e-98,0.5508059998928805,0.2120130532240369,63.159144955128234,0.2480445105353667,0.2476297529570629,2.202235064853329e-114,0.4980406715674601,0.509521687319871,0.3765062945790305
GOAI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,4,1815,-0.4903393537909021,2.0642186239708463e-110,-0.5541464574392801,1.2844392993118017e-146,-0.4314544163456025,3.7957132804789964e-142,0.9187561038087795,-7.310490468578325e-05,78.20200251115818,0.24043268187607925,0.24001372582636937,2.064218623964614e-110,0.4903393537909021,0.5541464574392801,0.4314544163456025
GOAI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,4,1815,-0.46117284283206983,2.9436047536718864e-96,-0.5362949592491444,1.0718251208597091e-135,-0.40937730229256014,1.5013323507252096e-128,1.0034127766949408,-1.290044978006788e-06,77.9747419007126,0.21268039096581282,0.21224612753005212,2.943604753673853e-96,0.46117284283206983,0.5362949592491444,0.40937730229256014
GOAI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,4,1815,-0.4602294601207507,8.019975630053172e-96,-0.534997225340422,6.29101411709248e-135,-0.4087847968944691,5.690346173128681e-128,0.9940198697788261,-1.2885427312644002,77.94504722002095,0.2118111559630378,0.21137641308160537,8.019975630076054e-96,0.4602294601207507,0.534997225340422,0.4087847968944691
GOAI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,4,1815,-0.33010577302739014,2.1358267219516067e-47,-0.1857337939424341,1.501342151868662e-15,-0.12446981132023295,1.145936333358214e-13,0.7724447241304229,-8.670831167146826,76.31075683760716,0.10896982138601063,0.10847835410602491,2.1358267219499364e-47,0.33010577302739014,0.1857337939424341,0.12446981132023295
GOAI FP Equity_DX_BROKER_SI_QTY,4,1815,-0.27893869856328285,8.618838662052782e-34,-0.04988123864024425,0.0335916146627319,-0.026945728256281342,0.10312988157900885,0.8313278171118137,-0.00036344733137598924,76.46180006447895,0.07780679755617792,0.07729814162543114,8.618838662070452e-34,0.27893869856328285,0.04988123864024425,0.026945728256281342
GOAI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,4,1815,-0.2759215269176804,4.509642558343478e-33,-0.04418148418917863,0.05985259969651944,-0.023692761122401543,0.14703626671809542,0.608534440470589,-0.5525950085377005,75.51008470757724,0.07613268901658443,0.0756231096944755,4.509642558349341e-33,0.2759215269176804,0.04418148418917863,0.023692761122401543
GOAI FP Equity_DX_SUPPLY_SI_QTY,4,1815,-0.2706981764491086,7.535800119145732e-32,0.053622114533135284,0.022340815170028575,0.04847391960146813,0.0035328953570569316,0.8712680336676497,-0.0004433194876559447,75.82308658912623,0.07327750273287292,0.07276634857001185,7.535800119152754e-32,0.2706981764491086,0.053622114533135284,0.04847391960146813
GOAI FP Equity_DX_SI_QTY,4,1815,-0.2626416565065617,5.1430237171600664e-30,-0.0548345328594871,0.019478009458938555,-0.030519535298922564,0.06282633978516465,0.801410384823432,-0.00022556128429066777,76.08766038588804,0.06898063973251078,0.06846711554041618,5.143023717159956e-30,0.2626416565065617,0.0548345328594871,0.030519535298922564
