feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
LOCAL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,4,4996,0.7141359793220949,0.0,0.4085032309338984,2.847709148638842e-200,0.305143879752869,6.895461099351848e-207,1.1088724302955253,0.06261986701021187,2.043766312951467,0.5099901969623277,0.5098920772580751,0.0,0.7141359793220949,0.4085032309338984,0.305143879752869
LOCAL FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,4,4996,0.6300855212994307,0.0,0.40096868889793796,2.357101448081038e-192,0.2944246764217872,6.578320197249515e-193,1.0480415200977085,8.34381007055376e-08,2.0097285843723998,0.39700776415117567,0.3968870208119989,0.0,0.6300855212994307,0.40096868889793796,0.2944246764217872
LOCAL FP Equity_DX_SI_MV,4,4996,0.6230607802781735,0.0,0.6372294395672793,0.0,0.45214421978917607,0.0,1.79892756088618,0.03869332130757792,1.8553550040393596,0.38820473592084614,0.38808222986075813,0.0,0.6230607802781735,0.6372294395672793,0.45214421978917607
LOCAL FP Equity_DX_SUPPLY_SI_MV,4,4996,0.5846049954022883,0.0,0.637429273950986,0.0,0.45011496884953034,0.0,1.7287035608610855,0.06429310642307112,1.9655344977484974,0.34176300064930965,0.34163119508275963,0.0,0.5846049954022883,0.637429273950986,0.45011496884953034
LOCAL FP Equity_DX_SHORT_INTEREST_VALUE,4,4996,0.5637453317536759,0.0,0.6217203867110459,0.0,0.4388877815881353,0.0,1.7286292900321496,4.719845209428567e-08,1.9072104619606356,0.31780879907406145,0.3176721969112809,0.0,0.5637453317536759,0.6217203867110459,0.4388877815881353
LOCAL FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,4,4996,0.5306629163836268,0.0,0.6112504397476616,0.0,0.4305009788762403,0.0,1.7341193141708962,7.542036478463701e-08,2.0249885594171104,0.28160313082477584,0.28145927882854527,0.0,0.5306629163836268,0.6112504397476616,0.4305009788762403
LOCAL FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,4,4996,0.5272820479944546,0.0,0.6029484716503156,0.0,0.4265400739662126,0.0,1.6312707678810354,6.925574971540365e-08,1.9902089395372,0.278026358137226,0.2778817899270011,0.0,0.5272820479944546,0.6029484716503156,0.4265400739662126
LOCAL FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,4,4996,0.3254528842408405,1.3390781358143887e-123,0.5023401154751982,0.0,0.3496332278024577,6.573728937370107e-300,1.5654683261153526,0.21844555946102012,2.3847051863315714,0.10591957986068168,0.10574054893954843,1.3390781358131746e-123,0.3254528842408405,0.5023401154751982,0.3496332278024577
LOCAL FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,4,4996,0.32323771737849816,7.434523124817569e-122,0.40517491214181706,9.493206579691e-197,0.2703784634186365,2.538241496662967e-180,0.967236581701779,0.1756220209434914,1.802326576369056,0.10448262193606173,0.10430330327805926,7.434523124820862e-122,0.32323771737849816,0.40517491214181706,0.2703784634186365
LOCAL FP Equity_DX_SUPPLY_SI_MV_DEC,4,4996,0.31950516238818016,5.991954996915154e-119,0.3931828722775157,2.1944224678336766e-184,0.28381579376099775,2.1410117677914106e-179,0.20956664458895258,0.9896299367591175,3.2858915537992806,0.10208354879269743,0.10190374974359695,5.991954996921477e-119,0.31950516238818016,0.3931828722775157,0.28381579376099775
