feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
MA13 FP Equity_DX_BROKER_SI_MV_ADD,4,3548,-0.06200984224757334,0.00021912879925916037,-0.015534409897600954,0.3549459887337695,-0.012694129068722824,0.3534884534747873,0.0,-10.524273081134915,99.68829822009542,0.003845220535568905,0.00356429702190153,0.00021912879925935973,0.06200984224757334,0.015534409897600954,0.012694129068722824
MA13 FP Equity_DX_BROKER_SI_QTY_ADD,4,3548,-0.058466739940399144,0.000493370363387253,-0.015540637798568251,0.3547530974294617,-0.012689056497655496,0.35367639229066705,0.0,-0.0009572126652213267,99.68508288599284,0.0034183596792584092,0.0031373157874589053,0.0004933703633873862,0.058466739940399144,0.015540637798568251,0.012689056497655496
MA13 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,4,3548,0.02987294059903469,0.07521444400949709,0.39534971867974233,4.565976827564904e-133,0.28690436564208294,7.670814060589779e-120,1.284647602513476,5.7696486665966584e-08,99.41852107846384,0.0008923925800331522,0.000610636345566129,0.0752144440095816,0.02987294059903469,0.39534971867974233,0.28690436564208294
MA13 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,4,3548,0.029864750998574056,0.07529445781950507,0.3953592658764298,4.4940050364875755e-133,0.2863719461439166,4.174169825581353e-119,1.1475812185350471,0.05766361587891611,99.4184727575776,0.000891903352207124,0.0006101469797740178,0.07529445781962696,0.029864750998574056,0.3953592658764298,0.2863719461439166
MA13 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,4,3548,0.029522224956847542,0.07870369258026493,0.39350689901762154,9.708592059062075e-132,0.2831651870644255,2.2092243998473442e-116,1.2516499851520195,5.8408161412564765e-06,99.4208433210409,0.0008715617664026842,0.0005897996574817377,0.07870369258015386,0.029522224956847542,0.39350689901762154,0.2831651870644255
MA13 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,4,3548,0.028374360641111308,0.0910535877603411,0.19504391470447838,9.32281518841407e-32,0.15692599648574626,3.8454779289983294e-32,0.3305435171370903,0.01998602706189978,99.4889927342511,0.000805104341791707,0.0005233234913522011,0.09105358776020088,0.028374360641111308,0.19504391470447838,0.15692599648574626
MA13 FP Equity_DX_SUPPLY_SI_QTY,4,3548,-0.02818689109607717,0.09321118428906465,0.22405427843932574,1.306083024748429e-41,0.1670843913182894,1.5832493266740958e-38,0.7677908542206138,-4.547636786731172e-05,99.7263141236112,0.000794500829661815,0.0005127169889481697,0.09321118428893478,0.02818689109607717,0.22405427843932574,0.1670843913182894
MA13 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,4,3548,-0.028139073068101858,0.09376803848823365,0.22502120871338094,5.781144331889985e-42,0.16882394530852138,1.6491424607817586e-39,0.8312033825275922,-4.4628299671249363e-07,99.72637057788931,0.0007918074331318969,0.0005100228328591694,0.0937680384881475,0.028139073068101858,0.22502120871338094,0.16882394530852138
MA13 FP Equity_DX_SUPPLY_SI_MV,4,3548,-0.0280397925940945,0.0949327035025571,0.22457576467160884,8.419408850899291e-42,0.1675841766377181,8.803546372150348e-39,0.7495865952853829,-0.444318433119951,99.72596755515343,0.0007862299687197982,0.0005044437955581405,0.09493270350258105,0.0280397925940945,0.22457576467160884,0.1675841766377181
MA13 FP Equity_DX_SI_QTY,4,3548,-0.027693887089124798,0.09908128713871162,0.13481878579862042,7.353268186505791e-16,0.10082736047746761,1.461354828123407e-15,0.9212483513394081,-2.3967848291071972e-05,99.75098124446043,0.0007669513821053631,0.00048515977222995943,0.09908128713867069,0.027693887089124798,0.13481878579862042,0.10082736047746761
