feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ML FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,4,4996,-0.5158214395204284,0.0,-0.1555851591146463,1.921982441060913e-28,-0.0640059649733535,1.1845700121561578e-11,1.2346503931734625,-3.162272450595049e-07,90.85228704781957,0.26607175746892675,0.265924795466017,0.0,0.5158214395204284,0.1555851591146463,0.0640059649733535
ML FP Equity_DX_SI_QTY,4,4996,-0.39743784226395623,1.0300126502944872e-188,-0.4879748154467871,2.726571328428554e-297,-0.3332723252662415,3.6392277020472103e-273,0.6954454069509524,-1.4266859966787991e-06,85.21860502570223,0.15795683846342912,0.15778822749796317,1.0300126502938887e-188,0.39743784226395623,0.4879748154467871,0.3332723252662415
ML FP Equity_DX_SUPPLY_SI_QTY,4,4996,-0.3922304335355334,2.002196473934483e-183,-0.4378115285011283,4.44663926198824e-233,-0.29870585653699067,7.38449122624517e-220,0.7249185673004064,-1.7600667587175707e-06,83.28380078857676,0.1538447129914723,0.15367527861281616,2.0021964739340838e-183,0.3922304335355334,0.4378115285011283,0.29870585653699067
ML FP Equity_DX_BROKER_SI_QTY,4,4996,-0.37089344141379266,9.896843175298531e-163,-0.4455977082801057,2.3602243679342563e-242,-0.30707688567706504,3.1218076262486273e-232,0.690677686052827,-1.8544070994644506e-06,83.7154294618881,0.13756194488376672,0.13738925003892966,9.89684317530215e-163,0.37089344141379266,0.4455977082801057,0.30707688567706504
ML FP Equity_DX_SUPPLY_SI_QTY_DEC,4,4996,-0.22093205102342017,2.7481351101728485e-56,-0.28381441903069055,3.370116692072845e-93,-0.19293618782849717,1.0013014986228895e-92,0.15531718094732394,-1.1287774388210603e-05,76.58700975044277,0.04881097116941513,0.04862050480401048,2.7481351101720774e-56,0.22093205102342017,0.28381441903069055,0.19293618782849717
ML FP Equity_DX_BROKER_SI_MARKET_SHARE_1,4,4996,0.21042612969105126,4.115187220720556e-51,0.21596558117709863,8.313953971217637e-54,0.14234675397291993,2.163745225496399e-51,0.35852347611934743,0.5663166947935657,56.420569357121714,0.04427915605675525,0.0440877822393857,4.115187220722226e-51,0.21042612969105126,0.21596558117709863,0.14234675397291993
ML FP Equity_DX_BROKER_SI_CON_RATIO,4,4996,0.20253088044613046,2.1088450992996725e-47,0.25248471134821515,1.645493162242535e-73,0.17217060115577515,2.544174780879408e-74,0.48140679971240274,74.16604120415617,60.26102587522561,0.041018757534284966,0.040826730853775195,2.1088450992999803e-47,0.20253088044613046,0.25248471134821515,0.17217060115577515
ML FP Equity_DX_BROKER_SI_MARKET_SHARE_2,4,4996,0.17974476211240414,1.5168275197017329e-37,0.19885934232461955,9.93441340086893e-46,0.14264644213102026,1.384952904189488e-51,0.2891217163685287,1.1563697613522614,53.462810310636726,0.03230817950684495,0.032114408617679224,1.516827519701721e-37,0.17974476211240414,0.19885934232461955,0.14264644213102026
ML FP Equity_DX_SUPPLY_SI_QTY_INC_x,4,4996,-0.17818733223931832,6.444582657020226e-37,-0.2738851096300961,1.1341321016199687e-86,-0.18923150500556477,3.982383506741516e-88,0.12878256574729052,-1.3094562065075918e-05,74.95717504367789,0.031750725370565336,0.031556842856622636,6.444582657020839e-37,0.17818733223931832,0.2738851096300961,0.18923150500556477
ML FP Equity_DX_SUPPLY_SI_QTY_INC_y,4,4996,-0.17818733223931832,6.444582657020226e-37,-0.2738851096300961,1.1341321016199687e-86,-0.18923150500556477,3.982383506741516e-88,0.12878256574729052,-1.3094562065075918e-05,74.95717504367789,0.031750725370565336,0.031556842856622636,6.444582657020839e-37,0.17818733223931832,0.2738851096300961,0.18923150500556477
ML FP Equity_DX_BROKER_SI_QTY_DEC,4,4996,-0.1688119640597539,2.950353258208612e-33,-0.23540755555419807,7.150255292441159e-64,-0.15860632560024135,1.2641606998081669e-62,0.09336520574379259,-8.905120373263097e-06,75.56332625119455,0.028497479209711685,0.02830294526481969,2.9503532582078144e-33,0.1688119640597539,0.23540755555419807,0.15860632560024135
ML FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,4,4996,0.16521507896222815,6.597623595495683e-32,0.20741735554979532,1.1121445789746892e-49,0.27110691385995866,1.7807667189719405e-181,1.485078738000447,0.0034250345878460943,62.04420870740987,0.027296022316495416,0.02710124779152867,6.597623595493072e-32,0.16521507896222815,0.20741735554979532,0.27110691385995866
ML FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,4,4996,0.16301913901806664,4.250037251926082e-31,0.20516551475576023,1.2681103164491097e-48,0.27695619974808466,2.6623624613011205e-189,1.5328275221286431,3.1502880318165287e-09,63.392532787136645,0.026575239686191576,0.0263803208315031,4.250037251921846e-31,0.16301913901806664,0.20516551475576023,0.27695619974808466
ML FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,4,4996,-0.1591728112806087,1.0430608529369085e-29,-0.20534000052412027,1.0512351897920148e-48,-0.13655288375033273,2.283220203246401e-47,0.6868040289529445,-1.2850422405669835,78.15989763437886,0.025335983850972466,0.025140816847338265,1.0430608529364839e-29,0.1591728112806087,0.20534000052412027,0.13655288375033273
ML FP Equity_DX_DEMAND_SUPPLY_RATIO,4,4996,-0.15792803784789416,2.889023593589015e-29,-0.180480621713975,7.622346361565086e-38,-0.12452526962294204,9.736463208943575e-40,0.7195411861252001,-26.446220511185714,77.94510125596682,0.024941265138485713,0.024746019096262617,2.889023593586269e-29,0.15792803784789416,0.180480621713975,0.12452526962294204
ML FP Equity_DX_DSS,4,4996,-0.15355810037405387,9.67273856872557e-28,-0.18251558152908956,1.1192755065631653e-38,-0.13763796746569973,1.3811090677359506e-37,0.23438692462686594,-5.23409326545461,79.18186112760463,0.023580090190488012,0.023384571586200886,9.672738568816637e-28,0.15355810037405387,0.18251558152908956,0.13763796746569973
ML FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,4,4996,-0.1531525358828801,1.3329740926497083e-27,-0.1973256752464018,4.856271887975365e-45,-0.13060081192145576,1.7617219542258366e-43,0.684399327094086,-1.223538762360108,77.99780012299641,0.02345569924735691,0.023260155734991517,1.332974092649166e-27,0.1531525358828801,0.1973256752464018,0.13060081192145576
ML FP Equity_DX_UTILIZATION_QUANTITY,4,4996,-0.15017721188634023,1.3644260168525395e-26,-0.17317436741685713,6.19950109365369e-35,-0.111767710010999,2.4508657785243401e-32,0.6837473081407266,-0.4044096378824207,77.72446638892804,0.022553194969954893,0.02235747073987271,1.3644260168524623e-26,0.15017721188634023,0.17317436741685713,0.111767710010999
ML FP Equity_DX_ACTIVE_UTILIZATION_MV,4,4996,-0.1483023021951285,5.76779824188623e-26,-0.17736692370298104,1.37349504137372e-36,-0.1149435982368919,4.197721926672933e-34,0.699865767400488,-0.3259385647651385,77.10540225214395,0.02199357283637504,0.021797736547395474,5.767798241887198e-26,0.1483023021951285,0.17736692370298104,0.1149435982368919
ML FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,4,4996,-0.14504740276506084,6.740432090162066e-25,-0.1746059464429557,1.706396135253692e-35,-0.11290105707874473,5.8153183862861566e-33,0.7047741967475343,-0.3194543892689413,77.00992782765948,0.021038749048889582,0.020842721565719535,6.7404320901635315e-25,0.14504740276506084,0.1746059464429557,0.11290105707874473
ML FP Equity_DX_BROKER_SI_QTY_INC,4,4996,-0.12871217344703337,6.636860763587762e-20,-0.20055866984650003,1.6859941324427136e-46,-0.1356278167434924,1.0000364846921186e-45,0.0685741930543653,-6.027600312556218e-06,74.54902285847582,0.01656682359345929,0.016369900650646585,6.636860763588028e-20,0.12871217344703337,0.20055866984650003,0.1356278167434924
