feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
PLNW FP Equity_DX_BROKER_SI_MARKET_SHARE_2,4,354,0.15445484839727688,0.003576605871406635,0.3323631754382048,1.4126798782391904e-10,0.22438086444516314,3.808150330521276e-10,0.29726219859107683,0.05429810652226384,23.430445980542725,0.023856300193425772,0.02108316468261151,0.0035766058714067246,0.15445484839727688,0.3323631754382048,0.22438086444516314
PLNW FP Equity_DX_BROKER_SI_QTY_DEC,4,354,-0.13428490757347397,0.011436061232510153,-0.10485890222618893,0.04868175286115167,-0.0731187379434892,0.052804059379012606,0.010235910305680385,-2.36594571259349e-05,24.742732903401603,0.01803243640201657,0.015242755823613119,0.011436061232510413,0.13428490757347397,0.10485890222618893,0.0731187379434892
PLNW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,4,354,-0.1337075387907275,0.011798606096498921,-0.02001210733468895,0.7074883578641584,-0.011135893956490821,0.7550714414460243,0.440196477562103,-2.5212883900254734e-07,25.666167031885024,0.017877705929473908,0.015087585775864332,0.011798606096497586,0.1337075387907275,0.02001210733468895,0.011135893956490821
PLNW FP Equity_DX_SUPPLY_SI_QTY_DEC,4,354,-0.11460718642950975,0.031099065079051965,-0.07850593360068775,0.1404460212097064,-0.050724875522197094,0.16809790090576338,0.019816193207599753,-1.9856548612681045e-05,24.752204736793708,0.013134807181288455,0.010331212883507912,0.031099065079052246,0.11460718642950975,0.07850593360068775,0.050724875522197094
PLNW FP Equity_DX_BROKER_SI_MV_DEC,4,354,-0.10967910969120112,0.03915752145799497,-0.06858306989127806,0.19797750352190807,-0.04780491409860702,0.21127700536119998,0.0,-0.826770583117334,24.711093678187734,0.012029507102654602,0.009222772747832564,0.039157521457994705,0.10967910969120112,0.06858306989127806,0.04780491409860702
PLNW FP Equity_DX_SUPPLY_SI_MV_DEC,4,354,-0.07495546286579957,0.15934702987097796,-0.046349135712522346,0.38460824785403225,-0.028834317728651235,0.4373246309479333,0.008960877606886353,-0.5606876607157507,24.68272479068998,0.005618321413426219,0.0027933734628960982,0.15934702987097377,0.07495546286579957,0.046349135712522346,0.028834317728651235
PLNW FP Equity_DX_DEMAND_SUPPLY_RATIO,4,354,-0.0685664982507829,0.19808615313492578,-0.09788827392032806,0.06581768428106827,-0.052080139730665054,0.14558728693957965,0.5281888668269388,-7.971841034549916,24.853772395547033,0.004701364682374587,0.001873811741131215,0.19808615313492287,0.0685664982507829,0.09788827392032806,0.052080139730665054
PLNW FP Equity_DX_SI_QTY,4,354,-0.061595445343022595,0.24771781754446195,-0.09332508683771681,0.07951288094195087,-0.050616062568515675,0.156381554862185,0.5310256949802574,-1.2102715270705577e-06,24.8205417221818,0.0037939988870052677,0.0009638682020250977,0.24771781754446243,0.061595445343022595,0.09332508683771681,0.050616062568515675
PLNW FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,4,354,-0.06151253000240952,0.2483561239863597,-0.09547294548692933,0.07280364861025952,-0.053608273957367454,0.1388578240441067,0.5364157537010796,-0.8469786236769246,24.820502439902686,0.0037837913472970053,0.000953631663624499,0.24835612398635315,0.06151253000240952,0.09547294548692933,0.053608273957367454
PLNW FP Equity_DX_UTILIZATION_QUANTITY,4,354,-0.055288667428338024,0.2995659947427012,-0.07690383230317578,0.14875062897155725,-0.035888389025344615,0.31567147661316897,0.5697747372906963,-0.06820198376980957,24.787110568591228,0.0030568367460013235,0.0002246118503932415,0.299565994742707,0.055288667428338024,0.07690383230317578,0.035888389025344615
PLNW FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,4,354,-0.053307035428273045,0.31724768114137647,-0.08019522758164549,0.13207897076749434,-0.042091723892403954,0.24109654940302072,0.5462005937850041,-0.25913808012562684,24.780202061670558,0.002841640026151282,8.803776225474458e-06,0.3172476811413752,0.053307035428273045,0.08019522758164549,0.042091723892403954
PLNW FP Equity_DX_BROKER_SI_CON_RATIO,4,354,-0.0510247453946221,0.3384395239992304,-0.0859721182306931,0.10634842801005001,-0.0647464073090961,0.070099985267369,0.4436559377367222,-0.9737143009249047,24.937485176953366,0.0026035246425859526,-0.00022998807149776646,0.33843952399923416,0.0510247453946221,0.0859721182306931,0.0647464073090961
PLNW FP Equity_DX_SUPPLY_SI_QTY,4,354,-0.04879203776289529,0.36002622409758084,-0.07777673273158578,0.1441807651329112,-0.038278761380051096,0.28386443898187974,0.5566429763059215,-1.0170239136960133e-06,24.75666565206795,0.002380662949055923,-0.0004534828948388192,0.3600262240975889,0.04879203776289529,0.07777673273158578,0.038278761380051096
PLNW FP Equity_DX_BROKER_SI_QTY,4,354,-0.04713784125037962,0.376562333961874,-0.0787175358617638,0.13937624810054114,-0.04378405289175436,0.22104366404229614,0.5566903079588963,-1.1140897796804685e-06,24.74036012293094,0.0022219760777461017,-0.0006126205811241014,0.3765623339618679,0.04713784125037962,0.0787175358617638,0.04378405289175436
PLNW FP Equity_DX_SUPPLY_SI_QTY_INC_x,4,354,-0.040141106618296514,0.4515203921837896,-0.11561937642562492,0.02963231691863858,-0.08062683046366281,0.03611186217276789,0.0073191425215943795,-1.175619458382449e-05,24.598300195123766,0.0016113084405413591,-0.0012250230695707298,0.4515203921837897,0.040141106618296514,0.11561937642562492,0.08062683046366281
PLNW FP Equity_DX_SUPPLY_SI_QTY_INC_y,4,354,-0.040141106618296514,0.4515203921837896,-0.11561937642562492,0.02963231691863858,-0.08062683046366281,0.03611186217276789,0.0073191425215943795,-1.175619458382449e-05,24.598300195123766,0.0016113084405413591,-0.0012250230695707298,0.4515203921837897,0.040141106618296514,0.11561937642562492,0.08062683046366281
PLNW FP Equity_DX_BROKER_SI_QTY_INC,4,354,-0.038259504709144264,0.4730254996625699,-0.09245902226595183,0.08235606431141558,-0.06800096435996114,0.0812173511013364,0.0,-6.325930941880695e-06,24.58023286700466,0.0014637897005892464,-0.0013729608968522378,0.4730254996625768,0.038259504709144264,0.09245902226595183,0.06800096435996114
PLNW FP Equity_DX_BROKER_SI_QTY_ADD,4,354,-0.030227091902692505,0.570824643956789,-0.09048767492925629,0.08913412494648021,-0.07193771513721291,0.08554494018620974,0.0,-2.091123511184608e-05,24.56319552830749,0.0009136770848936493,-0.0019246363324789684,0.5708246439567887,0.030227091902692505,0.09048767492925629,0.07193771513721291
PLNW FP Equity_DX_BROKER_SI_MARKET_SHARE_1,4,354,-0.027697451169457744,0.6034951032158458,-0.10600498119690716,0.04625745277142943,-0.07760918145758997,0.029904414676986152,0.3468126623696657,-0.005364913789776941,24.819575483069894,0.0007671488012844785,-0.0020715808896210053,0.6034951032158318,0.027697451169457744,0.10600498119690716,0.07760918145758997
PLNW FP Equity_DX_BROKER_SI_QTY_NEW,4,354,-0.027479657453247743,0.6063466409553304,-0.06406394320136555,0.2292364018808585,-0.05243851962871759,0.22872402910612533,0.0,-0.00012838617177252136,24.538611898017013,0.000755131573747847,-0.002083632257008583,0.6063466409553346,0.027479657453247743,0.06406394320136555,0.05243851962871759
PLNW FP Equity_DX_BROKER_SI_MV_NEW_y,4,354,-0.02747965745324774,0.6063466409553304,-0.06406394320136555,0.2292364018808585,-0.05243851962871759,0.22872402910612533,0.0,-5.868235635941001,24.538611898017006,0.0007551315737481801,-0.002083632257008361,0.60634664095533,0.02747965745324774,0.06406394320136555,0.05243851962871759
PLNW FP Equity_DX_BROKER_SI_MV_NEW_x,4,354,-0.02747965745324774,0.6063466409553304,-0.06406394320136555,0.2292364018808585,-0.05243851962871759,0.22872402910612533,0.0,-5.868235635941001,24.538611898017006,0.0007551315737481801,-0.002083632257008361,0.60634664095533,0.02747965745324774,0.06406394320136555,0.05243851962871759
PLNW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,4,354,-0.026850562592964096,0.6146167588290394,0.26276230654113025,5.310275229428936e-07,0.2113916335172591,3.141730764778693e-09,0.6700810317414576,-0.0019732811008012353,24.75285476052373,0.0007209527115586978,-0.002117908218238096,0.6146167588290221,0.026850562592964096,0.26276230654113025,0.2113916335172591
PLNW FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,4,354,-0.024901704876751182,0.6405441549146667,0.2756788653987187,1.356759964441926e-07,0.22535324354941497,2.684662852320362e-10,0.6266866240202362,-1.8299661584353406e-09,24.73682770537832,0.0006200949057688643,-0.002219052551885259,0.6405441549146735,0.024901704876751182,0.2756788653987187,0.22535324354941497
PLNW FP Equity_DX_DSS,4,354,0.019167722100361734,0.7192988325675373,-0.011830131445839139,0.8244671492626994,-0.00968336554125382,0.8241052688624648,0.009159036327311187,0.7179942693409441,24.522005730659032,0.00036740157051662337,-0.002472463765930799,0.719298832567549,0.019167722100361734,0.011830131445839139,0.00968336554125382
PLNW FP Equity_DX_BROKER_SI_MV_ADD,4,354,-0.017679333294979237,0.7402788410681405,-0.09191114864639696,0.08419666377130093,-0.0729816579778003,0.08211059297408438,0.0,-0.5102785756426912,24.55030935043248,0.0003125588257548717,-0.0025274623139448504,0.7402788410681418,0.017679333294979237,0.09191114864639696,0.0729816579778003
PLNW FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,4,354,0.013153597761457273,0.8052032307272914,0.011299627641631898,0.8322193343703792,0.03195403040677188,0.3710252254964096,0.5282511345067298,0.01030484099640758,24.469459109927243,0.0001730171340701414,-0.002667400430889977,0.8052032307272757,0.013153597761457273,0.011299627641631898,0.03195403040677188
PLNW FP Equity_DX_SUPPLY_SI_QTY_ADD,4,354,-0.012577799655271248,0.8135706188083223,-0.07030844601428335,0.18690159327740832,-0.053351667923333713,0.18251071359793858,0.00046251059796187377,-2.602292385099691e-06,24.54672534625878,0.00015820104416808256,-0.0026822586119565894,0.8135706188083236,0.012577799655271248,0.07030844601428335,0.053351667923333713
PLNW FP Equity_DX_BROKER_SI_MV_INC_x,4,354,-0.011054875082623058,0.8358014061750301,-0.04606370945701806,0.38754560966644014,-0.035722985030046124,0.3658391553460544,0.02142848585651258,-0.06983735356747481,24.545062857452162,0.00012221026309222616,-0.0027183516395694607,0.8358014061750353,0.011054875082623058,0.04606370945701806,0.035722985030046124
PLNW FP Equity_DX_BROKER_SI_MV_INC_y,4,354,-0.011054875082623058,0.8358014061750301,-0.04606370945701806,0.38754560966644014,-0.035722985030046124,0.3658391553460544,0.02142848585651258,-0.06983735356747481,24.545062857452162,0.00012221026309222616,-0.0027183516395694607,0.8358014061750353,0.011054875082623058,0.04606370945701806,0.035722985030046124
