feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
SRIC FP Equity_DX_BROKER_SI_CON_RATIO,4,1684,-0.20648493027641032,1.1331548327416261e-17,-0.3672268644591738,6.515010699011424e-55,-0.296251742313931,2.1906005529968398e-52,0.26841619161613317,-0.5413477752395868,10.261741481409745,0.04263602643125419,0.042066844520690094,1.1331548327392883e-17,0.20648493027641032,0.3672268644591738,0.296251742313931
SRIC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,4,1684,-0.2053885316723898,1.6934807621451163e-17,-0.36526883233102936,2.6376600932559166e-54,-0.29463027276523107,7.218827964666231e-52,0.259381641995849,-0.005367044192136679,10.261421967126577,0.042184448942540476,0.04161499855546702,1.6934807621410012e-17,0.2053885316723898,0.36526883233102936,0.29463027276523107
SRIC FP Equity_DX_UTILIZATION_QUANTITY,4,1684,-0.1855532391479051,1.6469627076466177e-14,-0.3513170354107863,4.2425384233476314e-50,-0.27795224715367384,2.3355296798240882e-49,0.3190933537067999,-0.009071158081385658,10.169012768130187,0.0344300045582796,0.0338559439188969,1.6469627076474592e-14,0.1855532391479051,0.3513170354107863,0.27795224715367384
SRIC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,4,1684,-0.18451738404009274,2.3121300841516985e-14,-0.3570229456786589,8.565260220883919e-52,-0.28554142551205947,1.1019986258244463e-50,0.3200059235801962,-0.005723170836744352,10.208823076111372,0.03404666501299913,0.03347237646663348,2.312130084142612e-14,0.18451738404009274,0.3570229456786589,0.28554142551205947
SRIC FP Equity_DX_ACTIVE_UTILIZATION_MV,4,1684,-0.18451738404009274,2.3121300841516985e-14,-0.3570229456786589,8.565260220883919e-52,-0.28554142551205947,1.1019986258244463e-50,0.3200059235801962,-0.005723170836744352,10.208823076111372,0.03404666501299913,0.03347237646663348,2.312130084142612e-14,0.18451738404009274,0.3570229456786589,0.28554142551205947
SRIC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,4,1684,-0.09631734381415334,7.532559267535727e-05,-0.3617204384622251,3.243864627126853e-53,-0.27605937372426015,2.553878227143577e-50,0.4436740979052505,-0.007648071700445531,10.135089237071826,0.00927703071941377,0.008688015874419364,7.532559267538344e-05,0.09631734381415334,0.3617204384622251,0.27605937372426015
SRIC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,4,1684,-0.08362510915908473,0.0005922091655656518,-0.33298938254245725,6.908359702540722e-45,-0.24790930736474875,1.1928616907982134e-39,0.43073857616352673,-0.5907651570202982,10.134087758240934,0.0069931588818686885,0.006402786205817468,0.00059220916556628,0.08362510915908473,0.33298938254245725,0.24790930736474875
SRIC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,4,1684,0.08280914657716391,0.0006701140614225842,0.3236681867172969,2.2768823550101715e-42,0.21847004951414636,9.556062873099568e-36,1.2803046682780312,1.2821089980317673e-09,10.043482616960473,0.006857354756838352,0.00626690134111707,0.0006701140614234889,0.08280914657716391,0.3236681867172969,0.21847004951414636
SRIC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,4,1684,0.0826791876125413,0.000683367286413191,0.3361550748229164,9.206388790902016e-46,0.22952519119239742,4.5659095406323857e-39,1.2381872294920244,0.0012802838577283522,10.043627414653967,0.006835848064270067,0.0062453818621679424,0.0006833672864134785,0.0826791876125413,0.3361550748229164,0.22952519119239742
SRIC FP Equity_DX_SI_QTY,4,1684,-0.07368948938178768,0.002479493494135941,-0.3344658411230037,2.7066176547879047e-45,-0.24480105027579202,1.5637835121127754e-39,0.47828457351280984,-4.68540678406093e-07,10.129988399878854,0.005430140845348541,0.004838838907682219,0.002479493494136766,0.07368948938178768,0.3344658411230037,0.24480105027579202
