feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
TFI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,4,4996,0.7498477896864738,0.0,0.646956941947232,0.0,0.5011866283717172,0.0,0.9772376070261712,0.04228445702410244,4.5010023425851475,0.5622717076976906,0.5621840568582228,0.0,0.7498477896864738,0.646956941947232,0.5011866283717172
TFI FP Equity_DX_SUPPLY_SI_MV,4,4996,0.7249727015220164,0.0,0.3285939035746204,4.246448536384805e-126,0.23864937654454635,5.015454835410102e-141,0.8881060049226193,0.05366166558077385,7.227437504759109,0.5255854179521311,0.5254904210394262,0.0,0.7249727015220164,0.3285939035746204,0.23864937654454635
TFI FP Equity_DX_SI_MV,4,4996,0.7086858231077039,0.0,0.3716743618316496,1.8415733747049457e-163,0.26845013793886313,6.544267361976785e-178,0.8597489485527596,0.0313475780600197,7.530940587443849,0.5022355958738436,0.502135923386033,0.0,0.7086858231077039,0.3716743618316496,0.26845013793886313
TFI FP Equity_DX_SHORT_INTEREST_VALUE,4,4996,0.6482023293880672,0.0,0.36198604772641363,1.525829623015241e-154,0.25645312333521425,1.4760359554445928e-162,0.7908578605107968,5.3053525775439245e-08,6.976523572490041,0.4201662598241167,0.42005015374879107,0.0,0.6482023293880672,0.36198604772641363,0.25645312333521425
TFI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,4,4996,0.6093595570943559,0.0,0.3053423423294668,2.708402954553343e-108,0.21596860568153364,7.232069861244338e-116,0.839026159821449,7.900595638346669e-08,6.992821160707557,0.3713190698222295,0.37119318257149303,0.0,0.6093595570943559,0.3053423423294668,0.21596860568153364
TFI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,4,4996,0.5629215285299229,0.0,0.32530144368501734,1.7641401232474568e-123,0.22074564412579234,5.821646766629645e-121,0.7247850213991223,7.089860827275354e-08,7.341740815401038,0.3168806472824648,0.3167438592663019,0.0,0.5629215285299229,0.32530144368501734,0.22074564412579234
TFI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,4,4996,0.49580580517570216,2.554673687225135e-308,0.4476971858357879,6.764946232810355e-245,0.32253430544618683,6.559687187573459e-256,0.8003763451495747,4.249855624117819e-08,5.6445617014687475,0.24582339644592666,0.24567237990536717,2.55467368721841e-308,0.49580580517570216,0.4476971858357879,0.32253430544618683
TFI FP Equity_DX_BROKER_SI_CON_RATIO,4,4996,-0.3842773070213951,1.5717127507531868e-175,-0.4187074514030386,2.514935063222486e-211,-0.29289749898190276,2.3757670962661315e-211,0.5954559922906579,-10.787283233599004,13.768877270914771,0.14766904869161546,0.14749837769615914,1.5717127507514788e-175,0.3842773070213951,0.4187074514030386,0.29289749898190276
TFI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,4,4996,-0.37756310211911615,4.9276634466089065e-169,-0.3753052540077543,6.965759700137374e-167,-0.25747390653517266,8.290981411854795e-164,0.5818995113322165,-0.09572467540096126,14.635533291890258,0.14255389608181024,0.14238220082672048,4.9276634466069967e-169,0.37756310211911615,0.3753052540077543,0.25747390653517266
TFI FP Equity_DX_SI_QTY,4,4996,0.35436595011824396,9.629513684371541e-148,0.16236251488428757,7.3809484212379175e-31,0.08592026205781046,8.806668220147279e-20,0.8604145995999772,3.016072057442261e-07,8.23027287715389,0.12557522660320586,0.12540013153444396,9.629513684338607e-148,0.35436595011824396,0.16236251488428757,0.08592026205781046
TFI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,4,4996,0.34821595579700804,2.170682108207418e-142,0.1604228703645243,3.718473433223467e-30,0.08458525601786183,3.41528028833947e-19,0.8489513308403795,0.6330892991547741,8.255442267584577,0.12125435187162392,0.12107839158965983,2.1706821082105347e-142,0.34821595579700804,0.1604228703645243,0.08458525601786183
TFI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,4,4996,0.34142314157227815,1.2908594324131136e-136,0.1487515650451765,4.090074856409933e-26,0.0742226691030834,3.8382203659566384e-15,0.849995372885596,0.347456608869445,8.272082067369904,0.11656976160108368,0.11639286327541298,1.290859432414364e-136,0.34142314157227815,0.1487515650451765,0.0742226691030834
TFI FP Equity_DX_SUPPLY_SI_QTY,4,4996,0.298155220326375,4.1486556420365286e-103,0.12158820314363657,6.465127665255053e-18,0.05464757425420346,7.057564633153774e-09,0.8095607869704224,4.1586562757557937e-07,8.420285941878372,0.08889653540786924,0.08871409578740619,4.148655642050264e-103,0.298155220326375,0.12158820314363657,0.05464757425420346
TFI FP Equity_DX_DSS,4,4996,0.2871059725378049,2.0136140217425027e-95,0.20812232563030383,5.160496815362976e-50,0.15500571576667307,1.188530507969647e-44,0.2815718911981102,2.1419635877308494,8.063375326068014,0.08242983946687854,0.0822461049533556,2.0136140217191142e-95,0.2871059725378049,0.20812232563030383,0.15500571576667307
