feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
VETO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,4,4893,0.8144005875817002,0.0,0.7165411301381606,0.0,0.574372003148893,0.0,1.5001175146645487,2.405932877742637e-06,32.89847908027612,0.6632483170534187,0.6631794657586023,0.0,0.8144005875817002,0.7165411301381606,0.574372003148893
VETO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,4,4893,0.8137481258146755,0.0,0.7244457196983359,0.0,0.5823528567322264,0.0,1.506425163410388,2.4030027829835454,32.88484332184902,0.662186012266897,0.6621169437762544,0.0,0.8137481258146755,0.7244457196983359,0.5823528567322264
VETO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,4,4893,0.6813447471203522,0.0,0.6721534489218194,0.0,0.4958252277653082,0.0,1.6259368419319244,0.0001865607797693229,33.28416160904831,0.4642306644284966,0.4641211225483961,0.0,0.6813447471203522,0.6721534489218194,0.4958252277653082
VETO FP Equity_DX_SUPPLY_SI_MV,4,4893,0.5493049669239976,0.0,0.6842265832972143,0.0,0.5199711678934045,0.0,0.9672603860967586,74.53729973449663,41.36335619794612,0.30173594668737413,0.30159318159775805,0.0,0.5493049669239976,0.6842265832972143,0.5199711678934045
VETO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,4,4893,0.5458720660615719,0.0,0.5716663741160799,0.0,0.4217261341127368,0.0,0.9611443590079345,1.1128753772616147,35.687964826145134,0.29797631250632917,0.2978327787325623,0.0,0.5458720660615719,0.5716663741160799,0.4217261341127368
VETO FP Equity_DX_SI_MV,4,4893,0.5115158346572769,0.0,0.5995229967563781,0.0,0.4406101140167726,0.0,0.9972314203652264,50.79457624053024,41.39373692774413,0.2616484491051305,0.2614974878393578,0.0,0.5115158346572769,0.5995229967563781,0.4406101140167726
VETO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,4,4893,0.45998982801694577,7.954183130509828e-255,0.5635535055924287,0.0,0.4029612262652978,0.0,1.3910875201271038,5.307601788969803e-05,43.447067971178384,0.21159064187905918,0.21142944593587354,7.954183130500865e-255,0.45998982801694577,0.5635535055924287,0.4029612262652978
VETO FP Equity_DX_SUPPLY_SI_MV_DEC,4,4893,0.19318816675402847,2.356381030531413e-42,0.3564438489655967,1.553906848395001e-146,0.2831420681868999,2.168001000957769e-137,0.09229801589321185,137.4016415127298,49.78425825670456,0.03732166777378232,0.037124841289990496,2.356381030530484e-42,0.19318816675402847,0.3564438489655967,0.2831420681868999
VETO FP Equity_DX_ACTIVE_UTILIZATION_MV,4,4893,-0.17826804208651517,3.188409510878762e-36,0.2740881455489417,4.732695445913343e-85,0.16575439443345605,2.4101592998659753e-59,0.7869277901686842,-0.13707148182782364,54.2928939026367,0.03177949482935993,0.03158153520859308,3.188409510878692e-36,0.17826804208651517,0.2740881455489417,0.16575439443345605
VETO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,4,4893,-0.17826800407479718,3.1885193252686244e-36,0.27415642119598377,4.285642169838232e-85,0.16585984552858066,2.0860731025136214e-59,0.7896913398942531,-0.13707174727816496,54.292907159199274,0.03177948127681207,0.031581521653274325,3.188519325269529e-36,0.17826800407479718,0.27415642119598377,0.16585984552858066
VETO FP Equity_DX_SHORT_INTEREST_VALUE,4,4893,0.13738566678734287,4.751735670920783e-22,0.6025669325476003,0.0,0.4321703726398902,0.0,1.125590991152579,4.417333592796453e-06,49.87378612752408,0.018874821438603306,0.018674223364884,4.751735670921779e-22,0.13738566678734287,0.6025669325476003,0.4321703726398902
VETO FP Equity_DX_BROKER_SI_QTY,4,4893,0.13291484755948868,9.960289268275446e-21,0.40470906462606066,2.968636918745687e-192,0.28378093304415336,5.039227059665006e-185,1.3897643511987812,0.000867372863859526,48.8781254984167,0.017666356701762753,0.017465511548767854,9.96028926827804e-21,0.13291484755948868,0.40470906462606066,0.28378093304415336
VETO FP Equity_DX_DEMAND_SUPPLY_RATIO,4,4893,-0.1244579057194998,2.3812642051182506e-18,0.13222608598919108,1.5772547364031608e-20,0.10029955678850512,1.2433785473486418e-24,0.9247207080260913,-3.5609961546164186,51.60928098774168,0.01548977029608356,0.015288480124400095,2.3812642051182325e-18,0.1244579057194998,0.13222608598919108,0.10029955678850512
VETO FP Equity_DX_BROKER_SI_MV_INC_y,4,4893,0.12056384043319927,2.6245558331464096e-17,0.20421999945309102,3.1663349883881704e-47,0.1649951674688799,3.3508213252336417e-46,0.037361172506916285,167.00854866519316,50.48309436911073,0.014535639620001706,0.014334154369464058,2.6245558331476703e-17,0.12056384043319927,0.20421999945309102,0.1649951674688799
VETO FP Equity_DX_BROKER_SI_MV_INC_x,4,4893,0.12056384043319927,2.6245558331464096e-17,0.20421999945309102,3.1663349883881704e-47,0.1649951674688799,3.3508213252336417e-46,0.037361172506916285,167.00854866519316,50.48309436911073,0.014535639620001706,0.014334154369464058,2.6245558331476703e-17,0.12056384043319927,0.20421999945309102,0.1649951674688799
VETO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,4,4893,0.10434271411143192,2.5379204021121743e-13,0.69211086955364,0.0,0.5201983359805439,0.0,1.0288044959285623,3.423613207689898e-06,50.30010609480613,0.010887401988139755,0.010685170829274115,2.53792040211336e-13,0.10434271411143192,0.69211086955364,0.5201983359805439
VETO FP Equity_DX_SUPPLY_SI_QTY_INC_x,4,4893,0.1000206961588157,2.3451907906136444e-12,0.2206013271591891,5.326801105973978e-55,0.17670059266359733,1.477995803962883e-53,0.04977575008327206,0.013205550522081026,50.44714730397797,0.010004139660094946,0.009801727911916691,2.3451907906142854e-12,0.1000206961588157,0.2206013271591891,0.17670059266359733
VETO FP Equity_DX_SUPPLY_SI_QTY_INC_y,4,4893,0.1000206961588157,2.3451907906136444e-12,0.2206013271591891,5.326801105973978e-55,0.17670059266359733,1.477995803962883e-53,0.04977575008327206,0.013205550522081026,50.44714730397797,0.010004139660094946,0.009801727911916691,2.3451907906142854e-12,0.1000206961588157,0.2206013271591891,0.17670059266359733
VETO FP Equity_DX_BROKER_SI_CON_RATIO,4,4893,-0.09959761988754956,2.901004242599146e-12,-0.0473940669750518,0.0009124051113635485,-0.052840161788526185,1.0658741249407612e-07,1.13675519608271,-8.545479992310472,55.278029158435544,0.009919685887265106,0.009717256871907831,2.901004242599374e-12,0.09959761988754956,0.0473940669750518,0.052840161788526185
VETO FP Equity_DX_BROKER_SI_MV_DEC,4,4893,0.09230745937194351,9.860774790215522e-11,0.25581947326031507,5.8051443023516616e-74,0.20523783566534728,7.712830269463038e-72,0.052084686895819576,48.22827732436803,50.565155936181434,0.00852066705570298,0.008317952000919893,9.860774790218474e-11,0.09230745937194351,0.25581947326031507,0.20523783566534728
VETO FP Equity_DX_BROKER_SI_QTY_INC,4,4893,0.07585721414359586,1.0812518445121915e-07,0.21936433924005425,2.1691699632082026e-54,0.17570314425238295,6.8422895372294415e-53,0.04460948845996726,0.008411662552273371,50.614361837963,0.005754316937627402,0.005551036282738342,1.0812518445126676e-07,0.07585721414359586,0.21936433924005425,0.17570314425238295
VETO FP Equity_DX_UTILIZATION_QUANTITY,4,4893,-0.06957844427759582,1.1065776229370762e-06,0.37044927663423266,5.199491745240332e-159,0.256515866574112,1.7000099747228494e-145,1.0448227456342924,-0.2555996702021692,51.58090870202836,0.004841159908090753,0.00463769255170321,1.106577622936866e-06,0.06957844427759582,0.37044927663423266,0.256515866574112
VETO FP Equity_DX_BROKER_SI_MV_ADD,4,4893,0.06351861120792374,8.728844946067342e-06,0.15912299013550524,4.112930919998299e-29,0.12876430682848392,9.260718066687362e-29,0.011288936735903476,43.84738833202253,50.70835529913435,0.0040346139697834404,0.003830981709298853,8.728844946068321e-06,0.06351861120792374,0.15912299013550524,0.12876430682848392
VETO FP Equity_DX_BROKER_SI_MV_RMV,4,4893,0.03280908112517564,0.021731629117393444,0.003809797908522653,0.7899094696613004,0.0031088159304173877,0.790123748509931,0.0,302.96450601429683,50.90134688192444,0.0010764358042779643,0.0008721987230685402,0.021731629117392834,0.03280908112517564,0.003809797908522653,0.0031088159304173877
VETO FP Equity_DX_BROKER_SI_MV_NEW_x,4,4893,0.031445785533860605,0.02783428821064136,-0.006830027307334712,0.6329037561819462,-0.0055794308836574205,0.6328816843600569,0.0,301.5999375439521,50.90081136700124,0.0009888374278418377,0.0007845824365165788,0.02783428821064014,0.031445785533860605,0.006830027307334712,0.0055794308836574205
VETO FP Equity_DX_BROKER_SI_MV_NEW_y,4,4893,0.031445785533860605,0.02783428821064136,-0.006830027307334712,0.6329037561819462,-0.0055794308836574205,0.6328816843600569,0.0,301.5999375439521,50.90081136700124,0.0009888374278418377,0.0007845824365165788,0.02783428821064014,0.031445785533860605,0.006830027307334712,0.0055794308836574205
VETO FP Equity_DX_DSS,4,4893,-0.03024582730625973,0.03437556352205776,-0.01999794531026322,0.1619214548359695,-0.01633960802611494,0.16189907471723308,0.004606896966068641,-16.971048031576963,50.97479803157683,0.0009148100694399419,0.0007105399426907688,0.034375563522057964,0.03024582730625973,0.01999794531026322,0.01633960802611494
VETO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,4,4893,-0.02793579136577012,0.050702381027655265,-0.047630796121644156,0.0008597250598160604,-0.05468221902318285,3.7848479631851407e-08,1.094679912237098,-0.023990562830188373,52.2705012524081,0.0007804084392319943,0.0005761108331063802,0.05070238102766134,0.02793579136577012,0.047630796121644156,0.05468221902318285
VETO FP Equity_DX_BROKER_SI_QTY_DEC,4,4893,0.01603862818025605,0.2619954379371037,0.27220108462400217,7.264911249733268e-84,0.21504351093521654,6.388381206868142e-81,0.07278115722730893,0.000402388099212497,50.8681997152039,0.0002572375939046134,5.283302175052018e-05,0.261995437937109,0.01603862818025605,0.27220108462400217,0.21504351093521654
VETO FP Equity_DX_BROKER_SI_QTY_NEW,4,4893,0.014498820496547637,0.31058923955725565,-0.00442965942393025,0.7567305810010707,-0.003621809640849129,0.7564899699841081,0.0,0.013623965542007128,50.90671769379733,0.0002102157957912798,5.801609693545373e-06,0.3105892395572562,0.014498820496547637,0.00442965942393025,0.003621809640849129
VETO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,4,4893,0.013942088246540429,0.3295369284407119,0.4870178666737477,6.662693612909839e-290,0.3379777772256987,1.7923560545535716e-262,0.7868987806290835,0.04688997711313379,50.84722227609805,0.00019438182467423903,-1.0035598792423883e-05,0.3295369284407188,0.013942088246540429,0.4870178666737477,0.3379777772256987
VETO FP Equity_DX_SUPPLY_SI_QTY,4,4893,0.0073819622148279624,0.6056845422048692,0.5995749834747414,0.0,0.4343342312769289,0.0,0.8993665634190493,8.232607069980877e-06,50.89118267075072,5.449336614127276e-05,-0.00014995265852313366,0.6056845422048689,0.0073819622148279624,0.5995749834747414,0.4343342312769289
VETO FP Equity_DX_SUPPLY_SI_QTY_NEW_y,4,4893,-0.007132809719395441,0.6179070564511497,-0.0005410357943286928,0.9698186184523394,-0.0004420811043384768,0.9698064604098743,0.0,-0.014870225668856337,50.92534478001839,5.087697449301931e-05,-0.00015356978956848621,0.6179070564511827,0.007132809719395441,0.0005410357943286928,0.0004420811043384768
VETO FP Equity_DX_SUPPLY_SI_QTY_NEW_x,4,4893,-0.007132809719395441,0.6179070564511497,-0.0005410357943286928,0.9698186184523394,-0.0004420811043384768,0.9698064604098743,0.0,-0.014870225668856337,50.92534478001839,5.087697449301931e-05,-0.00015356978956848621,0.6179070564511827,0.007132809719395441,0.0005410357943286928,0.0004420811043384768
VETO FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,4,4893,-0.006378333601153012,0.6555576151025482,0.0032970250719760895,0.8176500051013975,0.0026950299959044377,0.8175100176966573,0.0,-0.011276312958885096,50.92481103371589,4.068313952765301e-05,-0.00016376570873655183,0.6555576151025269,0.006378333601153012,0.0032970250719760895,0.0026950299959044377
