feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALBIZ FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,5,1099,-0.6234093756697812,2.3472158416234582e-119,-0.5232173194822379,2.9219790373179457e-78,-0.42863372187392895,7.966728669911788e-69,0.29867427460025286,-0.02012435845205526,6.128949970109917,0.38863924967298646,0.3880819472570093,2.347215841631917e-119,0.6234093756697812,0.5232173194822379,0.42863372187392895
ALBIZ FP Equity_DX_ACTIVE_UTILIZATION_MV,5,1099,-0.6233587799797808,2.484081005861339e-119,-0.5231647799354096,3.0461564840817897e-78,-0.42837766896227875,8.709387688223832e-69,0.30179669127002384,-0.02012386930621995,6.128887516940221,0.38857616857788024,0.3880188086586258,2.4840810058636256e-119,0.6233587799797808,0.5231647799354096,0.42837766896227875
ALBIZ FP Equity_DX_BROKER_SI_MARKET_SHARE_1,5,1099,-0.5909980939857766,1.8053909573831154e-104,-0.5198182428054063,4.2515747279771485e-77,-0.40876567010153053,2.5656603728421305e-64,0.35517500468952257,-0.018896166285192334,6.126201322745484,0.3492787470948212,0.348685564548873,1.805390957378355e-104,0.5909980939857766,0.5198182428054063,0.40876567010153053
ALBIZ FP Equity_DX_BROKER_SI_CON_RATIO,5,1099,-0.579041582305214,2.149412462233689e-99,-0.5172355997578482,3.186657776859145e-76,-0.4067905155669631,1.045839376100719e-63,0.3563652273203386,-1.9200817410731146,6.1188679376956605,0.33528915403852566,0.3346832189009127,2.1494124622344264e-99,0.579041582305214,0.5172355997578482,0.4067905155669631
ALBIZ FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,5,1099,-0.41693006331821336,1.8715358420205244e-47,-0.523035564207633,3.374369556622375e-78,-0.42236219564882826,5.660019358832335e-70,0.4115161879375684,-0.1495809884600025,5.984642256745789,0.17383067769852922,0.17307756072286706,1.8715358420258358e-47,0.41693006331821336,0.523035564207633,0.42236219564882826
ALBIZ FP Equity_DX_SUPPLY_SI_QTY,5,1099,-0.3588118326486311,9.855304456847269e-35,-0.5228187982546552,4.005905315676627e-78,-0.42220834212599945,2.8831952006809826e-69,0.4465024798686821,-0.00011169219593388053,5.975710919674304,0.1287459312486694,0.1279517160538186,9.855304456856324e-35,0.3588118326486311,0.5228187982546552,0.42220834212599945
ALBIZ FP Equity_DX_BROKER_SI_QTY,5,1099,-0.35290774276862635,1.4024981175761406e-33,-0.5248685266415057,7.870366481290419e-79,-0.42367903988794564,8.621520916664768e-70,0.45234491197095017,-0.00010765171531301836,5.973721257510019,0.12454387490604701,0.1237458292131629,1.4024981175712092e-33,0.35290774276862635,0.5248685266415057,0.42367903988794564
ALBIZ FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,5,1099,-0.3369714482551346,1.3788939449920666e-30,-0.5230310084193346,3.3865628567349463e-78,-0.4223470019838,5.316403726869021e-69,0.4007376298821639,-3.090771742086093,5.9662850985912,0.11354975693916258,0.1127416892608939,1.3788939449930277e-30,0.3369714482551346,0.5230310084193346,0.4223470019838
ALBIZ FP Equity_DX_SI_QTY,5,1099,-0.33649664213727987,1.6828572301218752e-30,-0.5236808341883848,2.0233789476670061e-78,-0.42316121590684735,1.6746777214352728e-69,0.42062226577430106,-5.261445406731663e-05,5.966091794502252,0.11322999016966417,0.11242163099935398,1.6828572301217113e-30,0.33649664213727987,0.5236808341883848,0.42316121590684735
ALBIZ FP Equity_DX_BROKER_SI_MARKET_SHARE_2,5,1099,-0.3331091426080564,6.901106313852801e-30,-0.36936986431659047,7.411128754106573e-37,-0.29668026505788775,4.065312383705311e-34,0.20613506927108238,-0.05602340765726089,5.942955399937762,0.11096170088907442,0.11015127399836255,6.90110631386237e-30,0.3331091426080564,0.36936986431659047,0.29668026505788775
ALBIZ FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,5,1099,-0.33296298366742433,7.331446084377963e-30,-0.523749123764877,1.9166486341828525e-78,-0.4237730586514219,1.3378642290116126e-69,0.40828471946621137,-1.6984194586597634,5.964939908633658,0.11086434849271365,0.11005383285779369,7.331446084360426e-30,0.33296298366742433,0.523749123764877,0.4237730586514219
ALBIZ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,5,1099,-0.3028131934884613,9.696283660836296e-25,-0.38006717738210843,4.323864899500745e-39,-0.3149453654859956,2.1189271606726243e-40,0.2886705318934355,-1.907853871949579e-05,6.003268193239728,0.09169583015068039,0.09086784093477407,9.696283660815451e-25,0.3028131934884613,0.38006717738210843,0.3149453654859956
ALBIZ FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,5,1099,-0.29353062143537567,2.8003703416377787e-23,-0.5222801591023133,6.132131981091994e-78,-0.4169502153704387,2.963030522104304e-68,0.45277412346777735,-1.852081360760813e-05,5.953241156423465,0.08616022572023785,0.08532719037449521,2.8003703416329074e-23,0.29353062143537567,0.5222801591023133,0.4169502153704387
ALBIZ FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,5,1099,-0.28696038792256745,2.8116442148291504e-22,-0.5243739271439283,1.1667190077016382e-78,-0.4185724836943768,8.309097345491377e-69,0.45316202047759924,-1.7617178086984705e-05,5.951026038129501,0.08234626423667057,0.08150975217125278,2.8116442148253136e-22,0.28696038792256745,0.5243739271439283,0.4185724836943768
ALBIZ FP Equity_DX_SHORT_INTEREST_VALUE,5,1099,-0.27328660708299796,2.818735744781956e-20,-0.5211610726301235,1.4815769775360254e-77,-0.4161567605194976,4.8995259059238516e-68,0.43050655232807045,-8.592374673635384e-06,5.9453207960660315,0.07468556961093686,0.07384207423227773,2.818735744784087e-20,0.27328660708299796,0.5211610726301235,0.4161567605194976
ALBIZ FP Equity_DX_SI_MV,5,1099,-0.2679185592293205,1.6040077624687495e-19,-0.38073681066728426,3.113334995865317e-39,-0.3051278507412536,6.386032532442132e-36,0.22283058254264465,-8.369316776959213,5.942584322331336,0.07178035437951524,0.07093421067338901,1.60400776246845e-19,0.2679185592293205,0.38073681066728426,0.3051278507412536
ALBIZ FP Equity_DX_SUPPLY_SI_MV,5,1099,-0.26765971034126246,1.742574509630273e-19,-0.33342963978195356,6.04313159622957e-30,-0.26784729759896964,7.644676272452901e-28,0.16470777737819686,-16.828600487003825,5.9421559635869885,0.07164172053996865,0.07079545045841895,1.742574509629276e-19,0.26765971034126246,0.33342963978195356,0.26784729759896964
ALBIZ FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,5,1099,-0.2664591068974912,2.55613721883735e-19,-0.3627439184852111,1.629325775129723e-35,-0.27738033595214084,6.932922216133652e-33,0.38132197001182955,-3.204941293838383e-06,5.987753307181727,0.07100045564860813,0.07015360100471446,2.556137218840007e-19,0.2664591068974912,0.3627439184852111,0.27738033595214084
ALBIZ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,5,1099,-0.2654528447150768,3.518785642879273e-19,-0.38492222999888037,3.927066573599168e-40,-0.29426862784344177,1.4756738220868857e-34,0.27994013146656505,-3.197387215598298,5.986868858655007,0.0704652127673262,0.06961787020831744,3.5187856428803793e-19,0.2654528447150768,0.38492222999888037,0.29426862784344177
ALBIZ FP Equity_DX_UTILIZATION_QUANTITY,5,1099,-0.19110991439176497,1.6887774545340812e-10,-0.5127460257666615,1.0144445397071155e-74,-0.41403858977307545,8.581623680318688e-67,0.4500955815827328,-0.018679135226190434,5.92466069009187,0.03652299937882786,0.03564471587780582,1.6887774545354303e-10,0.19110991439176497,0.5127460257666615,0.41403858977307545
ALBIZ FP Equity_DX_SUPPLY_SI_QTY_DEC,5,1099,-0.1813475024899982,1.401428716050962e-09,-0.13274962281631073,1.008458276747041e-05,-0.10857237848407407,1.0974940668580065e-05,0.00024091427750549954,-0.00036947106313837773,5.887022537956461,0.032886916659360055,0.032005318588858134,1.4014287160510551e-09,0.1813475024899982,0.13274962281631073,0.10857237848407407
