feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALCIS FP Equity_DX_BROKER_SI_MARKET_SHARE_2,5,4994,-0.45789025072355705,2.1407589659666432e-257,-0.4716134459172596,4.782680100908636e-275,-0.3355719764172106,2.0078806402223865e-241,1.1629809276843863,-0.6812011697288287,38.94636223706482,0.209663481707682,0.2095051610910369,2.1407589659668144e-257,0.45789025072355705,0.4716134459172596,0.3355719764172106
ALCIS FP Equity_DX_UTILIZATION_QUANTITY,5,4994,-0.4136526716366891,1.0136934746196688e-205,-0.5506016734570753,0.0,-0.4185099201375812,0.0,1.4796224703694891,-0.3030046782197125,35.64398825104913,0.17110853275217075,0.17094248878837914,1.0136934746157807e-205,0.4136526716366891,0.5506016734570753,0.4185099201375812
ALCIS FP Equity_DX_SI_QTY,5,4994,-0.39607440030963276,3.026753407098319e-187,-0.5453201934633557,0.0,-0.36304899045588584,4.3790696573055764e-305,1.70538644644361,-0.0014134397047875552,35.04887658857562,0.15687493058063495,0.156706035334357,3.026753407113845e-187,0.39607440030963276,0.5453201934633557,0.36304899045588584
ALCIS FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,5,4994,-0.38523817764803336,2.1085451943020286e-176,-0.4898513446159554,8.675446833361443e-300,-0.3255573410262211,1.7818434433196256e-237,1.3074355672622793,-39.62059539959152,35.20176224021949,0.14840845351757803,0.1482378622622731,2.1085451942985256e-176,0.38523817764803336,0.4898513446159554,0.3255573410262211
ALCIS FP Equity_DX_SUPPLY_SI_QTY,5,4994,-0.37555327098496305,4.717508129105138e-167,-0.5078291834978642,0.0,-0.3529180395276155,7.506256997686889e-270,1.410061145215118,-0.0021485408298757966,34.01038553820443,0.1410402593475053,0.1408681920917656,4.7175081290987894e-167,0.37555327098496305,0.5078291834978642,0.3529180395276155
ALCIS FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,5,4994,-0.3701201168362787,6.036422204450744e-162,-0.5749285101857591,0.0,-0.4160367355559624,0.0,1.129351698241035,-3.4158521471861762,34.09149423284622,0.1369889008869003,0.13681602206095622,6.036422204434024e-162,0.3701201168362787,0.5749285101857591,0.4160367355559624
ALCIS FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,5,4994,-0.36754532086647435,1.4685045174838966e-159,-0.46085914012389495,3.8029561126600517e-261,-0.3024981411184589,2.0808708542654696e-196,1.004303767430784,-106.14859065731534,34.852436617409296,0.13508956289083962,0.13491630358853413,1.4685045174823208e-159,0.36754532086647435,0.46085914012389495,0.3024981411184589
ALCIS FP Equity_DX_BROKER_SI_QTY,5,4994,-0.3613415171036643,6.710874814222538e-154,-0.5169645248214079,0.0,-0.3529640996924298,6.83383465500966e-281,1.587472475526547,-0.0013213261068149725,34.00422427859125,0.13056769198277818,0.13039352685697347,6.710874814238772e-154,0.3613415171036643,0.5169645248214079,0.3529640996924298
ALCIS FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,5,4994,-0.3178177901953892,1.3310621430368683e-117,-0.4012091989300878,1.5815932188136059e-192,-0.26223499995242266,3.0179750943093767e-151,1.3307756047052508,-0.00013929900927395724,33.17230340281646,0.10100814776468026,0.100828061255819,1.3310621430350154e-117,0.3178177901953892,0.4012091989300878,0.26223499995242266
ALCIS FP Equity_DX_SUPPLY_SI_MV,5,4994,-0.31019562034430376,7.785938364278906e-112,-0.33970787928234214,3.977338958863463e-135,-0.23952037034470972,5.404989744373183e-116,0.7552367752989104,-134.44576042767613,33.078006037568244,0.09622132288078744,0.09604027747271071,7.785938364279839e-112,0.31019562034430376,0.33970787928234214,0.23952037034470972
ALCIS FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,5,4994,-0.2970272534347314,2.874187245259178e-102,-0.4053601265759391,7.252188862181242e-197,-0.3261169701775297,3.295281269469666e-191,0.5440207651852222,-0.14742925406181032,36.14422217118752,0.08822518928297973,0.08804254208532014,2.874187245262857e-102,0.2970272534347314,0.4053601265759391,0.3261169701775297
ALCIS FP Equity_DX_ACTIVE_UTILIZATION_MV,5,4994,-0.2961771132418548,1.1459175995399788e-101,-0.4026566350769465,4.934378874889231e-194,-0.3231666546154539,1.324355194378814e-188,0.5532165630266164,-0.14717623934959734,36.14122580218393,0.08772088240827836,0.08753813418760692,1.1459175995359195e-101,0.2961771132418548,0.4026566350769465,0.3231666546154539
ALCIS FP Equity_DX_SI_MV,5,4994,-0.2879623753794292,5.730097153813381e-96,-0.40476246718858033,3.08299534483839e-196,-0.25587521018740067,2.893342446363725e-142,1.0092094634846305,-66.32508370857035,33.04720015327657,0.08292232963416335,0.08273862016493949,5.730097153803185e-96,0.2879623753794292,0.40476246718858033,0.25587521018740067
ALCIS FP Equity_DX_SHORT_INTEREST_VALUE,5,4994,-0.28760826999126293,9.990254489842871e-96,-0.44140740951225244,3.0821747173844136e-237,-0.27065988340539554,5.678385997314902e-172,1.6942942283926796,-6.71901563592957e-05,33.013674686664544,0.0827185169673671,0.08253476667028525,9.990254489833417e-96,0.28760826999126293,0.44140740951225244,0.27065988340539554
ALCIS FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,5,4994,-0.26754808236581507,1.2947669040383264e-82,-0.423660110167847,9.583326238447642e-217,-0.26830128515838775,1.6402596769906546e-165,1.6508594937633232,-6.420637831370296e-05,32.37916233218825,0.07158197637762531,0.07139599520302153,1.294766904037089e-82,0.26754808236581507,0.423660110167847,0.26830128515838775
ALCIS FP Equity_DX_BROKER_SI_MARKET_SHARE_1,5,4994,-0.19449460363436696,9.12628973697158e-44,-0.11754412815604526,7.851367937454765e-17,-0.0539830915117356,4.690147351124668e-08,1.334461617179739,-0.12762627883703653,35.144443133869935,0.03782815084288926,0.03763540808464472,9.126289736953139e-44,0.19449460363436696,0.11754412815604526,0.0539830915117356
ALCIS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,5,4994,-0.1832127548510592,5.972335159892023e-39,0.2689345668902039,1.742362942343365e-83,0.17859618903710975,1.3528051233152865e-62,0.9188175078860783,-0.00034230486516551137,30.5512960429118,0.03356691354011365,0.03337331716862735,5.97233515988606e-39,0.1832127548510592,0.2689345668902039,0.17859618903710975
ALCIS FP Equity_DX_BROKER_SI_CON_RATIO,5,4994,-0.11945967155418148,2.448932757756832e-17,-0.10581225834814484,6.542096281488564e-14,-0.044946803352689614,5.51044869501185e-06,1.3680589676476997,-8.023270793239002,32.38318878782712,0.014270613127832621,0.014073151311552179,2.4489327577557568e-17,0.11945967155418148,0.10581225834814484,0.044946803352689614
ALCIS FP Equity_DX_DEMAND_SUPPLY_RATIO,5,4994,-0.11582242776667112,2.201539681016149e-16,-0.4669818800097568,5.33715138553554e-269,-0.3483418513793026,1.8920840266918198e-281,1.392008141807234,-0.5004567223314221,29.421824281939056,0.013414834773765483,0.013217201527526257,2.2015396810163514e-16,0.11582242776667112,0.4669818800097568,0.3483418513793026
ALCIS FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,5,4994,-0.11425099894895334,5.567513168078057e-16,0.28803096639961534,5.1446880723045384e-96,0.2060763359457244,7.457630521937405e-84,1.0013896619649296,-1.3214354628707883e-05,29.973622766656568,0.013053290760833502,0.012855585089912247,5.567513168078338e-16,0.11425099894895334,0.28803096639961534,0.2060763359457244
ALCIS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,5,4994,-0.10526126314141976,8.818583937911914e-14,0.29701800345046825,2.917839098040527e-102,0.20482574529196776,7.291365584368901e-82,0.8760339498447047,-11.851379532821158,29.903331295511155,0.011079933518127083,0.01088183254327102,8.81858393791577e-14,0.10526126314141976,0.29701800345046825,0.20482574529196776
ALCIS FP Equity_DX_SUPPLY_SI_QTY_DEC,5,4994,-0.07012778762155655,7.024879353264056e-07,-0.05296651730970875,0.00018057915391543443,-0.04319932606154868,0.00014898840186305042,0.031207905446501982,-0.00213535345808009,29.061901483808,0.004917906596693999,0.004718571241444924,7.024879353265028e-07,0.07012778762155655,0.05296651730970875,0.04319932606154868
ALCIS FP Equity_DX_BROKER_SI_QTY_DEC,5,4994,-0.06137411707576489,1.4234870976129314e-05,-0.08276899116602136,4.692442871055308e-09,-0.06633212193041758,4.732088595075741e-09,0.05015342389427335,-0.0011460720433863173,29.027963000059533,0.003766782246829692,0.003567216297760578,1.4234870976130466e-05,0.06137411707576489,0.08276899116602136,0.06633212193041758
ALCIS FP Equity_DX_SUPPLY_SI_MV_DEC,5,4994,-0.05667475569577576,6.141070493677659e-05,-0.03684751920921083,0.009209390173026336,-0.03006589865096817,0.008954850168267112,0.009945392632978223,-126.98504723616341,29.02259761306331,0.003212027933174988,0.0030123508554372735,6.141070493677858e-05,0.05667475569577576,0.03684751920921083,0.03006589865096817
ALCIS FP Equity_DX_SUPPLY_SI_QTY_INC_y,5,4994,-0.055252895773701766,9.35916290655112e-05,-0.0563051711502065,6.858278310943472e-05,-0.045832484178299895,6.783625523123927e-05,0.007493348126238697,-0.00196219419440561,28.9818623288092,0.0030528824913794717,0.0028531735335451947,9.359162906552205e-05,0.055252895773701766,0.0563051711502065,0.045832484178299895
