feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALEMV FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,5,3336,0.41784376201375156,4.0201337374870897e-141,-0.05974256846523709,0.0005556050545599517,-0.04826525518857684,0.00034348060678801964,0.48452994008390693,2.5414641179028616e-06,2.056124942230923,0.17459340945380475,0.17434583699113337,4.02013373747994e-141,0.41784376201375156,0.05974256846523709,0.04826525518857684
ALEMV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,5,3336,0.3665687504956763,1.2769155975191983e-106,-0.06457020725159525,0.00019000274751854418,-0.06038882896234984,9.64447623485234e-06,0.43280549657721323,2.1284443548086553e-05,2.0762876846056555,0.13437264883996136,0.13411301256186892,1.2769155975238754e-106,0.3665687504956763,0.06457020725159525,0.06038882896234984
ALEMV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,5,3336,0.3430851696352448,8.71545694700601e-93,0.14926330551581107,4.455023364667926e-18,0.12303811432735788,1.011049904184672e-18,0.20987880002562154,1.7079293094054078,2.134953258978713,0.11770743362364477,0.11744279878070041,8.715456946987354e-93,0.3430851696352448,0.14926330551581107,0.12303811432735788
ALEMV FP Equity_DX_UTILIZATION_QUANTITY,5,3336,-0.05754649397419876,0.0008832749957103047,-0.04393302701466748,0.011156344830734648,-0.03589058457547228,0.011114396278407133,0.05786378491452848,-0.019670778227779392,2.3829318166379974,0.0033115989687231284,0.0030126522377599274,0.0008832749957102311,0.05754649397419876,0.04393302701466748,0.03589058457547228
ALEMV FP Equity_DX_BROKER_SI_MARKET_SHARE_1,5,3336,-0.05482227514133862,0.0015368862571317396,-0.043231550041258775,0.012517671605031887,-0.035362111638324326,0.012539079622804273,0.04514565299548834,-0.013027504969110879,2.3829465753424666,0.003005481851672487,0.0027064433039375446,0.0015368862571316763,0.05482227514133862,0.043231550041258775,0.035362111638324326
ALEMV FP Equity_DX_BROKER_SI_CON_RATIO,5,3336,-0.05482227514133861,0.0015368862571317396,-0.043231550041258775,0.012517671605031887,-0.035362111638324326,0.012539079622804273,0.04514565299548834,-1.3027504969110946,2.3829465753424666,0.003005481851672487,0.0027064433039375446,0.0015368862571316303,0.05482227514133861,0.043231550041258775,0.035362111638324326
ALEMV FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,5,3336,-0.05333925348186314,0.002057432729039654,-0.04324115152910553,0.012498087647354052,-0.03537803851073394,0.012462181307859883,0.04801955099872646,-0.013057045279036615,2.381921339982066,0.0028450759620021193,0.0025459893021226865,0.002057432729039713,0.05333925348186314,0.04324115152910553,0.03537803851073394
ALEMV FP Equity_DX_ACTIVE_UTILIZATION_MV,5,3336,-0.05333925348186314,0.002057432729039654,-0.04324115152910553,0.012498087647354052,-0.03537803851073394,0.012462181307859883,0.04801955099872646,-0.013057045279036615,2.381921339982066,0.0028450759620021193,0.0025459893021226865,0.002057432729039713,0.05333925348186314,0.04324115152910553,0.03537803851073394
ALEMV FP Equity_DX_DEMAND_SUPPLY_RATIO,5,3336,-0.05105701878976067,0.0031800443787455565,-0.042619589560495046,0.013823277678082998,-0.034799435082526156,0.013815739688319216,0.05663190447282784,-1.4028512288776662,2.381008073492465,0.0026068191676976715,0.0023076610450725177,0.003180044378745885,0.05105701878976067,0.042619589560495046,0.034799435082526156
ALEMV FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,5,3336,-0.034067015548026346,0.04912786547215787,-0.04296322776092833,0.013076061761402517,-0.034935384491208754,0.013316830687525764,0.03386728076318879,-1.6660046940187292,2.3725190615066993,0.0011605615483493148,0.0008609696351964402,0.049127865472151394,0.034067015548026346,0.04296322776092833,0.034935384491208754
ALEMV FP Equity_DX_BROKER_SI_QTY,5,3336,-0.024949652565678885,0.1496612201467271,-0.04452290597821996,0.010115064098224606,-0.0363811898028973,0.010061750811062838,0.05779019620685233,-0.00011636998044442078,2.369108280438468,0.0006224851631471129,0.00032273185935682847,0.14966122014674232,0.024949652565678885,0.04452290597821996,0.0363811898028973
ALEMV FP Equity_DX_SUPPLY_SI_QTY,5,3336,-0.023907969290177914,0.1674145715872692,-0.04296826825099447,0.013065372600135142,-0.035072502051621074,0.013061570724811844,0.058972567535402476,-5.128674996395537e-05,2.3676892027204213,0.0005715909955809062,0.0002718224265934044,0.16741457158728232,0.023907969290177914,0.04296826825099447,0.035072502051621074
ALEMV FP Equity_DX_SI_QTY,5,3336,-0.023231587124224386,0.17976112783558237,-0.042528263926501414,0.014028092185369531,-0.03470867509114415,0.014034684423460278,0.0579235141821286,-3.9395385455514036e-05,2.3681340529704022,0.0005397066403097783,0.00023992850792831089,0.17976112783559542,0.023231587124224386,0.042528263926501414,0.03470867509114415
