feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALENO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,5,1072,-0.26582414376319785,8.515034256332567e-19,-0.5088674999255381,1.1194934120957056e-71,-0.32803979186034793,7.192377363370773e-49,0.9570412859880872,-0.00035045015917294184,4.62056975713113,0.07066247540743742,0.0697939356648275,8.515034256332562e-19,0.26582414376319785,0.5088674999255381,0.32803979186034793
ALENO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,5,1072,-0.26194216220151934,2.8059117040899708e-18,-0.6131810207864014,1.0617154714908778e-111,-0.4861508652622756,1.8894366418881234e-93,0.5753547494344482,-0.0006715779901040018,4.581967293099339,0.06861369633880732,0.06774324184940428,2.805911704090281e-18,0.26194216220151934,0.6131810207864014,0.4861508652622756
ALENO FP Equity_DX_BROKER_SI_QTY,5,1072,-0.25355269281498677,3.4530720386063865e-17,-0.18962237279221475,3.8964077365723404e-10,-0.15373598142403647,1.0351931434552751e-10,0.44065989016866225,-0.0003124507871471865,4.587872167838007,0.0642889680337313,0.06341447174217407,3.4530720386071575e-17,0.25355269281498677,0.18962237279221475,0.15373598142403647
ALENO FP Equity_DX_SUPPLY_SI_QTY,5,1072,-0.2534911223733285,3.5160910754646606e-17,-0.10614075390973425,0.0004995811481393119,-0.09345405407208866,6.604109223193592e-05,0.6163370634598853,-0.0003054693099734406,4.605251256982065,0.06425774912208992,0.06338322365397975,3.516091075462821e-17,0.2534911223733285,0.10614075390973425,0.09345405407208866
ALENO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,5,1072,-0.253180403745097,3.851818940703565e-17,-0.10257717270511917,0.0007696675184745785,-0.09277308434534257,8.469806470445133e-05,0.5502251856676237,-10.285226858091931,4.594196498502588,0.06410031684053064,0.06322564423944699,3.8518189407041626e-17,0.253180403745097,0.10257717270511917,0.09277308434534257
ALENO FP Equity_DX_SI_QTY,5,1072,-0.2528354239718873,4.2616282944235346e-17,-0.11369856240093656,0.00019116760852273305,-0.10028253572372729,1.820892718758661e-05,0.6227946750669806,-0.00016442298521285485,4.587106372633817,0.06392575161504432,0.06305091586889011,4.2616282944225313e-17,0.2528354239718873,0.11369856240093656,0.10028253572372729
ALENO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,5,1072,-0.2524854611763262,4.721192063161113e-17,-0.10215696921602943,0.0008092023422296796,-0.09529837996406736,5.0533778830700655e-05,0.5597964656551992,-6.447495355576164,4.595905267555466,0.06374890810542211,0.06287390708495988,4.721192063163397e-17,0.2524854611763262,0.10215696921602943,0.09529837996406736
ALENO FP Equity_DX_ACTIVE_UTILIZATION_MV,5,1072,-0.2495549186218205,1.1061447750956546e-16,-0.08242415610766446,0.0069312349152519485,-0.06741875200742471,0.006987819758991473,0.23556669446915257,-0.016657960086374865,4.760373711340204,0.06227765740834368,0.06140128138723,1.1061447750960406e-16,0.2495549186218205,0.08242415610766446,0.06741875200742471
ALENO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,5,1072,-0.2495549186218205,1.1061447750956546e-16,-0.08242415610766446,0.0069312349152519485,-0.06741875200742471,0.006987819758991473,0.23556669446915257,-0.016657960086374865,4.760373711340204,0.06227765740834368,0.06140128138723,1.1061447750960406e-16,0.2495549186218205,0.08242415610766446,0.06741875200742471
ALENO FP Equity_DX_SHORT_INTEREST_VALUE,5,1072,-0.24784890675425728,1.806637884318807e-16,-0.10334881292056243,0.0007016937444993257,-0.08441530768549022,0.0002917771229352831,0.6023830588174506,-7.457104427454261e-05,4.6040449282598,0.06142908057928076,0.06055191149570993,1.80663788431935e-16,0.24784890675425728,0.10334881292056243,0.08441530768549022
