feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALEXP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,5,998,-0.6633364539883423,1.4864921995006512e-127,-0.46706690251729704,3.2124561186422144e-55,-0.3190404193462251,3.888952601327083e-40,0.7298703688731749,-1.6705591131426083e-05,2.2115188604253055,0.44001525118982865,0.4394530175062843,1.4864921994994684e-127,0.6633364539883423,0.46706690251729704,0.3190404193462251
ALEXP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,5,998,-0.5907630223782264,6.21580327223517e-95,-0.35699724939193966,2.298380794672363e-31,-0.21888126208611627,1.318817972954847e-19,0.6864698234931412,-10.97904807602586,2.105267038137471,0.34900094860945696,0.3483473351040448,6.215803272233562e-95,0.5907630223782264,0.35699724939193966,0.21888126208611627
ALEXP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,5,998,-0.15962829906190398,3.99790974570238e-07,-0.14517524369856405,4.126252647726907e-06,0.038494290475538324,0.07787030641760001,1.4605599880134648,-3.469228917477082e-06,1.3700991867108447,0.0254811938613968,0.024502761325113087,3.9979097457022496e-07,0.15962829906190398,0.14517524369856405,0.038494290475538324
ALEXP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,5,998,0.061191034548480766,0.053299929364353224,0.2030377437210559,9.563202021731951e-11,0.16649777607203395,6.205193809638942e-11,0.20156155662024466,0.0023866574291473565,1.185002797169122,0.0037443427091132797,0.0027440860250862453,0.05329992936435537,0.061191034548480766,0.2030377437210559,0.16649777607203395
ALEXP FP Equity_DX_BROKER_SI_CON_RATIO,5,998,0.057079894485630917,0.07147799404199862,0.20025340103441797,1.7357530011549616e-10,0.16444421445744986,1.0634917700494094e-10,0.20849928652048533,0.23241669837190326,1.1872077643077092,0.0032581143544909708,0.0022573694893850416,0.07147799404199479,0.057079894485630917,0.20025340103441797,0.16444421445744986
ALEXP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,5,998,0.0489423489430732,0.12231413540375763,0.19932030544828533,2.1155085952107474e-10,0.16079732988815917,3.4962674936948076e-10,0.19521579775636688,0.002021729923415174,1.1921924137039326,0.0023953535200655907,0.0013937424292223,0.12231413540376393,0.0489423489430732,0.19932030544828533,0.16079732988815917
ALEXP FP Equity_DX_ACTIVE_UTILIZATION_MV,5,998,0.048941295754518756,0.122322186114909,0.1994436978371836,2.0609893151015408e-10,0.16020619297744407,3.607232190641863e-10,0.19498074539661792,0.0020216820653844573,1.1921932042685621,0.002395250430131557,0.001393639235784283,0.12232218611490286,0.048941295754518756,0.1994436978371836,0.16020619297744407
ALEXP FP Equity_DX_SUPPLY_SI_MV,5,998,0.040555872402844896,0.20050040488401352,0.15598058867293565,7.35426097461179e-07,0.12593068770285187,8.910022673700884e-07,0.12027314948323298,3.0554380780769956,1.196662424515099,0.0016447787863559382,0.0006424141064225175,0.20050040488401472,0.040555872402844896,0.15598058867293565,0.12593068770285187
ALEXP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,5,998,0.0397129604646857,0.21002385657459213,0.20014102689010482,1.7776992918323325e-10,0.16150079495615816,1.657929272149432e-10,0.2113864849403495,3.0609469727033244e-06,1.1966491174775309,0.0015771192288693836,0.0005746866176533638,0.21002385657457606,0.0397129604646857,0.20014102689010482,0.16150079495615816
ALEXP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,5,998,0.034574629234323875,0.2751807993797886,0.1326519211928342,2.6228007108075484e-05,0.10793227580976202,2.553018094398322e-05,0.08466536666302504,0.0064146553366717,1.1975089972759458,0.0011954049866913508,0.00019258912824426933,0.2751807993798016,0.034574629234323875,0.1326519211928342,0.10793227580976202
