feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALNLF FP Equity_DX_UTILIZATION_QUANTITY,5,2326,-0.2596080075285678,3.890193470995694e-37,-0.49150662990862953,9.60822008889456e-142,-0.33142946877531365,5.141444412318825e-105,1.0186691767403113,-0.003077430119458166,0.38562898442629423,0.06739631757295272,0.06699502511063482,3.890193470996271e-37,0.2596080075285678,0.49150662990862953,0.33142946877531365
ALNLF FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,5,2326,-0.2527101643403557,3.237139653485538e-35,-0.46570425213106303,1.5073212299739183e-125,-0.3805537528964532,1.0212891572400555e-111,0.3427709114934414,-0.002382676272181234,0.39528614138926516,0.0638624271609296,0.06345961409172185,3.2371396534853744e-35,0.2527101643403557,0.46570425213106303,0.3805537528964532
ALNLF FP Equity_DX_ACTIVE_UTILIZATION_MV,5,2326,-0.25270930129317176,3.2389037720703285e-35,-0.46570425213106303,1.5073212299739183e-125,-0.3805537528964532,1.0212891572400555e-111,0.342778953031426,-0.0023826653241764795,0.39528545489618266,0.06386199096008305,0.06345917770318132,3.238903772065027e-35,0.25270930129317176,0.46570425213106303,0.3805537528964532
ALNLF FP Equity_DX_SUPPLY_SI_QTY,5,2326,-0.24276997534262093,1.4977392503144677e-32,-0.605495393936585,9.259545029105812e-233,-0.43356827953494204,4.935177689910508e-182,1.1522523889986682,-1.1579655190971127e-06,0.3466079906163863,0.058937260927856894,0.05853232859607038,1.497739250315632e-32,0.24276997534262093,0.605495393936585,0.43356827953494204
ALNLF FP Equity_DX_BROKER_SI_QTY,5,2326,-0.23983926958918209,8.68037419656483e-32,-0.550838907308439,1.0164575643119057e-184,-0.3865951049611057,5.748704204173738e-146,1.1323397540577695,-9.70355024043171e-07,0.3566625302463618,0.057522875237072224,0.05711733430559085,8.68037419656384e-32,0.23983926958918209,0.550838907308439,0.3865951049611057
ALNLF FP Equity_DX_SI_QTY,5,2326,-0.23874948606138888,1.6583611163100607e-31,-0.562587034651661,2.6993689203999817e-194,-0.3983489156156113,2.9081409990025466e-155,1.1558631796294692,-6.45606553552031e-07,0.35270813881694413,0.057001317094577564,0.05659555174048758,1.6583611163111874e-31,0.23874948606138888,0.562587034651661,0.3983489156156113
ALNLF FP Equity_DX_BROKER_SI_MARKET_SHARE_2,5,2326,-0.23757904757869094,3.3116912303111265e-31,-0.4120103679402518,5.273953749010304e-96,-0.2853707451100258,4.4550205705614584e-80,0.8007170210588477,-0.008037712581749797,0.3806002861622325,0.05644380384839787,0.05603779860048419,3.31169123031313e-31,0.23757904757869094,0.4120103679402518,0.2853707451100258
ALNLF FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,5,2326,-0.2125550027975832,3.601067221571892e-25,-0.5165542664501949,7.48438580207629e-159,-0.34486897158714314,5.271921325568279e-117,0.9335340209837377,-1.3381140015947924e-05,0.34654154711141094,0.04517962921428054,0.04476877707538829,3.601067221572086e-25,0.2125550027975832,0.5165542664501949,0.34486897158714314
ALNLF FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,5,2326,-0.20915915260612422,2.0874876425761373e-24,-0.5440858960773257,2.1926780283258393e-179,-0.3877783412639128,1.211672739909461e-145,0.9950113476852587,-0.4036262982414089,0.3418331632323666,0.04374755111891193,0.043336082767414186,2.0874876425764543e-24,0.20915915260612422,0.5440858960773257,0.3877783412639128
ALNLF FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,5,2326,-0.20915915260612422,2.0874876425761373e-24,-0.5440858960773257,2.1926780283258393e-179,-0.3877783412639128,1.211672739909461e-145,0.9950113476852587,-0.4036262982414089,0.3418331632323666,0.04374755111891193,0.043336082767414186,2.0874876425764543e-24,0.20915915260612422,0.5440858960773257,0.3877783412639128
ALNLF FP Equity_DX_BROKER_SI_MARKET_SHARE_1,5,2326,-0.20299196662895327,4.698946790576748e-23,-0.3560362613911142,1.829027795048789e-70,-0.2699764768528007,9.788632627559974e-73,0.8902253081978966,-0.003436464271217337,0.36707208672891545,0.041205738515890045,0.04079317644124125,4.698946790574895e-23,0.20299196662895327,0.3560362613911142,0.2699764768528007
ALNLF FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,5,2326,-0.18718516065253896,8.754319123717768e-20,-0.5117954103389243,1.71951307902575e-155,-0.38139126033435766,2.1363463675144145e-142,0.7973008700516431,-0.07091293040824674,0.32218227062469557,0.03503828436851697,0.03462306848399399,8.754319123715216e-20,0.18718516065253896,0.5117954103389243,0.38139126033435766
ALNLF FP Equity_DX_SUPPLY_SI_MV,5,2326,-0.1868483780897025,1.0206104132428929e-19,-0.4062132177715483,4.010687965497613e-93,-0.3003597254620438,9.736532856300397e-76,0.46414854727370214,-11.11606434765613,0.33580975089823506,0.034912316394752785,0.03449704630714301,1.0206104132416751e-19,0.1868483780897025,0.4062132177715483,0.3003597254620438
