feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALPRG FP Equity_DX_UTILIZATION_QUANTITY,5,4737,-0.5520227679971177,0.0,-0.6472676116217365,0.0,-0.48307988376077093,0.0,0.887096315471597,-0.00869194990551622,1.0753558202117715,0.30472913638719956,0.30458229987957275,0.0,0.5520227679971177,0.6472676116217365,0.48307988376077093
ALPRG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,5,4737,0.5515839710713799,0.0,0.5180227583996906,0.0,0.4237473477544612,0.0,0.5774833420957237,2.720079530910159,0.6869313035324556,0.30424487714287285,0.3040979383629664,0.0,0.5515839710713799,0.5180227583996906,0.4237473477544612
ALPRG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,5,4737,0.5474107895764578,0.0,0.5174090330532469,0.0,0.4317571542552757,0.0,0.7663303266462793,2.7187706340554503e-06,0.6880923022190959,0.29965857254472084,0.2995106651682783,0.0,0.5474107895764578,0.5174090330532469,0.4317571542552757
ALPRG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,5,4737,-0.48816227772472914,3.1308544368536244e-282,-0.6249502468650271,0.0,-0.5114368836243394,0.0,0.4859469831761132,-0.006787975346264922,1.064454341557189,0.23830240939339564,0.2381415440099518,3.1308544368601807e-282,0.48816227772472914,0.6249502468650271,0.5114368836243394
ALPRG FP Equity_DX_ACTIVE_UTILIZATION_MV,5,4737,-0.48816227772472914,3.1308544368536244e-282,-0.6249502468650271,0.0,-0.5114368836243394,0.0,0.4859469831761132,-0.006787975346264922,1.064454341557189,0.23830240939339564,0.2381415440099518,3.1308544368601807e-282,0.48816227772472914,0.6249502468650271,0.5114368836243394
ALPRG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,5,4737,0.4595761926512514,2.8661727944068725e-246,0.4923174865917922,9.500095056269956e-288,0.3995845831698664,3.2243441651783607e-287,0.6640874403171533,4.237869202401427e-06,0.6985196051652968,0.21121027685182014,0.21104368979307708,2.866172794428833e-246,0.4595761926512514,0.4923174865917922,0.3995845831698664
ALPRG FP Equity_DX_BROKER_SI_MARKET_SHARE_2,5,4737,-0.45575717403663335,1.0173861001789969e-241,-0.48726341788805444,4.7786745142737675e-281,-0.3561326200805421,2.738067290351225e-259,1.0419478290283966,-0.018426946257943017,1.1084655178907417,0.20771460168585854,0.20754727636414483,1.0173861001661284e-241,0.45575717403663335,0.48726341788805444,0.3561326200805421
ALPRG FP Equity_DX_SUPPLY_SI_QTY,5,4737,-0.4520964973860237,2.0647404371279407e-237,-0.6388001559909487,0.0,-0.4715575930615798,0.0,0.9647360141404886,-1.4791980627117018e-05,0.998679950610646,0.20439124294871136,0.20422321575609226,2.0647404371127663e-237,0.4520964973860237,0.6388001559909487,0.4715575930615798
ALPRG FP Equity_DX_SI_QTY,5,4737,-0.2938480188627228,5.562186165509834e-95,-0.3774564050113483,2.8223389006912275e-160,-0.22577313190247178,9.276544475485147e-110,1.5383026269630244,-3.0702201483401376e-06,0.98309909033521,0.0863466581895469,0.08615370077839368,5.56218616552314e-95,0.2938480188627228,0.3774564050113483,0.22577313190247178
ALPRG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,5,4737,-0.2753912775975237,3.382356811634222e-83,-0.5987665563070066,0.0,-0.4275863245314648,0.0,0.860490851453044,-2.6951466313327487e-05,0.9239313494943555,0.07584035577679571,0.07564517950557648,3.3823568116390395e-83,0.2753912775975237,0.5987665563070066,0.4275863245314648
ALPRG FP Equity_DX_SUPPLY_SI_MV,5,4737,-0.2595107391656818,9.171803279898657e-74,-0.48657715285678477,3.8073379878868997e-280,-0.38183486012120277,3.4425927200654403e-236,0.36481010525645874,-24.987790319615264,0.9116426239121499,0.06734582374231857,0.06714885348334121,9.171803279877884e-74,0.2595107391656818,0.48657715285678477,0.38183486012120277
ALPRG FP Equity_DX_BROKER_SI_QTY,5,4737,-0.19078602506506387,4.546833213828258e-40,-0.2746720451038882,9.341430572510941e-83,-0.1452576874309446,1.9379155079475893e-46,1.527909866372458,-2.137231794321761e-06,0.9184922624832591,0.0363993073601272,0.03619580140603218,4.5468332138290164e-40,0.19078602506506387,0.2746720451038882,0.1452576874309446
ALPRG FP Equity_DX_BROKER_SI_CON_RATIO,5,4737,0.13252729289511617,5.222306466374369e-20,0.01460546382172179,0.3148862456867476,-0.007578263542344335,0.4562254805663766,1.2381564943129497,0.25090064585435173,0.7246021296264838,0.017563483362107668,0.01735599940928023,5.222306466387099e-20,0.13252729289511617,0.01460546382172179,0.007578263542344335
ALPRG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,5,4737,0.13192419503431366,7.703757852230329e-20,0.0238556849304885,0.10065457592222195,0.05153015855865455,3.4944827917408904e-07,1.272391237451409,1.9732907662194717e-06,0.7800870498415786,0.017403993235451498,0.017196475599387195,7.703757852225096e-20,0.13192419503431366,0.0238556849304885,0.05153015855865455
ALPRG FP Equity_DX_SHORT_INTEREST_VALUE,5,4737,0.09263147342859804,1.6862429614857418e-10,-0.016097094892926364,0.2680018156518736,0.019961907713067942,0.04823940125438836,1.2492276536110842,1.394370602996956e-06,0.7919521185703912,0.008580589869553013,0.008371208790327933,1.686242961484483e-10,0.09263147342859804,0.016097094892926364,0.019961907713067942
