feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALVGO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,5,1743,-0.8173043797710222,0.0,-0.8174857324724729,0.0,-0.6618536037048106,6.662586427489346e-288,0.9806179153540151,-0.008585850832028183,8.899577321316976,0.667986449192896,0.667795746406677,0.0,0.8173043797710222,0.8174857324724729,0.6618536037048106
ALVGO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,5,1743,-0.6542794941096983,1.6774616285595734e-213,-0.6515251473441113,3.949207469203473e-211,-0.38115706286066847,7.565915555627883e-108,1.2523166033739495,-0.0016344844709451371,8.275920066424984,0.4280816564124431,0.42775315650228374,1.677461628563174e-213,0.6542794941096983,0.6515251473441113,0.38115706286066847
ALVGO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,5,1743,0.3189441310352155,1.6529000006850973e-42,0.28066879845507814,6.468196817444633e-33,0.23042866204506804,3.0440663273395077e-34,0.33976420945102714,7.282791417703592e-05,6.109847035856178,0.10172535872180888,0.10120940545283819,1.6529000006830135e-42,0.3189441310352155,0.28066879845507814,0.23042866204506804
ALVGO FP Equity_DX_SI_MV,5,1743,0.31611043290778573,9.52121871071121e-42,0.26218430312380464,8.621313076460991e-29,0.2178071641676589,2.2581728902845923e-30,0.31721557184050453,67.95299879071958,6.10907145271412,0.09992580579314747,0.09940881889239694,9.521218710722795e-42,0.31611043290778573,0.26218430312380464,0.2178071641676589
ALVGO FP Equity_DX_SHORT_INTEREST_VALUE,5,1743,0.3140400484829451,3.381459066682488e-41,0.26140631799225456,1.2652397006894984e-28,0.21594998642944488,2.0990720721933298e-30,0.3723053915395873,6.920269374807688e-05,6.107800520726881,0.09862115205117072,0.09810341578009163,3.3814590666781903e-41,0.3140400484829451,0.26140631799225456,0.21594998642944488
ALVGO FP Equity_DX_BROKER_SI_QTY,5,1743,0.29876563521315214,2.8582554355478873e-37,0.2753785919929388,1.0572667073704959e-31,0.22407771363194923,3.5913915580775865e-32,0.36466609189801713,0.0006281121077899519,6.128812166104193,0.0892609047843187,0.08873779215065092,2.858255435544417e-37,0.29876563521315214,0.2753785919929388,0.22407771363194923
ALVGO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,5,1743,0.298372733880804,3.5813236999279605e-37,0.25565636925744023,2.070975675609443e-27,0.20821872162907198,3.7873886411646715e-28,0.3694056074035621,14.337777331454138,6.121714526934076,0.08902628832350545,0.08850304093023931,3.5813236999252886e-37,0.298372733880804,0.25565636925744023,0.20821872162907198
ALVGO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,5,1743,0.28653414810835953,2.7175665918527482e-34,0.2547001670893872,3.2742852898284776e-27,0.20773503586561895,6.328435578782762e-28,0.34892346587439915,23.77647782072757,6.130779207087307,0.08210181803218353,0.08157459334409178,2.7175665918555467e-34,0.28653414810835953,0.2547001670893872,0.20773503586561895
ALVGO FP Equity_DX_SI_QTY,5,1743,0.2821417572768583,2.9388952666511697e-33,0.2529473353657868,7.544489166764139e-27,0.20620155447452101,1.2998908043564956e-27,0.3541768562328602,0.0005698963794359348,6.135173969369045,0.0796039711992742,0.07907531179157712,2.938895266645528e-33,0.2821417572768583,0.2529473353657868,0.20620155447452101
ALVGO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,5,1743,0.256562167769685,1.3395158954630627e-27,0.24169498713476464,1.3753599004989375e-24,0.1866992402681413,6.227315968305634e-23,0.3274655326808906,0.026158448727690162,6.161144324096805,0.0658241459306802,0.06528757163196153,1.3395158954623182e-27,0.256562167769685,0.24169498713476464,0.1866992402681413
ALVGO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,5,1743,0.24482113410440853,3.324934000962067e-25,0.24583624345605626,2.0876743540963816e-25,0.19713071962935474,5.85182992846885e-25,0.24330264283412628,0.08988482817407575,6.26735629567277,0.05993738770416901,0.05939743215431503,3.3249340009643324e-25,0.24482113410440853,0.24583624345605626,0.19713071962935474
ALVGO FP Equity_DX_BROKER_SI_CON_RATIO,5,1743,0.24386119585436145,5.153056125262419e-25,0.2423002672694429,1.0464278878160428e-24,0.18767375331211342,3.6959290787743804e-23,0.3058075025864393,2.6679739535072646,6.183251207982713,0.059468282843519904,0.05892805784802513,5.153056125268729e-25,0.24386119585436145,0.2423002672694429,0.18767375331211342
ALVGO FP Equity_DX_ACTIVE_UTILIZATION_MV,5,1743,0.19811856114394694,6.928232656963158e-17,0.19697784228404305,1.0480139278242792e-16,0.16113441684956292,2.012786468582737e-16,0.07233508966622515,0.024395800985828997,6.330586568083795,0.039250964269747946,0.03869912679948362,6.928232656960742e-17,0.19811856114394694,0.19697784228404305,0.16113441684956292
ALVGO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,5,1743,0.19811856114394694,6.928232656963158e-17,0.19697784228404305,1.0480139278242792e-16,0.16113441684956292,2.012786468582737e-16,0.07233508966622515,0.024395800985828997,6.330586568083795,0.039250964269747946,0.03869912679948362,6.928232656960742e-17,0.19811856114394694,0.19697784228404305,0.16113441684956292
ALVGO FP Equity_DX_DEMAND_SUPPLY_RATIO,5,1743,0.18972082494192957,1.3751275169118852e-15,0.2111566880225745,5.105330100454479e-19,0.16982224194998505,1.1068369551309905e-18,0.19437688016633525,0.24128548007840475,6.377074176008144,0.035993991416646276,0.03544028319804593,1.3751275169124763e-15,0.18972082494192957,0.2111566880225745,0.16982224194998505
ALVGO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,5,1743,0.1210359916063509,4.0163827792685356e-07,0.2333397639936441,5.541698473666021e-23,0.17533912226456336,1.3692911994182374e-20,0.3713825849699637,0.7661384624751961,6.371302488745076,0.014649711264132503,0.01408374326370987,4.016382779269671e-07,0.1210359916063509,0.2333397639936441,0.17533912226456336
ALVGO FP Equity_DX_UTILIZATION_QUANTITY,5,1743,0.10733720082222499,7.088525974826933e-06,0.1898489327820884,1.3151899171013269e-15,0.15166557757556828,4.8785125582435215e-15,0.1452138195899808,0.024160768206964202,6.414870284122903,0.011521274680351135,0.010953509760581182,7.088525974827587e-06,0.10733720082222499,0.1898489327820884,0.15166557757556828
ALVGO FP Equity_DX_BROKER_SI_QTY_DEC,5,1743,0.07646474539208259,0.0013995990590824237,0.11711024549696042,9.455920005970179e-07,0.09546343886580126,1.0326147732058703e-06,0.014327185890629313,0.0033141468448627705,6.479969076002605,0.005846857287876039,0.005275833081838099,0.0013995990590823077,0.07646474539208259,0.11711024549696042,0.09546343886580126
ALVGO FP Equity_DX_BROKER_SI_MV_DEC,5,1743,0.07597345790842751,0.0015027715830988975,0.07255743501496344,0.002437120774652664,0.059356398032704816,0.0024518317171779644,0.011458939617787767,286.15612990007486,6.482126441199065,0.00577196630656307,0.005200899084453203,0.0015027715830989196,0.07597345790842751,0.07255743501496344,0.059356398032704816
ALVGO FP Equity_DX_BROKER_SI_QTY_INC,5,1743,0.06825018108675901,0.004362664603678755,0.09900809648564018,3.462087680609459e-05,0.08090581305248072,3.597273610203909e-05,0.008740405119620487,0.002667446903211643,6.489210121249195,0.00465808721837524,0.004086380203566775,0.004362664603678679,0.06825018108675901,0.09900809648564018,0.08090581305248072
ALVGO FP Equity_DX_BROKER_SI_MV_INC_x,5,1743,0.0667352082798404,0.005315683754268692,0.08493181650757216,0.00038565394201469044,0.06943217705040906,0.00039508463772486,0.013276990387056875,194.41517415794868,6.489620646051275,0.004453588024154631,0.0038817635485798307,0.005315683754268469,0.0667352082798404,0.08493181650757216,0.06943217705040906
ALVGO FP Equity_DX_BROKER_SI_MV_INC_y,5,1743,0.0667352082798404,0.005315683754268692,0.08493181650757216,0.00038565394201469044,0.06943217705040906,0.00039508463772486,0.013276990387056875,194.41517415794868,6.489620646051275,0.004453588024154631,0.0038817635485798307,0.005315683754268469,0.0667352082798404,0.08493181650757216,0.06943217705040906
ALVGO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,5,1743,0.06505216377131792,0.0065914688276441985,0.191554927406097,7.2434365372379e-16,0.1538904446843482,1.3885728491497875e-15,0.18261094253874877,0.00013711805196193956,6.454180181945346,0.004231784011329953,0.003659832135403218,0.006591468827644135,0.06505216377131792,0.191554927406097,0.1538904446843482
ALVGO FP Equity_DX_BROKER_SI_QTY_ADD,5,1743,0.05806998415222016,0.015321660205904516,0.05477874511092541,0.022193008020523753,0.044789135683909,0.02218561190559679,0.008317198644699264,0.0019112903045111092,6.48975173513393,0.003372123059439125,0.0027996774092723387,0.015321660205903241,0.05806998415222016,0.05477874511092541,0.044789135683909
ALVGO FP Equity_DX_BROKER_SI_MV_ADD,5,1743,0.05781064786019116,0.015785449348052993,0.05295469955930077,0.02705078019261218,0.04332769793218332,0.027016623933719387,0.009481347210177127,164.3161240903905,6.491944848716974,0.003342071006015579,0.0027696080944740187,0.01578544934805334,0.05781064786019116,0.05295469955930077,0.04332769793218332
ALVGO FP Equity_DX_SUPPLY_SI_QTY_INC_y,5,1743,0.03598910370747631,0.13311601817664298,0.030245821622803336,0.20690443085403823,0.024759448006523705,0.20640762058676543,0.00979367370849249,0.019138988699482697,6.494151695077574,0.0012952155856680303,0.0007215769961136376,0.13311601817664484,0.03598910370747631,0.030245821622803336,0.024759448006523705
ALVGO FP Equity_DX_SUPPLY_SI_QTY_INC_x,5,1743,0.03598910370747631,0.13311601817664298,0.030245821622803336,0.20690443085403823,0.024759448006523705,0.20640762058676543,0.00979367370849249,0.019138988699482697,6.494151695077574,0.0012952155856680303,0.0007215769961136376,0.13311601817664484,0.03598910370747631,0.030245821622803336,0.024759448006523705
ALVGO FP Equity_DX_BROKER_SI_MV_NEW_y,5,1743,0.028598708006804738,0.23272755821307498,0.02828529931643365,0.2378892460644977,0.023138314228239934,0.23778103013826557,0.010211229753602558,372.3592422502698,6.496407577497129,0.0008178860996586046,0.00024397334038217533,0.23272755821308774,0.028598708006804738,0.02828529931643365,0.023138314228239934
ALVGO FP Equity_DX_BROKER_SI_MV_NEW_x,5,1743,0.028598708006804738,0.23272755821307498,0.02828529931643365,0.2378892460644977,0.023138314228239934,0.23778103013826557,0.010211229753602558,372.3592422502698,6.496407577497129,0.0008178860996586046,0.00024397334038217533,0.23272755821308774,0.028598708006804738,0.02828529931643365,0.023138314228239934
ALVGO FP Equity_DX_BROKER_SI_QTY_NEW,5,1743,0.028598708006804734,0.23272755821307498,0.02828529931643365,0.2378892460644977,0.023138314228239934,0.23778103013826557,0.010211229753602558,0.006205987370837788,6.496407577497129,0.0008178860996586046,0.00024397334038217533,0.2327275582130867,0.028598708006804734,0.02828529931643365,0.023138314228239934
ALVGO FP Equity_DX_SUPPLY_SI_MV_DEC,5,1743,0.022789068915538956,0.34167163906725456,0.02509267685093529,0.29509321975064784,0.020526643020789787,0.2949612744527055,0.009903059994049501,148.48637147785774,6.495136285221394,0.0005193416620374869,-5.474257595095011e-05,0.3416716390672607,0.022789068915538956,0.02509267685093529,0.020526643020789787
ALVGO FP Equity_DX_SUPPLY_SI_QTY,5,1743,-0.022053173530481588,0.35749182776633265,0.19039552574008575,1.0870659508447587e-15,0.1522643723581859,3.740747043911665e-15,0.15465872678430692,-0.00022842198120200533,6.510122250165918,0.0004863424627666868,-8.776072938565527e-05,0.3574918277663365,0.022053173530481588,0.19039552574008575,0.1522643723581859
ALVGO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,5,1743,0.016512527587290615,0.49086223702991266,0.017177840520833508,0.473558993768581,0.014052044041927891,0.47340110569496685,0.019661501067215204,65.01043460004125,6.494441108545034,0.00027266356732080776,-0.0003015623582578453,0.4908622370299168,0.016512527587290615,0.017177840520833508,0.014052044041927891
ALVGO FP Equity_DX_SUPPLY_SI_MV,5,1743,-0.010964039455257086,0.6473650167198759,0.004915382694553374,0.8375193344157162,0.004020946289670335,0.8374512827048877,0.048103029549772636,-22.828273634761242,6.503782736347627,0.00012021016117680361,-0.00045410333097639644,0.6473650167198919,0.010964039455257086,0.004915382694553374,0.004020946289670335
ALVGO FP Equity_DX_SUPPLY_SI_QTY_DEC,5,1743,-0.002887383392806918,0.9041188689475531,0.031149170005152542,0.193656841027193,0.02543484905216685,0.19401690126105076,0.01046184743421441,-0.00010778703607794718,6.498948941529739,8.336982857071185e-06,-0.000566040767296272,0.9041188689475621,0.002887383392806918,0.031149170005152542,0.02543484905216685
ALVGO FP Equity_DX_SUPPLY_SI_QTY_ADD,5,1743,-0.0016275333941852502,0.9458655568188117,0.041367344036752435,0.08424748327271754,0.03380150330311918,0.08437625987771002,0.008430458768089455,-6.130618563610263e-05,6.4987602025482945,2.6488649496059224e-06,-0.0005717321523592833,0.9458655568188203,0.0016275333941852502,0.041367344036752435,0.03380150330311918
