feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ASUI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,5,293,0.32349915568015886,1.4544972610553013e-08,0.3935112797867175,2.7270942725441774e-12,0.2923640879287323,9.091895796384722e-12,0.3371804629788646,5.7046761080379724e-05,66.92696767390369,0.1046517037257757,0.10157490545679215,1.4544972610553028e-08,0.32349915568015886,0.3935112797867175,0.2923640879287323
ASUI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,5,293,0.3225047255785821,1.6191796726878053e-08,0.3803949584687394,1.600437224857533e-11,0.2857759551206291,3.323820378027577e-11,0.3658536612264638,57.67713254802629,66.92282515788959,0.1040092980205165,0.10093029217178973,1.61917967268783e-08,0.3225047255785821,0.3803949584687394,0.2857759551206291
ASUI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,5,293,0.29421838831202335,2.918398560806103e-07,0.3702490878463059,5.965398020882982e-11,0.27027276618161233,3.4544758250635225e-10,0.308181912472806,0.005085303216913899,67.19176452293259,0.08656446002092433,0.08342550627529177,2.918398560806188e-07,0.29421838831202335,0.3702490878463059,0.27027276618161233
ASUI FP Equity_DX_UTILIZATION_QUANTITY,5,293,0.23183449986574547,6.172473969385157e-05,0.26291848845665905,5.073884059284259e-06,0.2098431683580363,5.828160410282983e-06,0.12711741530665677,0.2181417980927739,69.33833952818223,0.0537472353280003,0.05049550761435084,6.172473969385143e-05,0.23183449986574547,0.26291848845665905,0.2098431683580363
ASUI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,5,293,0.22625185229047481,9.343540870382457e-05,0.2596912072795054,6.67804655283819e-06,0.21283355386035263,7.909339121713761e-06,0.08694738269431435,0.18592959796568648,69.07934468530762,0.051189900664870724,0.047929384859595414,9.343540870382244e-05,0.22625185229047481,0.2596912072795054,0.21283355386035263
ASUI FP Equity_DX_ACTIVE_UTILIZATION_MV,5,293,0.22624621452650795,9.347405548976714e-05,0.2596965025883733,6.67505677090997e-06,0.2128662235767487,7.878478959285474e-06,0.08682018380250156,0.1859277066527328,69.079434527143,0.05118734958757476,0.04792682501571077,9.34740554897679e-05,0.22624621452650795,0.2596965025883733,0.2128662235767487
ASUI FP Equity_DX_DEMAND_SUPPLY_RATIO,5,293,0.20720749930459142,0.0003563183451870816,0.2540379653219856,1.0712262411745145e-05,0.1997860183695894,1.343844483166825e-05,0.1340304706905262,10.270283696999579,69.70820685062728,0.04293494776806217,0.03964606442705898,0.0003563183451870818,0.20720749930459142,0.2540379653219856,0.1997860183695894
ASUI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,5,293,0.1942965757257997,0.0008272144065321862,0.23208968932532623,6.05512164208688e-05,0.18187460648003764,8.14432372653987e-05,0.1127699692634796,0.17588281802117994,69.51346280286079,0.03775115933877149,0.03444446229182574,0.0008272144065322017,0.1942965757257997,0.23208968932532623,0.18187460648003764
ASUI FP Equity_DX_SUPPLY_SI_MV,5,293,0.1899558014086546,0.001085324577765447,0.2819792151926909,9.295830458918136e-07,0.21900282013011102,1.5554879742126124e-06,0.14651368436618628,50.969944848570925,70.53935650178522,0.036083206488804365,0.03277077764512326,0.0010853245777654708,0.1899558014086546,0.2819792151926909,0.21900282013011102
ASUI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,5,293,0.18700927284860214,0.0013007401094334682,0.26556729560001957,4.038707607439811e-06,0.20508067979989836,6.229265601272362e-06,0.1200418740972875,4.713605731424683e-05,70.64963592880363,0.0349724681313629,0.0316562223173813,0.0013007401094334526,0.18700927284860214,0.26556729560001957,0.20508067979989836
ASUI FP Equity_DX_BROKER_SI_CON_RATIO,5,293,0.18625838462610445,0.0013615853177061613,0.23105433665290678,6.544667653459657e-05,0.18171001449466606,8.423478278495199e-05,0.10519197726718632,17.150806808311657,69.70593743286167,0.03469218584352618,0.031374976860170656,0.0013615853177061398,0.18625838462610445,0.23105433665290678,0.18171001449466606
ASUI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,5,293,0.18270200182683238,0.001686822540526121,0.24184008323555922,2.8615229720611104e-05,0.19090103213075335,4.561234346445342e-05,0.07994085804954643,0.45480611030746704,71.02139355248414,0.033380021471532184,0.030058303332259118,0.0016868225405261273,0.18270200182683238,0.24184008323555922,0.19090103213075335
ASUI FP Equity_DX_SI_MV,5,293,0.1782924757676594,0.002188287174337348,0.27179266184737305,2.339566222333769e-06,0.20952411214562894,3.824355983943311e-06,0.1093825746068171,23.731148470915382,70.71134563042126,0.03178820691536155,0.028461018622974454,0.0021882871743373355,0.1782924757676594,0.27179266184737305,0.20952411214562894
ASUI FP Equity_DX_SHORT_INTEREST_VALUE,5,293,0.17632776664913322,0.0024527356892484124,0.2567224090536854,8.570808130675476e-06,0.19772917336051643,1.212271619420738e-05,0.11582794520667461,2.264403525150978e-05,70.77997934476156,0.031091481291471212,0.027761898752953984,0.0024527356892484723,0.17632776664913322,0.2567224090536854,0.19772917336051643
ASUI FP Equity_DX_SUPPLY_SI_QTY,5,293,0.1672877733500013,0.004084933586369584,0.2612031539773505,5.874213284873312e-06,0.20090785405187156,9.996275116999447e-06,0.11564927694266247,0.0035755469297339016,70.92682075285879,0.027985199112401604,0.024644942064677933,0.004084933586369656,0.1672877733500013,0.2612031539773505,0.20090785405187156
ASUI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,5,293,0.1600502995297743,0.006039476425159103,0.22396502804502535,0.0001104058436742481,0.1761355483301324,0.0001085421105586637,0.10249967861728071,4.0607403070195506e-05,71.03754338527318,0.025616098379570573,0.022267700092215126,0.006039476425159091,0.1600502995297743,0.22396502804502535,0.1761355483301324
ASUI FP Equity_DX_SI_QTY,5,293,0.1572143270439947,0.007010184408617246,0.250819513957248,1.3950765162987104e-05,0.19269498744600558,2.087984171097526e-05,0.12576648915049726,0.001703456770040514,71.03250455350616,0.02471634462789596,0.021364854403249534,0.0070101844086171115,0.1572143270439947,0.250819513957248,0.19269498744600558
ASUI FP Equity_DX_BROKER_SI_QTY,5,293,0.14123533483043038,0.015547637672852933,0.22033503717935576,0.00014339475814152168,0.17267736519105167,0.0001530098410542316,0.12168764625675066,0.0029873805318366134,71.27420501483732,0.019947419804663746,0.016579541522205532,0.015547637672853196,0.14123533483043038,0.22033503717935576,0.17267736519105167
ASUI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,5,293,0.13831806818386377,0.017841037553568327,0.2627958908609069,5.127450905259907e-06,0.201952495896233,8.779925935943868e-06,0.11292735326228498,16.071846330893386,71.42831078954403,0.019131887986116203,0.015761207188817683,0.01784103755356838,0.13831806818386377,0.2627958908609069,0.201952495896233
ASUI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,5,293,0.1252936503564548,0.032035314796971,0.2579353673851297,7.742898930387284e-06,0.19631367876792993,1.4962111973779527e-05,0.10332016628892537,6.8024869128446905,71.63697090006721,0.015698498819645357,0.012316019434145842,0.03203531479697084,0.1252936503564548,0.2579353673851297,0.19631367876792993
ASUI FP Equity_DX_SUPPLY_SI_QTY_INC_x,5,293,0.0905533597446214,0.12196526359980225,0.14781829436162972,0.011297560665507843,0.12025199236183767,0.0114362213999953,0.028427530793777134,0.004926540436816018,72.5627122481086,0.008199910961038781,0.004791663232382559,0.1219652635998037,0.0905533597446214,0.14781829436162972,0.12025199236183767
ASUI FP Equity_DX_SUPPLY_SI_QTY_INC_y,5,293,0.0905533597446214,0.12196526359980225,0.14781829436162972,0.011297560665507843,0.12025199236183767,0.0114362213999953,0.028427530793777134,0.004926540436816018,72.5627122481086,0.008199910961038781,0.004791663232382559,0.1219652635998037,0.0905533597446214,0.14781829436162972,0.12025199236183767
ASUI FP Equity_DX_BROKER_SI_MV_INC_y,5,293,0.08631553805111042,0.14050301393935785,0.13096391310448482,0.024972846280668887,0.10762476337180657,0.023842758621366457,0.012736434337867975,51.4693667464492,72.61344234878402,0.007450372109052861,0.004039548645510149,0.14050301393935868,0.08631553805111042,0.13096391310448482,0.10762476337180657
ASUI FP Equity_DX_BROKER_SI_MV_INC_x,5,293,0.08631553805111042,0.14050301393935785,0.13096391310448482,0.024972846280668887,0.10762476337180657,0.023842758621366457,0.012736434337867975,51.4693667464492,72.61344234878402,0.007450372109052861,0.004039548645510149,0.14050301393935868,0.08631553805111042,0.13096391310448482,0.10762476337180657
ASUI FP Equity_DX_BROKER_SI_QTY_INC,5,293,0.08553457023446989,0.14414300147788675,0.1308917730739934,0.025053495610786264,0.10740972887955522,0.024124617866301212,0.017093122367069613,0.004715418412391087,72.61507525653441,0.007316162705195417,0.0039048780409520756,0.14414300147788822,0.08553457023446989,0.1308917730739934,0.10740972887955522
ASUI FP Equity_DX_SUPPLY_SI_MV_DEC,5,293,0.07478669251632447,0.20179362367294787,0.11165749353039468,0.05625276873125563,0.08969853538515826,0.05710350933551213,0.02158161588620433,27.59617051143604,72.44427773792542,0.005593049377531689,0.0021758433616468897,0.2017936236729476,0.07478669251632447,0.11165749353039468,0.08969853538515826
ASUI FP Equity_DX_BROKER_SI_MV_DEC,5,293,0.06804356094152288,0.24560710155471682,0.08335088586994016,0.15470251238153876,0.06771595153087587,0.1513586944051097,0.010396975460210678,25.66713336252165,72.48722761042845,0.004629926185602762,0.001209410468027472,0.2456071015547182,0.06804356094152288,0.08335088586994016,0.06771595153087587
ASUI FP Equity_DX_SUPPLY_SI_QTY_DEC,5,293,0.06227227419781127,0.2880520378539532,0.09839890594817992,0.09272400247862121,0.0790755404865792,0.09322063015408587,0.022907033094963003,0.0019214274131826793,72.52126191810623,0.003877836133767243,0.0004547359142956786,0.2880520378539519,0.06227227419781127,0.09839890594817992,0.0790755404865792
ASUI FP Equity_DX_BROKER_SI_QTY_DEC,5,293,0.05337818346324302,0.3625953092975579,0.07030928255206641,0.23020072876452138,0.05711686150260813,0.22572064495750588,0.02297136126473842,0.0016983307899594686,72.58388818381059,0.0028492304698356508,-0.0005774044770034958,0.36259530929755845,0.05337818346324302,0.07030928255206641,0.05711686150260813
ASUI FP Equity_DX_BROKER_SI_MV_ADD,5,293,0.020247390402238875,0.7299940920465241,0.042338810504906156,0.4703254748625386,0.033803518696039404,0.47402558260881245,0.00967348451663752,10.177807598821808,72.78850700699147,0.00040995681810052087,-0.0030250605124213514,0.729994092046522,0.020247390402238875,0.042338810504906156,0.033803518696039404
ASUI FP Equity_DX_SUPPLY_SI_QTY_ADD,5,293,0.017251757001213504,0.7687104534213399,0.024848972234984838,0.6718625731925938,0.019672500168245368,0.6759902950735723,0.0,0.0006991253999688732,72.80695545446383,0.00029762311962910903,-0.003137780237348009,0.7687104534213354,0.017251757001213504,0.024848972234984838,0.019672500168245368
ASUI FP Equity_DX_BROKER_SI_QTY_ADD,5,293,0.016577953662150802,0.7775024340770122,0.032717281873654795,0.5769911371501227,0.025920238534093528,0.582476003147824,0.0011664420285601995,0.000672327670847475,72.8138452948727,0.0002748285476248391,-0.003160653141214942,0.7775024340770145,0.016577953662150802,0.032717281873654795,0.025920238534093528
