feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ATLD FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,5,4624,-0.224299587684766,8.096281653866022e-54,-0.26427558086621467,9.577361786642247e-75,-0.2105204282563865,4.218107599897105e-70,0.20697012736536968,-0.004166829294797029,73.20798534247565,0.050310305035556,0.0501048334442612,8.096281653910842e-54,0.224299587684766,0.26427558086621467,0.2105204282563865
ATLD FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,5,4624,-0.22357198507376463,1.794797669173349e-53,-0.26411999276072123,1.1754500885805182e-74,-0.20846710947263217,3.115311604837265e-69,0.22347733781754586,-9.309440138837458e-05,73.19953708139354,0.04998443250982321,0.04977889041387118,1.7947976691819403e-53,0.22357198507376463,0.26411999276072123,0.20846710947263217
ATLD FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,5,4624,-0.22338756462600834,2.1950759657757814e-53,-0.26411616063827675,1.1813932158101978e-74,-0.20919889700635766,2.0421327821310809e-69,0.20655111637428636,-93.08413030057417,73.19719564564528,0.049902004029539926,0.0496964440996458,2.195075965762722e-53,0.22338756462600834,0.26411616063827675,0.20919889700635766
ATLD FP Equity_DX_BROKER_SI_MARKET_SHARE_1,5,4624,-0.1413469275034982,4.5681364066457865e-22,-0.18326757857450107,3.2726145464611757e-36,-0.14994362343546244,6.261436105574321e-36,0.04155463564943718,-0.323422509359737,72.01740352479601,0.01997895391467941,0.0197669199367293,4.568136406648988e-22,0.1413469275034982,0.18326757857450107,0.14994362343546244
ATLD FP Equity_DX_BROKER_SI_CON_RATIO,5,4624,-0.14074735232201152,6.835143162930266e-22,-0.18326695109067231,3.274426016962065e-36,-0.1499392891566994,6.302967803101933e-36,0.04149088124624645,-34.613947219107914,72.00931183977967,0.01980981718565633,0.01959774661386604,6.835143162926572e-22,0.14074735232201152,0.18326695109067231,0.1499392891566994
ATLD FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,5,4624,-0.1353364053266632,2.3981581335232023e-20,-0.1740502412028891,8.946098054045686e-33,-0.14255352673423577,2.6000537075928786e-32,0.03550733538240758,-0.2919270667257213,71.95937333923817,0.018315942606743074,0.018103548825394444,2.398158133523084e-20,0.1353364053266632,0.1740502412028891,0.14255352673423577
ATLD FP Equity_DX_ACTIVE_UTILIZATION_MV,5,4624,-0.1353364053266632,2.3981581335232023e-20,-0.1740502412028891,8.946098054045686e-33,-0.14255352673423577,2.6000537075928786e-32,0.03550733538240758,-0.2919270667257213,71.95937333923817,0.018315942606743074,0.018103548825394444,2.398158133523084e-20,0.1353364053266632,0.1740502412028891,0.14255352673423577
ATLD FP Equity_DX_BROKER_SI_QTY,5,4624,-0.13387463835394028,6.119811525013149e-20,-0.18298309609245306,4.204963947618572e-36,-0.14896799747115677,2.4394069030983566e-35,0.04369365015163673,-0.04375881434713126,71.94470726891713,0.017922418794398598,0.017709939871593305,6.119811525015668e-20,0.13387463835394028,0.18298309609245306,0.14896799747115677
ATLD FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,5,4624,-0.13348592567764517,7.837474638183412e-20,-0.18290783199644403,4.492984117024931e-36,-0.14802107943778994,4.1435013556340445e-35,0.045409437074558356,-0.0010098780165555682,71.94160144834333,0.017818492354017113,0.017605990946045202,7.837474638172408e-20,0.13348592567764517,0.18290783199644403,0.14802107943778994
ATLD FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,5,4624,-0.13215208073764154,1.821535225391292e-19,-0.1829840277289859,4.2015162172611696e-36,-0.14895130131936873,2.4290260518441216e-35,0.04478511429354515,-163.54608015314858,71.92867935458898,0.01746417244328824,0.017251594375880863,1.8215352253927295e-19,0.13215208073764154,0.1829840277289859,0.14895130131936873
ATLD FP Equity_DX_SI_QTY,5,4624,-0.13201541352114388,1.9849738171197676e-19,-0.1829840277289859,4.2015162172611696e-36,-0.14895130131936873,2.4290260518441216e-35,0.044709942733449415,-0.022133880803577873,71.92709723725028,0.017428069407158464,0.017215483528622566,1.9849738171207662e-19,0.13201541352114388,0.1829840277289859,0.14895130131936873
ATLD FP Equity_DX_SHORT_INTEREST_VALUE,5,4624,-0.13153883948879697,2.6765688481799454e-19,-0.18290697059279268,4.496391475102469e-36,-0.1480149237326516,4.1688926575846747e-35,0.04476881860033077,-0.0005091417033370099,71.92315134710529,0.017302466294059404,0.017089853240466524,2.676568848177842e-19,0.13153883948879697,0.18290697059279268,0.1480149237326516
ATLD FP Equity_DX_SI_MV,5,4624,-0.1313954033080394,2.927917959839771e-19,-0.18296843797630483,4.259581069901903e-36,-0.14883974203726125,2.6697553111898157e-35,0.044173179818074004,-513.6683773305447,71.92184398540599,0.017264752010482054,0.017052130797156728,2.9279179598434588e-19,0.1313954033080394,0.18296843797630483,0.14883974203726125
ATLD FP Equity_DX_DEMAND_SUPPLY_RATIO,5,4624,-0.12933978824021436,1.048271367121028e-18,-0.17413228570680747,8.353430013623703e-33,-0.1425936215681719,1.800860811629317e-32,0.03541896370401276,-20.765401591671356,71.89213292434515,0.01672878082202267,0.016516043647817114,1.04827136712049e-18,0.12933978824021436,0.17413228570680747,0.1425936215681719
ATLD FP Equity_DX_UTILIZATION_QUANTITY,5,4624,-0.12928411330273681,1.084809313250034e-18,-0.1741306880561505,8.364590151940624e-33,-0.14259024461478792,1.814201478944946e-32,0.03577017364601698,-0.41453887447319254,71.89163522710662,0.016714381952474655,0.016501641662979183,1.0848093132501431e-18,0.12928411330273681,0.1741306880561505,0.14259024461478792
ATLD FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,5,4624,-0.1290243386525572,1.2726098370679468e-18,-0.17052900970042165,1.6421797980820032e-31,-0.13937512547694056,5.1719433747719e-31,0.03313219374248022,-993.2985416405247,71.89620021624688,0.016647279964729478,0.016434525157279167,1.2726098370685232e-18,0.1290243386525572,0.17052900970042165,0.13937512547694056
ATLD FP Equity_DX_SUPPLY_SI_QTY,5,4624,-0.12766994818354807,2.91034378844787e-18,-0.17394069245519297,9.803002241713698e-33,-0.14178366454700003,3.917235664031059e-32,0.03785877810876981,-0.04314115947787015,71.8858420410807,0.016299615669189804,0.016086785642289936,2.9103437884435713e-18,0.12766994818354807,0.17394069245519297,0.14178366454700003
ATLD FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,5,4624,-0.12735180901470283,3.530006502596151e-18,-0.17385811416208843,1.0502361692270243e-32,-0.14078628834418017,6.82591305072244e-32,0.038470621360518376,-0.0009926000448985033,71.88349504990093,0.016218483259318184,0.016005635678889574,3.5300065025922875e-18,0.12735180901470283,0.17385811416208843,0.14078628834418017
ATLD FP Equity_DX_SUPPLY_SI_MV,5,4624,-0.12537123438203113,1.1612552062483768e-17,-0.16084537204718405,3.5649473817084153e-28,-0.1316910361969115,7.966782663563744e-28,0.025355537428207953,-972.7079809352193,71.86233957331297,0.015717946410474193,0.015504990535617047,1.1612552062475041e-17,0.12537123438203113,0.16084537204718405,0.1316910361969115
