feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
BALYO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,5,2142,0.5455431586122409,2.1543866553797086e-166,0.5562242179405088,2.9733935569893957e-174,0.44059961112918844,4.750390537143639e-158,0.7519193350723576,0.8455030339406038,1.4237559004590181,0.2976173379086202,0.29728912171138133,2.154386655382482e-166,0.5455431586122409,0.5562242179405088,0.44059961112918844
BALYO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,5,2142,0.5454871861486894,2.364659244820873e-166,0.5563708796402963,2.3084972200473697e-174,0.44092318011893955,2.053002131542247e-158,0.7554861500788581,8.484495147536805e-07,1.4234892686428904,0.29755627025241516,0.2972280255188883,2.364659244813366e-166,0.5454871861486894,0.5563708796402963,0.44092318011893955
BALYO FP Equity_DX_ACTIVE_UTILIZATION_MV,5,2142,-0.49559260587239545,3.692525415128118e-133,-0.5654500756288849,2.820210339921879e-181,-0.45107719331553925,2.1020637578920534e-165,0.6798149465756524,-0.024733661144893202,3.7896519121966437,0.2456120309953913,0.24525951325286588,3.6925254151218685e-133,0.49559260587239545,0.5654500756288849,0.45107719331553925
BALYO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,5,2142,-0.4955011769910471,4.199693628067287e-133,-0.5653241647191725,3.5287952393364444e-181,-0.45104131531041763,2.6733864845200304e-165,0.6870610791307215,-0.024730637226750687,3.789435869688376,0.24552141639951275,0.2451688563137182,4.199693628059177e-133,0.4955011769910471,0.5653241647191725,0.45104131531041763
BALYO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,5,2142,0.4249930585898795,1.0895080887694048e-94,0.4950874899352492,7.514650317440344e-133,0.35962313097010257,4.766700280608517e-137,1.5992395798501855,3.291445316833841e-06,1.2018835965508514,0.1806190998495809,0.18023621157848269,1.0895080887696255e-94,0.4249930585898795,0.4950874899352492,0.35962313097010257
BALYO FP Equity_DX_SUPPLY_SI_MV,5,2142,0.42493609488004963,1.1607674109700266e-94,0.5104398911838197,1.8251424959204604e-142,0.3693662520045791,1.1192577255442554e-138,1.279450218384178,3.2821923853920763,1.202604435972222,0.1805706847319063,0.1801877738369213,1.1607674109694002e-94,0.42493609488004963,0.5104398911838197,0.3693662520045791
BALYO FP Equity_DX_SHORT_INTEREST_VALUE,5,2142,0.41249780214313264,8.858562648107082e-89,0.6135231460865028,9.774923788446123e-222,0.4686528202529244,2.542738516217916e-231,1.518418784995931,1.762754812997759e-06,1.1036385216572293,0.17015443677291497,0.16976665847234162,8.858562648103284e-89,0.41249780214313264,0.6135231460865028,0.4686528202529244
BALYO FP Equity_DX_SI_MV,5,2142,0.4052782876472196,1.7756731820461972e-85,0.6216301561777885,2.8969411843123007e-229,0.47202493830920195,5.868732890457459e-228,1.3386833988237452,1.7227057352126283,1.113937787556431,0.16425049043826245,0.16385995328426173,1.775673182045785e-85,0.4052782876472196,0.6216301561777885,0.47202493830920195
BALYO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,5,2142,0.35521362358863884,1.0187421335447351e-64,0.5960272405517507,3.2426207051000986e-206,0.451069619341269,1.976015700423586e-214,1.5636021544764644,2.465695184874534e-06,1.129537213828219,0.12617671838297106,0.12576838974670157,1.0187421335445222e-64,0.35521362358863884,0.5960272405517507,0.451069619341269
BALYO FP Equity_DX_DEMAND_SUPPLY_RATIO,5,2142,-0.3483519216107576,3.7733936991227485e-62,-0.29198662869815367,2.28882636438201e-43,-0.23044513621323034,2.748909824896828e-57,1.7304949652292119,-2.3959525954661594,2.740122501441437,0.12134906128990708,0.12093847673910807,3.7733936991219695e-62,0.3483519216107576,0.29198662869815367,0.23044513621323034
BALYO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,5,2142,0.3019961998889105,2.0649641448400872e-46,0.5324915068357212,3.6355574046913437e-157,0.404139722642881,5.109120030182064e-133,0.7802104888875554,1.650936408103846e-06,1.579315114297597,0.09120170474734324,0.09077703264675796,2.0649641448408255e-46,0.3019961998889105,0.5324915068357212,0.404139722642881
BALYO FP Equity_DX_UTILIZATION_QUANTITY,5,2142,-0.27592449588026435,9.883585065322972e-39,-0.3644976463183619,2.6910722094080627e-68,-0.24668085358282982,2.86168065970933e-65,1.776167780964323,-0.023031335634349694,2.358841228415332,0.07613432742677761,0.07570261449566873,9.883585065322944e-39,0.27592449588026435,0.3644976463183619,0.24668085358282982
BALYO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,5,2142,0.22910783925788386,6.569431536515135e-27,0.49002327200806606,8.735240162467288e-130,0.3667299385821723,1.8139841097810386e-140,1.734802980978512,0.22290770932922727,1.4462333672985255,0.05249040200941635,0.052047640515028304,6.569431536513458e-27,0.22910783925788386,0.49002327200806606,0.3667299385821723
BALYO FP Equity_DX_BROKER_SI_QTY,5,2142,-0.19807118422377704,2.1715169823057642e-20,0.1430018953694858,2.9567055230179634e-11,0.06421798193842343,8.98400967108061e-06,1.9830491241185944,-2.264140336809029e-06,2.2958356902579338,0.03923219401980915,0.038783237101126966,2.171516982305814e-20,0.19807118422377704,0.1430018953694858,0.06421798193842343
BALYO FP Equity_DX_DSS,5,2142,-0.1884883384825653,1.3996717355261371e-18,0.04903544991544135,0.023238742412779605,0.04007243543781903,0.02327340899924197,0.3198077254819658,-0.7072159822173801,2.1481491564417166,0.035527853743918425,0.035077165825107226,1.3996717355253747e-18,0.1884883384825653,0.04903544991544135,0.04007243543781903
BALYO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,5,2142,0.18442947580734081,7.655127550184346e-18,0.19237208987293022,2.6555523687450763e-19,0.1379548837049684,1.2660372394437957e-21,1.1095303604578595,0.09767469329352647,1.5199144077176299,0.03401423154657046,0.0335628363276671,7.655127550183628e-18,0.18442947580734081,0.19237208987293022,0.1379548837049684
BALYO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,5,2142,-0.18139462743488505,2.6591530532204467e-17,-0.31777818801176977,1.838404607897689e-51,-0.21854063500138435,9.284224995554467e-52,1.332207854255138,-0.01412039741050527,2.5811206518930185,0.03290401086224082,0.032452096848625156,2.6591530532204738e-17,0.18139462743488505,0.31777818801176977,0.21854063500138435
BALYO FP Equity_DX_SUPPLY_SI_QTY,5,2142,-0.1619458057667894,4.6786508469084373e-14,0.10701461173043963,6.89873336456597e-07,0.06289892257942042,1.3947252942533259e-05,1.890069395128764,-1.9450739606502958e-06,2.1241519299367875,0.02622644400545504,0.025771409633495113,4.6786508469077374e-14,0.1619458057667894,0.10701461173043963,0.06289892257942042
BALYO FP Equity_DX_SI_QTY,5,2142,-0.14952050169955713,3.521581437796568e-12,0.14253900633782385,3.4265445332401084e-11,0.07964551295881107,3.609496416405349e-08,1.797391522123914,-1.22852859174969e-06,2.1890766398609802,0.022356380428487532,0.021899537615603704,3.521581437797273e-12,0.14952050169955713,0.14253900633782385,0.07964551295881107
BALYO FP Equity_DX_BROKER_SI_CON_RATIO,5,2142,-0.1374487220370101,1.6807658161414313e-10,-0.3154695025897956,1.0535283180197791e-50,-0.21895123225286175,6.050721486791665e-52,1.4932312271620174,-1.0690117604041587,2.293530353766002,0.018892151189607298,0.018433689578013723,1.680765816141379e-10,0.1374487220370101,0.3154695025897956,0.21895123225286175
BALYO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,5,2142,0.11824412942446154,4.050977722401297e-08,0.22898730730708805,6.995701038326186e-27,0.168007088369094,2.9773190059768295e-31,1.1455466460319057,0.02152750628480959,1.404383805222348,0.0139816741433485,0.013520917916312825,4.050977722401739e-08,0.11824412942446154,0.22898730730708805,0.168007088369094
BALYO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,5,2142,-0.10505830302479038,1.0995326217145308e-06,0.22296887058197007,1.542529298163944e-25,0.1418687730439485,1.8610951967805462e-22,1.6667352740359238,-0.26614442488464585,2.095514539037928,0.011037247034447972,0.010575114906894112,1.099532621714388e-06,0.10505830302479038,0.22296887058197007,0.1418687730439485
BALYO FP Equity_DX_BROKER_SI_MV_ADD,5,2142,0.10162936274845638,2.440413274965233e-06,0.05474555427078222,0.011272325870697073,0.04448272998741201,0.011062511146300006,0.007039467801161381,11.953819032877103,1.846580050006241,0.010328527372657437,0.009866064067691527,2.440413274964996e-06,0.10162936274845638,0.05474555427078222,0.04448272998741201
BALYO FP Equity_DX_SUPPLY_SI_MV_DEC,5,2142,0.0952174342084361,1.0134246442093776e-05,0.0702502436078394,0.0011402241835395982,0.056334563001525666,0.0010334351464277574,0.03392028172027217,9.622157101124102,1.825155957183665,0.009066359777237909,0.00860330667433018,1.013424644209273e-05,0.0952174342084361,0.0702502436078394,0.056334563001525666
BALYO FP Equity_DX_SUPPLY_SI_QTY_DEC,5,2142,-0.08674638644841255,5.819561334515588e-05,0.007526681875561942,0.727727858738751,0.00569091622861936,0.7334088121988069,0.041771667924277,-1.3388766478907231e-05,1.917053412321567,0.00752493556185696,0.007061162167259827,5.819561334515524e-05,0.08674638644841255,0.007526681875561942,0.00569091622861936
BALYO FP Equity_DX_BROKER_SI_MV_DEC,5,2142,0.07178921545490725,0.0008845619770284113,0.1150944209536492,9.222132035402315e-08,0.09216598533794162,7.109489443619558e-08,0.0410345302943711,5.764356174800369,1.8345478680120186,0.00515369145563116,0.0046888100030404445,0.0008845619770285057,0.07178921545490725,0.1150944209536492,0.09216598533794162
BALYO FP Equity_DX_BROKER_SI_MV_INC_x,5,2142,0.06844160725309381,0.001527198789520912,0.10818717748301324,5.196667028219972e-07,0.08786216452903964,3.819638938389779e-07,0.03085683760097302,5.184472223610638,1.846878740526661,0.0046842536033862014,0.004219152787313107,0.0015271987895207758,0.06844160725309381,0.10818717748301324,0.08786216452903964
BALYO FP Equity_DX_BROKER_SI_MV_INC_y,5,2142,0.06844160725309381,0.001527198789520912,0.10818717748301324,5.196667028219972e-07,0.08786216452903964,3.819638938389779e-07,0.03085683760097302,5.184472223610638,1.846878740526661,0.0046842536033862014,0.004219152787313107,0.0015271987895207758,0.06844160725309381,0.10818717748301324,0.08786216452903964
BALYO FP Equity_DX_BROKER_SI_QTY_DEC,5,2142,-0.0669090695391578,0.0019461242102477051,0.09915267341793983,4.273583644559521e-06,0.07379699266407329,8.31853631436727e-06,0.053525096141226136,-8.509987750815194e-06,1.9065853512338893,0.004476823586595846,0.004011625840608324,0.0019461242102477509,0.0669090695391578,0.09915267341793983,0.07379699266407329
BALYO FP Equity_DX_SUPPLY_SI_QTY_INC_x,5,2142,-0.05888945152111655,0.006405227960961144,0.03832476547758814,0.07617020564076166,0.029415810348066746,0.08519408465143957,0.031174938151356413,-1.0001764129526867e-05,1.8977483792128826,0.003467967500457636,0.0030022983263925385,0.006405227960960895,0.05888945152111655,0.03832476547758814,0.029415810348066746
BALYO FP Equity_DX_SUPPLY_SI_QTY_INC_y,5,2142,-0.05888945152111655,0.006405227960961144,0.03832476547758814,0.07617020564076166,0.029415810348066746,0.08519408465143957,0.031174938151356413,-1.0001764129526867e-05,1.8977483792128826,0.003467967500457636,0.0030022983263925385,0.006405227960960895,0.05888945152111655,0.03832476547758814,0.029415810348066746
BALYO FP Equity_DX_SUPPLY_SI_MV_RMV,5,2142,0.05152777324666962,0.0170796953415943,0.014585784242495506,0.4998680354956089,0.011894122631043526,0.5005363174639494,0.0,51.50560895770562,1.8676225969032534,0.0026551114157604694,0.0021890624024034633,0.017079695341594547,0.05152777324666962,0.014585784242495506,0.011894122631043526
