feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
BSX FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,5,4763,-0.42140779614050106,2.0545378776137732e-204,-0.4908303825970583,2.5345406076995205e-287,-0.3962447045846211,2.1684475298831018e-249,0.2666969013890106,-0.17497007952819318,29.468060141157938,0.17758453064799395,0.17741179057881695,2.05453787762103e-204,0.42140779614050106,0.4908303825970583,0.3962447045846211
BSX FP Equity_DX_ACTIVE_UTILIZATION_MV,5,4763,-0.4214050789242255,2.068215439604867e-204,-0.49088012564934724,2.1744258544640054e-287,-0.3962485141993054,1.3728451103262833e-249,0.265368975401868,-0.17502505258142984,29.467646846875468,0.17758224054313254,0.1774094999929421,2.0682154396135802e-204,0.4214050789242255,0.49088012564934724,0.3962485141993054
BSX FP Equity_DX_BROKER_SI_MARKET_SHARE_1,5,4763,-0.3835310155745319,9.693980195475927e-167,-0.24255093548888126,9.831545726588176e-65,-0.16279693272806225,4.783839078175014e-49,0.7020721261005365,-0.1289334772287249,33.352482801255974,0.1470960399076322,0.14691689603867775,9.693980195572787e-167,0.3835310155745319,0.24255093548888126,0.16279693272806225
BSX FP Equity_DX_BROKER_SI_CON_RATIO,5,4763,-0.3693628539833009,7.122708549059234e-154,-0.2421598917394477,1.5903858599248872e-64,-0.16199500788996904,1.4262578584720485e-48,0.6991559079398473,-12.486357992212648,33.010351884422256,0.13642891790268918,0.1362475335124146,7.122708549143661e-154,0.3693628539833009,0.2421598917394477,0.16199500788996904
BSX FP Equity_DX_UTILIZATION_QUANTITY,5,4763,-0.32666788651361167,7.648455165814559e-119,-0.47947380790735555,2.0604406626073368e-272,-0.3701316588283703,3.194016179828001e-235,0.5571989105554245,-0.22691754268453307,28.263075582916468,0.10671190807926978,0.10652428193099828,7.648455165833914e-119,0.32666788651361167,0.47947380790735555,0.3701316588283703
BSX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,5,4763,-0.2710546580159284,5.459774078496122e-81,-0.43748639742440376,6.153278996021287e-222,-0.3510071745641585,6.489748908714112e-207,0.4577720637559264,-0.00015694003072271845,27.43785736015244,0.07347062763213219,0.07327601948838769,5.45977407850504e-81,0.2710546580159284,0.43748639742440376,0.3510071745641585
BSX FP Equity_DX_BROKER_SI_MARKET_SHARE_2,5,4763,-0.26739701302641544,8.675074706724463e-79,-0.3095168789353898,2.8732780547979703e-106,-0.24072272864384628,7.131116464868627e-100,0.41580133839622024,-0.31595592523277305,27.953974521555427,0.07150116257544914,0.07130614076544617,8.67507470668298e-79,0.26739701302641544,0.3095168789353898,0.24072272864384628
BSX FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,5,4763,-0.2654167452407747,1.3050685398192997e-77,-0.43207530343097883,6.20829496775663e-216,-0.34612618913324744,1.244873307937725e-201,0.46032217092381256,-1.7369085320309116e-05,27.509260254067787,0.07044604865420623,0.07025080522817273,1.3050685398227664e-77,0.2654167452407747,0.43207530343097883,0.34612618913324744
BSX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,5,4763,-0.2590479564114004,6.829557640856194e-74,-0.4325460945137862,1.8834006703600344e-216,-0.3476990441255203,8.102977972934533e-203,0.4174048980363809,-16.972017922766295,27.459202738994875,0.06710584372092254,0.06690989871855357,6.82955764083166e-74,0.2590479564114004,0.4325460945137862,0.3476990441255203
BSX FP Equity_DX_SUPPLY_SI_QTY,5,4763,-0.2399475892060821,2.377631467798657e-63,-0.487411464365865,8.9538900168887e-283,-0.3770651844198944,3.653343407819287e-244,0.5806845105426883,-0.0001828952643775006,27.4347333577691,0.05757484556581072,0.05737689867347007,2.3776314677900743e-63,0.2399475892060821,0.487411464365865,0.3770651844198944
