feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
CI2 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,5,4270,0.5427711074313192,0.0,0.4982132732908325,9.356966639838813e-267,0.40687826711715114,1.750814467599226e-232,0.27087411197246114,3.2003836316315786,461.7844928013276,0.29460047506222065,0.2944351986974273,0.0,0.5427711074313192,0.4982132732908325,0.40687826711715114
CI2 FP Equity_DX_ACTIVE_UTILIZATION_MV,5,4270,0.5427711074313192,0.0,0.4982132732908325,9.356966639838813e-267,0.40687826711715114,1.750814467599226e-232,0.27087411197246114,3.2003836316315786,461.7844928013276,0.29460047506222065,0.2944351986974273,0.0,0.5427711074313192,0.4982132732908325,0.40687826711715114
CI2 FP Equity_DX_UTILIZATION_QUANTITY,5,4270,0.4398697130273847,1.4243046841474515e-201,0.4986806956815547,2.4894926571931794e-267,0.39903261307879667,6.943479663273276e-240,0.44940535758771283,8.00394536843026,480.78967611248754,0.19348536443879338,0.19329639662352593,1.4243046841421266e-201,0.4398697130273847,0.4986806956815547,0.39903261307879667
CI2 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,5,4270,0.35160755435699387,1.727453129660236e-124,0.5013730220938076,1.1655361391658072e-270,0.4129873977518535,1.1002428071185187e-257,0.5011285813590485,0.000953434222928162,492.3802217470156,0.12362787228090644,0.12342253673083159,1.7274531296707917e-124,0.35160755435699387,0.5013730220938076,0.4129873977518535
CI2 FP Equity_DX_SUPPLY_SI_MV,5,4270,0.34969520894598305,4.539018886447934e-123,0.49688139455442626,4.0245520497149115e-265,0.4063079580690162,8.093925883255359e-243,0.4016781418501405,950.0664577527186,492.5621713746169,0.12228673915977517,0.12208108937982187,4.5390188864252994e-123,0.34969520894598305,0.49688139455442626,0.4063079580690162
CI2 FP Equity_DX_SUPPLY_SI_QTY,5,4270,0.3256032354295401,5.121742283754177e-106,0.49975562009779234,1.175807357663146e-268,0.40774216132711816,8.909167745052052e-245,0.4112102136891209,0.7163675623465222,494.05684196750127,0.10601746692218461,0.10580800522277545,5.121742283764295e-106,0.3256032354295401,0.49975562009779234,0.40774216132711816
CI2 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,5,4270,-0.21214379989000484,1.2033462571667263e-44,-0.018100049544499158,0.23700633310789163,-0.0066876014093027675,0.5574653724222437,0.7096371277939064,-22.915505346298094,523.6052847000641,0.0450049918317702,0.04478123480080287,1.2033462571679224e-44,0.21214379989000484,0.018100049544499158,0.0066876014093027675
CI2 FP Equity_DX_BROKER_SI_QTY,5,4270,-0.204716345928816,1.2462140856557974e-41,-0.14343229340522812,4.5709969498734534e-21,-0.10247018095533814,9.470384891018717e-19,0.5721265847020227,-0.011539478219463675,524.4652943119927,0.0419087822904467,0.04168429981207045,1.246214085657334e-41,0.204716345928816,0.14343229340522812,0.10247018095533814
CI2 FP Equity_DX_SI_QTY,5,4270,-0.20094811591717748,3.81136318666166e-40,-0.006762596334752543,0.6586490413317165,0.006164887015465631,0.5885984408906637,0.7346363142545775,-0.011332393169245562,524.3051719907236,0.04038014529066336,0.04015530464991601,3.811363186656394e-40,0.20094811591717748,0.006762596334752543,0.006164887015465631
CI2 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,5,4270,0.18562350629150878,2.0839062023152724e-34,0.13810826675896937,1.2397965998101625e-19,0.10389506565977254,1.0935719370344766e-18,0.33111559839919535,0.8828257118800159,478.98992588277457,0.03445608608795392,0.0342298574295864,2.0839062023208924e-34,0.18562350629150878,0.13810826675896937,0.10389506565977254
CI2 FP Equity_DX_BROKER_SI_CON_RATIO,5,4270,0.18379936191122834,9.326394853278085e-34,0.13537905594758812,6.408445899291224e-19,0.1014762934295242,7.115498652410782e-18,0.33227753031164786,89.05173116470812,479.7656207879098,0.0337822054389747,0.03355581888917114,9.326394853286251e-34,0.18379936191122834,0.13537905594758812,0.1014762934295242
CI2 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,5,4270,-0.16176614172913584,1.9901333307997225e-26,-0.12549311641191513,1.8638386507062783e-16,-0.08724325391736919,4.7687664966018744e-14,0.5265715409768839,-2.2957247681035133e-05,521.4530602099777,0.026168284609931036,0.025940114104919254,1.990133330796403e-26,0.16176614172913584,0.12549311641191513,0.08724325391736919
CI2 FP Equity_DX_SHORT_INTEREST_VALUE,5,4270,-0.15329505737369542,7.216323153058197e-24,0.012806105730115995,0.40281333335917835,0.027558860554145637,0.014940026173217075,0.7100317828511717,-2.1746957029092166e-05,520.9750155830119,0.02349937461520457,0.02327057877982852,7.21632315306187e-24,0.15329505737369542,0.012806105730115995,0.027558860554145637
CI2 FP Equity_DX_SI_MV,5,4270,-0.15314867067015428,7.967047342033231e-24,0.008876167306731094,0.5620111486469732,0.0190145987297947,0.09514987891783111,0.6998830201307373,-21.712923042400067,520.950586775228,0.023454515328035552,0.023225708982048565,7.967047342029668e-24,0.15314867067015428,0.008876167306731094,0.0190145987297947
CI2 FP Equity_DX_SUPPLY_SI_MV_DEC,5,4270,0.1259371008976878,1.4581347621657386e-16,0.15894449737432625,1.469615569511716e-25,0.12953065280597303,2.694089309599142e-25,0.025050191860095383,1069.7313680084294,506.88102154396586,0.015860153382514564,0.015629567664000588,1.4581347621656052e-16,0.1259371008976878,0.15894449737432625,0.12953065280597303
CI2 FP Equity_DX_SUPPLY_SI_QTY_INC_x,5,4270,0.11115610321575116,3.2412033159649374e-13,0.11391431849904843,8.273732597411125e-14,0.09284933879008178,1.0314009908265912e-13,0.00930234775325467,2.4450026811524324,507.57695287857985,0.012355679282110787,0.012124272459074659,3.241203315962626e-13,0.11115610321575116,0.11391431849904843,0.09284933879008178
CI2 FP Equity_DX_SUPPLY_SI_QTY_INC_y,5,4270,0.11115610321575116,3.2412033159649374e-13,0.11391431849904843,8.273732597411125e-14,0.09284933879008178,1.0314009908265912e-13,0.00930234775325467,2.4450026811524324,507.57695287857985,0.012355679282110787,0.012124272459074659,3.241203315962626e-13,0.11115610321575116,0.11391431849904843,0.09284933879008178
CI2 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,5,4270,-0.1083735811613092,1.2426592683965072e-12,0.016310526448072984,0.2866162376562967,0.01602398394607305,0.1571591712472547,0.49350846763078593,-4.422337661840095,516.4792887189941,0.011744833093726648,0.01151328314834088,1.242659268396109e-12,0.1083735811613092,0.016310526448072984,0.01602398394607305
CI2 FP Equity_DX_SUPPLY_SI_QTY_DEC,5,4270,0.0935260974569559,9.176041475655144e-10,0.16304541463170322,7.943044764121912e-27,0.1328289624583511,1.575207281348705e-26,0.025251458352831158,0.5549048536576271,507.59933323414833,0.008747130905527922,0.008514878593181452,9.176041475655461e-10,0.0935260974569559,0.16304541463170322,0.1328289624583511
CI2 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,5,4270,-0.07396975667653378,1.306347962151876e-06,-0.008900171738423066,0.5609540048015853,-0.006771415602754559,0.5735065904088005,0.2421712149593338,-1.1837553026372163,514.7805702998237,0.005471524902785463,0.0052385051101196956,1.3063479621519963e-06,0.07396975667653378,0.008900171738423066,0.006771415602754559
CI2 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,5,4270,-0.07114969857179916,3.258234402205451e-06,0.127342102800817,6.667021301196144e-17,0.09554894998193751,3.1154622345104833e-16,0.5626672878312242,-0.00544189846179168,512.2107114255994,0.005062279606858122,0.004829163927290714,3.2582344022057867e-06,0.07114969857179916,0.127342102800817,0.09554894998193751
CI2 FP Equity_DX_BROKER_SI_QTY_DEC,5,4270,-0.06142453209433654,5.9089370672005374e-05,0.022483394663132563,0.14184953173524925,0.018589310284253254,0.1331555031140049,0.02757180382335478,-0.013442442584896158,510.13017418205374,0.0037729731430079516,0.003539555376640302,5.9089370672007306e-05,0.06142453209433654,0.022483394663132563,0.018589310284253254
CI2 FP Equity_DX_SUPPLY_SI_QTY_ADD,5,4270,0.052731995948160755,0.0005664830475768484,0.12135864776276123,1.7581426551083139e-15,0.09898560022463031,2.108827174538935e-15,0.01113397590527554,0.28381219296914584,508.36424286376047,0.002780663396676708,0.002547013130368425,0.0005664830475768813,0.052731995948160755,0.12135864776276123,0.09898560022463031
CI2 FP Equity_DX_BROKER_SI_MV_DEC,5,4270,-0.04637193280142886,0.0024380320596945663,0.018652546140169098,0.22299445459999787,0.015475968745918688,0.21124786223555014,0.024836337537845754,-26.788342821046903,509.8673789789036,0.002150356151739974,0.0019165582033218165,0.0024380320596945355,0.04637193280142886,0.018652546140169098,0.015475968745918688
CI2 FP Equity_DX_BROKER_SI_QTY_INC,5,4270,-0.04315064126192539,0.004799718925335878,0.014700853580497391,0.336853232723227,0.012083101931355384,0.33157231333944226,0.012989123466796704,-0.016357586172585228,509.6249455213705,0.0018619778413154764,0.0016281123253456542,0.0047997189253356776,0.04315064126192539,0.014700853580497391,0.012083101931355384
CI2 FP Equity_DX_BROKER_SI_QTY_ADD,5,4270,-0.0391110199469896,0.010589879012600898,0.03317099647682284,0.03019458265768851,0.02698051238609275,0.02995536090966992,0.010853675035666921,-0.008485191246840811,509.458296204041,0.001529671881293826,0.0012957285054459033,0.010589879012603075,0.0391110199469896,0.03317099647682284,0.02698051238609275
CI2 FP Equity_DX_DSS,5,4270,-0.03541258647100711,0.020662669090456512,-0.03948844283635819,0.009861945449405402,-0.032196697690910124,0.009974559854382366,0.011200502643884724,-30.01856686065449,509.2819563961683,0.0012540512805667703,0.0010200433263213293,0.020662669090451377,0.03541258647100711,0.03948844283635819,0.032196697690910124
CI2 FP Equity_DX_DEMAND_SUPPLY_RATIO,5,4270,0.03334304362039583,0.029348241766816316,0.4099988950789893,8.059469629165881e-173,0.32477274060289885,5.458651736314992e-164,0.4650826927913214,4.962222214204286,507.9252217322938,0.0011117585578713784,0.0008777172641876163,0.02934824176681227,0.03334304362039583,0.4099988950789893,0.32477274060289885
CI2 FP Equity_DX_BROKER_SI_MV_INC_y,5,4270,-0.029658078397125046,0.05263871778062231,0.012579319559013688,0.41119616098036327,0.010362682612076337,0.40500171293938003,0.011078081944001283,-29.774640887932375,509.4163847549486,0.0008796016142101903,0.0006455059257410856,0.052638717780626676,0.029658078397125046,0.012579319559013688,0.010362682612076337
CI2 FP Equity_DX_BROKER_SI_MV_INC_x,5,4270,-0.029658078397125046,0.05263871778062231,0.012579319559013688,0.41119616098036327,0.010362682612076337,0.40500171293938003,0.011078081944001283,-29.774640887932375,509.4163847549486,0.0008796016142101903,0.0006455059257410856,0.052638717780626676,0.029658078397125046,0.012579319559013688,0.010362682612076337
CI2 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,5,4270,-0.029336283328168778,0.05525855883228564,0.03611487130310603,0.018274258973035938,0.026805761089674644,0.02488037026241337,0.47799926665124537,-4.886956587211074,510.19380830011966,0.0008606175195107202,0.0006265173830344306,0.055258558832287974,0.029336283328168778,0.03611487130310603,0.026805761089674644
CI2 FP Equity_DX_BROKER_SI_MV_ADD,5,4270,-0.02908712899893214,0.057360854937015086,0.028772531624610735,0.06010990118832857,0.023446621862623532,0.05926684785871262,0.011436843982926437,-16.277915801148133,509.3159696000803,0.0008460610734005725,0.000611957526323037,0.05736085493701052,0.02908712899893214,0.028772531624610735,0.023446621862623532
CI2 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,5,4270,-0.02257284651364234,0.14027061284069994,0.14195873097683473,1.1541189517722382e-20,0.11437372302200022,5.458676020591547e-23,0.6674514334371282,-3.7579366103511147e-06,509.9116815244839,0.000509533399728257,0.00027535100361752995,0.14027061284068185,0.02257284651364234,0.14195873097683473,0.11437372302200022
CI2 FP Equity_DX_BROKER_SI_QTY_NEW,5,4270,-0.003161481017430535,0.8363786844841206,0.0010637652774812024,0.9445982692470853,0.0008712467622260196,0.9444269721756877,0.0012509364797003153,-0.009741999641756247,508.8738388285363,9.994962223314197e-06,-0.0002243044766327973,0.8363786844840876,0.003161481017430535,0.0010637652774812024,0.0008712467622260196
CI2 FP Equity_DX_BROKER_SI_MV_NEW_y,5,4270,-0.0029171815579720297,0.8488636594876251,0.0010637652774812024,0.9445982692470853,0.0008712467622260196,0.9444269721756877,0.0012509364797003153,-18.425631919729447,508.8725342771921,8.509948242196863e-06,-0.00022578983855536805,0.8488636594875911,0.0029171815579720297,0.0010637652774812024,0.0008712467622260196
CI2 FP Equity_DX_BROKER_SI_MV_NEW_x,5,4270,-0.0029171815579720297,0.8488636594876251,0.0010637652774812024,0.9445982692470853,0.0008712467622260196,0.9444269721756877,0.0012509364797003153,-18.425631919729447,508.8725342771921,8.509948242196863e-06,-0.00022578983855536805,0.8488636594875911,0.0029171815579720297,0.0010637652774812024,0.0008712467622260196
