feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
CRI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,5,4995,0.7299516719678603,0.0,0.6925662876634285,0.0,0.5450972993997062,0.0,1.373863120221174,5.151129590495362e-07,8.064713603599525,0.5328294434086749,0.5327358783062132,0.0,0.7299516719678603,0.6925662876634285,0.5450972993997062
CRI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,5,4995,0.7277321177416263,0.0,0.6790652903284292,0.0,0.5366779468627839,0.0,1.373273901590045,0.5104055009491919,8.048301316814564,0.5295940351927118,0.5294998221014224,0.0,0.7277321177416263,0.6790652903284292,0.5366779468627839
CRI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,5,4995,0.6207215044591973,0.0,0.62005433462936,0.0,0.45487707866902843,0.0,1.3139676469244272,9.169031173643965e-06,7.947546630114761,0.38529518609808955,0.3851720727766591,0.0,0.6207215044591973,0.62005433462936,0.45487707866902843
CRI FP Equity_DX_SUPPLY_SI_MV,5,4995,0.4850872622205278,3.0793373566222757e-293,0.6308602794063577,0.0,0.4604174708336707,0.0,1.139020373149095,1.4947669436140378,9.609109825194425,0.23530965196860687,0.2351564994855243,3.079337356601562e-293,0.4850872622205278,0.6308602794063577,0.4604174708336707
CRI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,5,4995,0.482161327154607,3.135736838410584e-289,0.632486160322719,0.0,0.4605417447129321,0.0,1.1511077024549987,1.4831572416785761e-06,9.659001011032755,0.23247954540349192,0.23232582610555552,3.1357368383872496e-289,0.482161327154607,0.632486160322719,0.4605417447129321
CRI FP Equity_DX_SI_MV,5,4995,0.4512992839137586,2.9879938992988193e-249,0.5455943815561639,0.0,0.3774831890451041,0.0,1.2800060349114286,0.9483105446635564,9.65419919730629,0.20367104366107103,0.20351155458509684,2.987993899300775e-249,0.4512992839137586,0.5455943815561639,0.3774831890451041
CRI FP Equity_DX_SHORT_INTEREST_VALUE,5,4995,0.4493619783514541,7.084322934221458e-247,0.5421059821069312,0.0,0.3748077817890946,0.0,1.2127118425747652,9.511317858501337e-07,9.702819769750562,0.20192618758793268,0.20176634905149926,7.084322934204502e-247,0.4493619783514541,0.5421059821069312,0.3748077817890946
CRI FP Equity_DX_BROKER_SI_CON_RATIO,5,4995,-0.4316276542628726,7.729898778927558e-226,-0.44530231833272765,5.9883100716548986e-242,-0.3079963785436386,2.2447097884649143e-230,1.22177478981336,-10.769548764360039,17.337887037092294,0.18630243192446994,0.18613946425611916,7.729898778917558e-226,0.4316276542628726,0.44530231833272765,0.3079963785436386
CRI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,5,4995,0.42657159199166533,4.5665734549481305e-220,0.4482654286623584,1.5407638621221449e-245,0.30890522635407347,1.37166895123316e-234,1.1747751939132227,1.098034371383783e-06,9.964790032244391,0.18196332309430396,0.1817994863875333,4.56657345494127e-220,0.42657159199166533,0.4482654286623584,0.30890522635407347
CRI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,5,4995,-0.3926831580855399,7.619114440956824e-184,-0.4327015743932202,4.462496643611193e-227,-0.30390471095706667,2.3550754511852044e-224,1.1471403831423923,-0.1083538107594785,18.41480108231724,0.15420006264403296,0.15403066550056088,7.619114440962848e-184,0.3926831580855399,0.4327015743932202,0.30390471095706667
CRI FP Equity_DX_DEMAND_SUPPLY_RATIO,5,4995,-0.31779683637264117,1.309555558645255e-117,-0.1843317691899333,2.016331770147107e-39,-0.13063683983823485,1.8151485468208987e-43,1.070300481939665,-0.7356701405725071,13.010743904020936,0.10099482920845937,0.10081477609994915,1.3095555586449321e-117,0.31779683637264117,0.1843317691899333,0.13063683983823485
CRI FP Equity_DX_SUPPLY_SI_QTY,5,4995,0.28996573988529034,2.3262108221576156e-97,0.5079817409288321,0.0,0.3518753480992386,6.194025307369377e-293,1.1973812818898133,1.4567818328531543e-05,10.564406459472488,0.08408013030722372,0.08389668951617768,2.3262108221633232e-97,0.28996573988529034,0.5079817409288321,0.3518753480992386
CRI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,5,4995,0.20513560641732648,1.3381062381798777e-48,0.18336747079279603,5.066346247415388e-39,0.1319194296914641,1.215936328019297e-43,1.0284265952315033,0.12099442613379578,9.828549317224244,0.04208061702020427,0.041888764550150226,1.3381062381806711e-48,0.20513560641732648,0.18336747079279603,0.1319194296914641
CRI FP Equity_DX_BROKER_SI_MV_INC_x,5,4995,0.2031442299345453,1.1233910106798714e-47,0.3036026987364981,5.277124964657454e-107,0.23500943612108047,2.4825444413157683e-103,0.09978877921953178,11.549309227957613,11.71148623661186,0.04126757815569959,0.04107556284990255,1.123391010676859e-47,0.2031442299345453,0.3036026987364981,0.23500943612108047
CRI FP Equity_DX_BROKER_SI_MV_INC_y,5,4995,0.2031442299345453,1.1233910106798714e-47,0.3036026987364981,5.277124964657454e-107,0.23500943612108047,2.4825444413157683e-103,0.09978877921953178,11.549309227957613,11.71148623661186,0.04126757815569959,0.04107556284990255,1.123391010676859e-47,0.2031442299345453,0.3036026987364981,0.23500943612108047
CRI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,5,4995,0.19158322158294716,1.675765836166616e-42,0.28667241520497455,4.142466860276665e-95,0.1935397283608203,3.3572600668766144e-93,0.9301470261410234,0.2275595039222587,10.888958623586541,0.03670413079210022,0.03651120151727383,1.6757658361662006e-42,0.19158322158294716,0.28667241520497455,0.1935397283608203
CRI FP Equity_DX_BROKER_SI_MV_DEC,5,4995,0.16598556941083034,3.4591442560536166e-32,0.34247108811671445,1.805427982062129e-137,0.26213327550190774,1.8519416219481393e-132,0.1224757919680508,7.87389492904691,11.77147366858561,0.027551209252637543,0.027356446827092262,3.459144256048946e-32,0.16598556941083034,0.34247108811671445,0.26213327550190774
CRI FP Equity_DX_SUPPLY_SI_MV_DEC,5,4995,0.16525274688866323,6.478392870273242e-32,0.39195785887354995,4.092406132860434e-183,0.2991185994589602,5.477454743063534e-173,0.1695240388545276,5.705288930614257,11.860832882550376,0.02730847035424877,0.027113659312861693,6.478392870278001e-32,0.16525274688866323,0.39195785887354995,0.2991185994589602
CRI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,5,4995,-0.15367710275297017,8.909310656836932e-28,0.07971762641257214,1.6843994059296617e-08,0.021231405867218014,0.030908154219300082,0.9241624477556436,-0.02967150410020978,13.277924992443875,0.02361665191054696,0.023421101470312733,8.909310656829861e-28,0.15367710275297017,0.07971762641257214,0.021231405867218014
CRI FP Equity_DX_ACTIVE_UTILIZATION_MV,5,4995,-0.14211707821089276,5.937526837946734e-24,0.09165123732899268,8.61100063684217e-11,0.02908326561139516,0.0031082291319549506,0.9043483275903994,-0.027073056032839583,13.194112244238728,0.02019726391920096,0.020001028642597563,5.937526837955334e-24,0.14211707821089276,0.09165123732899268,0.02908326561139516
CRI FP Equity_DX_SI_QTY,5,4995,0.1409277484433124,1.411331377287887e-23,0.25726976270398466,2.4783435829879232e-76,0.17151418296057586,1.8623986896045868e-73,1.3557339072515435,4.846565614674854e-06,11.260670497048027,0.019860630281301583,0.019664327583581054,1.4113313772889358e-23,0.1409277484433124,0.25726976270398466,0.17151418296057586
CRI FP Equity_DX_UTILIZATION_QUANTITY,5,4995,0.10013380134622635,1.311886874832395e-12,0.3213631130108022,2.2897231246725867e-120,0.20353865668191448,2.172755654429123e-99,1.086074097619064,0.04312753317960573,11.484227528218199,0.01002677817204567,0.00982850594656437,1.3118868748330083e-12,0.10013380134622635,0.3213631130108022,0.20353865668191448
CRI FP Equity_DX_SUPPLY_SI_QTY_DEC,5,4995,0.09923186487565354,2.0825557774168315e-12,0.40084232650328616,3.4794272774741132e-192,0.28886573757406675,1.5195256845543898e-167,0.1781293627111391,5.428426906833979e-05,11.990934505493765,0.009846963006699738,0.009648654767766551,2.0825557774164017e-12,0.09923186487565354,0.40084232650328616,0.28886573757406675
CRI FP Equity_DX_BROKER_SI_QTY_INC,5,4995,0.09776754063416565,4.371593004558606e-12,0.31398847872554486,1.0476571122470194e-114,0.2326532609420733,5.019722578363049e-104,0.1081309412664595,7.806080440120685e-05,11.980933360628134,0.009558492001653152,0.009360125987633805,4.371593004553842e-12,0.09776754063416565,0.31398847872554486,0.2326532609420733
CRI FP Equity_DX_SUPPLY_SI_QTY_INC_y,5,4995,0.09463259121782834,2.062097261219247e-11,0.3291707199906468,1.55191852302034e-126,0.2426422286221055,6.133112548636918e-113,0.12230910137506124,8.463243940829526e-05,11.989779697539772,0.008955327320600559,0.00875684050452219,2.0620972612194198e-11,0.09463259121782834,0.3291707199906468,0.2426422286221055
CRI FP Equity_DX_SUPPLY_SI_QTY_INC_x,5,4995,0.09463259121782834,2.062097261219247e-11,0.3291707199906468,1.55191852302034e-126,0.2426422286221055,6.133112548636918e-113,0.12230910137506124,8.463243940829526e-05,11.989779697539772,0.008955327320600559,0.00875684050452219,2.0620972612194198e-11,0.09463259121782834,0.3291707199906468,0.2426422286221055
CRI FP Equity_DX_BROKER_SI_QTY,5,4995,0.0917152053752847,8.354844368767159e-11,0.16334859701316695,3.2632566459570875e-31,0.11183377228372879,3.929637724023347e-32,1.2757867976574273,3.8196744808827225e-06,11.610894344520261,0.008411678897030983,0.008213083198832849,8.354844368769595e-11,0.0917152053752847,0.16334859701316695,0.11183377228372879
CRI FP Equity_DX_BROKER_SI_QTY_ADD,5,4995,-0.06570102103955693,3.363083741823827e-06,0.07813753011393387,3.2120419703982764e-08,0.06191358824858511,4.7822418302315744e-08,0.019091362705957904,-3.3576802284156615e-05,12.25551659794409,0.004316624165639937,0.0041172083082726685,3.363083741823157e-06,0.06570102103955693,0.07813753011393387,0.06191358824858511
CRI FP Equity_DX_SUPPLY_SI_QTY_ADD,5,4995,0.06406287694052959,5.86536148058605e-06,0.25586941849821415,1.7002178881404148e-75,0.19926519933133408,3.8643193533282176e-72,0.07898462465522216,5.0354257294384873e-05,12.134905564467134,0.004104052201897579,0.0039045937705339817,5.865361480583481e-06,0.06406287694052959,0.25586941849821415,0.19926519933133408
CRI FP Equity_DX_DSS,5,4995,0.05123544056463197,0.0002917087723831609,0.04927818568535546,0.0004939865003838227,0.040261135379565084,0.0004969359559200838,0.1476084014933361,0.779112678170804,11.89163545150501,0.002625070369851934,0.002425315727426436,0.00029170877238309916,0.05123544056463197,0.04927818568535546,0.040261135379565084
CRI FP Equity_DX_SUPPLY_SI_MV_NEW,5,4995,0.04856916828729723,0.0005951643240582063,0.055359283079451385,9.057018766422316e-05,0.04519234612870477,9.117028307324973e-05,0.0,18.932158728228238,12.187960711252599,0.0023589641081201984,0.0021591561698282025,0.0005951643240582562,0.04856916828729723,0.055359283079451385,0.04519234612870477
CRI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,5,4995,0.04414756900553069,0.0018030908155384437,0.17063964514259652,6.011333998593909e-34,0.12110096979076501,1.992396143980774e-37,1.3942059142570171,0.2438696717540443,11.865874921019325,0.0019490078490983498,0.0017491178046058486,0.001803090815538313,0.04414756900553069,0.17063964514259652,0.12110096979076501
CRI FP Equity_DX_SUPPLY_SI_QTY_NEW_y,5,4995,0.039156326575474784,0.005644396670430888,0.05330201765918671,0.00016398615909349158,0.043491956356855856,0.0001657595424932479,0.0,0.0002864769316735879,12.190850718550118,0.0015332179108852317,0.0013332445918207148,0.005644396670430932,0.039156326575474784,0.05330201765918671,0.043491956356855856
CRI FP Equity_DX_SUPPLY_SI_QTY_NEW_x,5,4995,0.039156326575474784,0.005644396670430888,0.05330201765918671,0.00016398615909349158,0.043491956356855856,0.0001657595424932479,0.0,0.0002864769316735879,12.190850718550118,0.0015332179108852317,0.0013332445918207148,0.005644396670430932,0.039156326575474784,0.05330201765918671,0.043491956356855856
CRI FP Equity_DX_BROKER_SI_MV_NEW_x,5,4995,0.027621584602482974,0.05093250652093181,0.013096076944301123,0.3547696415084227,0.010700201661659038,0.35460014818215624,0.0,7.988651692715471,12.199814282817966,0.0007629519359519943,0.0005628243477155959,0.050932506520932744,0.027621584602482974,0.013096076944301123,0.010700201661659038
CRI FP Equity_DX_BROKER_SI_MV_NEW_y,5,4995,0.027621584602482974,0.05093250652093181,0.013096076944301123,0.3547696415084227,0.010700201661659038,0.35460014818215624,0.0,7.988651692715471,12.199814282817966,0.0007629519359519943,0.0005628243477155959,0.050932506520932744,0.027621584602482974,0.013096076944301123,0.010700201661659038
CRI FP Equity_DX_BROKER_SI_MV_ADD,5,4995,0.014178096180077725,0.31642041133688353,0.08551239497683563,1.4200305283403123e-09,0.06888840117509396,1.3632363639255211e-09,0.014963839214363839,1.4112249849377905,12.187788006683519,0.00020101841129105402,7.782787877497199e-07,0.3164204113368826,0.014178096180077725,0.08551239497683563,0.06888840117509396
