feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
CRSU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,5,4958,0.46108011132845483,1.4773795965492556e-259,0.4045120009195095,1.413767726306114e-194,0.3060490679902756,1.1372652340047636e-195,1.4117173679585515,0.00012442884984552985,127.82109100929296,0.21259486906266012,0.21243598989983992,1.4773795965553647e-259,0.46108011132845483,0.4045120009195095,0.3060490679902756
CRSU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,5,4958,0.41796434080268874,6.375709513281336e-209,0.38240732059090904,2.1246524139722312e-172,0.28117411538745407,2.8143171716129654e-163,1.1993601113849421,105.66073790732928,128.47221616389228,0.17469419018262622,0.17452766358661786,6.375709513281953e-209,0.41796434080268874,0.38240732059090904,0.28117411538745407
CRSU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,5,4958,0.250258448527905,1.1247563100557785e-71,0.3030572301825327,7.833411804170892e-106,0.21538422180488298,5.587524423134563e-95,1.0154732801792763,0.010759933244593319,132.70460989981137,0.06262929105959392,0.062440152498468016,1.124756310057945e-71,0.250258448527905,0.3030572301825327,0.21538422180488298
CRSU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,5,4958,-0.15951690402449373,1.2873270475424785e-29,-0.16412100560162218,2.8236388902089357e-31,-0.13407892659591278,6.98396534191676e-31,0.1869840009540542,-0.19631525170136835,143.14143829097617,0.0254456426695594,0.025249001354521017,1.2873270475369168e-29,0.15951690402449373,0.16412100560162218,0.13407892659591278
CRSU FP Equity_DX_ACTIVE_UTILIZATION_MV,5,4958,-0.15951690402449373,1.2873270475424785e-29,-0.16412100560162218,2.8236388902089357e-31,-0.13407892659591278,6.98396534191676e-31,0.1869840009540542,-0.19631525170136835,143.14143829097617,0.0254456426695594,0.025249001354521017,1.2873270475369168e-29,0.15951690402449373,0.16412100560162218,0.13407892659591278
CRSU FP Equity_DX_BROKER_SI_MARKET_SHARE_1,5,4958,-0.14016415137706156,3.5509912901723786e-23,-0.1494662433719096,3.642232801427565e-26,-0.11717976051653174,6.255581928615999e-25,0.2598809829822417,-0.1765636995851786,142.91803972438467,0.019645989331251612,0.01944817778753316,3.550991290162484e-23,0.14016415137706156,0.1494662433719096,0.11717976051653174
CRSU FP Equity_DX_BROKER_SI_CON_RATIO,5,4958,-0.13875647750483328,9.673161169650832e-23,-0.15034855036654673,1.8519535213684523e-26,-0.11788565328336459,3.2711374677296933e-25,0.25854506885687756,-17.799098122417522,142.86998764940773,0.01925336004954914,0.019055469282811766,9.673161169642084e-23,0.13875647750483328,0.15034855036654673,0.11788565328336459
CRSU FP Equity_DX_BROKER_SI_MARKET_SHARE_2,5,4958,-0.09533619027255454,1.7373743095428098e-11,-0.10627263902616572,6.268428178184558e-14,-0.08705774282617229,3.069084056895071e-14,0.12088381259033243,-0.6397149534935204,141.11867895294125,0.00908898917568468,0.00888904748665642,1.7373743095435304e-11,0.09533619027255454,0.10627263902616572,0.08705774282617229
CRSU FP Equity_DX_SUPPLY_SI_QTY_INC_x,5,4958,-0.0449665452830782,0.001540013006514337,-0.04747808269223642,0.0008254393745017599,-0.03866651933678429,0.0008459069976933586,0.006210992430870421,-0.20176299159481692,140.39751224903583,0.002021990194694956,0.0018206225575269075,0.0015400130065145372,0.0449665452830782,0.04747808269223642,0.03866651933678429
CRSU FP Equity_DX_SUPPLY_SI_QTY_INC_y,5,4958,-0.0449665452830782,0.001540013006514337,-0.04747808269223642,0.0008254393745017599,-0.03866651933678429,0.0008459069976933586,0.006210992430870421,-0.20176299159481692,140.39751224903583,0.002021990194694956,0.0018206225575269075,0.0015400130065145372,0.0449665452830782,0.04747808269223642,0.03866651933678429
CRSU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,5,4958,-0.03921005907812638,0.005757773035133717,-0.15092119160191886,1.1913360358843904e-26,-0.11839456772271127,2.74888819533469e-26,0.32822853968454013,-2.3990217203413766,140.65087405243722,0.0015374287329104064,0.0013359633230503043,0.005757773035131329,0.03921005907812638,0.15092119160191886,0.11839456772271127
CRSU FP Equity_DX_SUPPLY_SI_QTY,5,4958,-0.03280262704520365,0.020900740140377596,-0.16262478818325637,9.891982594929801e-31,-0.12856333700276457,3.210052405204865e-30,0.31112719312482406,-0.019582924533325347,140.55571726951564,0.001076012341066912,0.0008744538286257209,0.020900740140369193,0.03280262704520365,0.16262478818325637,0.12856333700276457
CRSU FP Equity_DX_SI_QTY,5,4958,-0.029514234960234212,0.03769863275801992,-0.14899350876179024,5.224189850005773e-26,-0.11377600873970017,3.160384601767547e-24,0.34210950071941415,-0.008185380027448324,140.58210351884173,0.0008710900652879605,0.0006694902045263351,0.037698632758045005,0.029514234960234212,0.14899350876179024,0.11377600873970017
CRSU FP Equity_DX_SUPPLY_SI_MV,5,4958,-0.026589696540936174,0.061189868804072574,-0.10251424052397815,4.635064513488856e-13,-0.0819619679116776,1.1965706671578625e-12,0.09756011637309192,-113.31850267097789,140.50376142484157,0.0007070119621389592,0.0005053789944154952,0.06118986880410545,0.026589696540936174,0.10251424052397815,0.0819619679116776
CRSU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,5,4958,-0.023567376517013034,0.09706275237222485,-0.0834362658705345,4.0099301951755444e-09,-0.06442522776230393,1.756296565335644e-08,0.1388294993492012,-42.56404274353238,140.52443633883868,0.0005554212358951371,0.0003537576808579912,0.09706275237223468,0.023567376517013034,0.0834362658705345,0.06442522776230393
CRSU FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,5,4958,-0.0234517934356085,0.0987133816713786,-0.16057544493349665,5.4029455099542415e-30,-0.12249355294113054,7.277116788741422e-28,0.3497424477547082,-0.00010144996372857146,140.4876953305374,0.0005499866153462207,0.000348321963735132,0.09871338167134217,0.0234517934356085,0.16057544493349665,0.12249355294113054
CRSU FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,5,4958,-0.02213351795631291,0.11916527839819696,-0.08336927698929064,4.1264581318241425e-09,-0.06435960197597167,1.818843361323252e-08,0.13735741480529584,-39.725636905859034,140.5133696925171,0.0004898926171226226,0.00028821584000748857,0.11916527839817198,0.02213351795631291,0.08336927698929064,0.06435960197597167
CRSU FP Equity_DX_SHORT_INTEREST_VALUE,5,4958,-0.01994846285425363,0.16019440961572803,-0.14653081226811085,3.356168794925328e-25,-0.10762961068378636,4.858612944401564e-22,0.38145637114331876,-3.9977963777581085e-05,140.50018031363922,0.0003979411702472735,0.0001962458395714517,0.16019440961577133,0.01994846285425363,0.14653081226811085,0.10762961068378636
CRSU FP Equity_DX_BROKER_SI_QTY,5,4958,-0.019629792493661428,0.16697829548308446,-0.1481409547163436,9.982574158722938e-26,-0.11228809159645173,1.2775414760353477e-23,0.34011809937680204,-0.008637576762751757,140.50533190206792,0.00038532875334429395,0.00018363087779016407,0.16697829548306786,0.019629792493661428,0.1481409547163436,0.11228809159645173
CRSU FP Equity_DX_BROKER_SI_QTY_INC,5,4958,-0.015320251572964565,0.28079409487507734,-0.03018770834744483,0.03354011701606821,-0.02462523433056562,0.03365001667367696,0.0032345942289626617,-0.14436657358653818,140.35602343200935,0.00023471010825892868,3.2981841533441525e-05,0.2807940948750624,0.015320251572964565,0.03018770834744483,0.02462523433056562
CRSU FP Equity_DX_SI_MV,5,4958,-0.014249236321292732,0.31579796463264914,-0.06590348950386546,3.411551780241444e-06,-0.050432514175198125,1.066002465483152e-05,0.138670447513767,-28.15186620458711,140.44832578493208,0.00020304073573951253,1.3060789065821865e-06,0.3157979646328619,0.014249236321292732,0.06590348950386546,0.050432514175198125
CRSU FP Equity_DX_UTILIZATION_QUANTITY,5,4958,0.011688056292434969,0.4106146395120527,-0.15875822919952123,2.3896941211700354e-29,-0.12225359311818723,1.098826502516644e-27,0.3343447515711453,0.07948625242561083,140.25620800668435,0.00013661065989512,-6.513740090796638e-05,0.4106146395118494,0.011688056292434969,0.15875822919952123,0.12225359311818723
CRSU FP Equity_DX_BROKER_SI_MV_INC_y,5,4958,-0.01054998019913231,0.4576694944488231,-0.008548511770730065,0.547316493971701,-0.006982808540925134,0.547337165666645,0.0005258714689726496,-733.9944452115187,140.34842065574117,0.00011130208220189175,-9.045108525529422e-05,0.457669494448819,0.01054998019913231,0.008548511770730065,0.006982808540925134
CRSU FP Equity_DX_BROKER_SI_MV_INC_x,5,4958,-0.01054998019913231,0.4576694944488231,-0.008548511770730065,0.547316493971701,-0.006982808540925134,0.547337165666645,0.0005258714689726496,-733.9944452115187,140.34842065574117,0.00011130208220189175,-9.045108525529422e-05,0.457669494448819,0.01054998019913231,0.008548511770730065,0.006982808540925134
CRSU FP Equity_DX_BROKER_SI_MV_DEC,5,4958,0.009520865627099856,0.5027051268752258,-0.004140704679601457,0.770678541255159,-0.003334325880625904,0.7737222144487421,0.0013672824101904624,97.95988567701143,140.31988037619553,9.064688228899165e-05,-0.0001111104528839224,0.5027051268752345,0.009520865627099856,0.004140704679601457,0.003334325880625904
CRSU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,5,4958,-0.009362297730924446,0.5098467623714528,-0.14625647872463055,4.1207518527194e-25,-0.10659859013994798,1.226381948825938e-21,0.3746597289103426,-2.8927624325815194e-05,140.41578210599326,8.76526188027249e-05,-0.00011410532053957034,0.5098467623714762,0.009362297730924446,0.14625647872463055,0.10659859013994798
CRSU FP Equity_DX_SUPPLY_SI_QTY_ADD,5,4958,0.008093972571009406,0.568822132404958,-0.0038453762681739754,0.7866237267706744,-0.0031317894494817975,0.7870276939382532,0.0014089392228862074,0.017265657733867595,140.32609569699144,6.551239197982728e-05,-0.00013625001472061804,0.5688221324049623,0.008093972571009406,0.0038453762681739754,0.0031317894494817975
