feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
CU2 FP Equity_DX_ACTIVE_UTILIZATION_MV,5,4298,0.25844024490955625,1.5345426109580146e-66,0.3218273230090353,3.7943544849852674e-104,0.2617445396343257,8.425676243996545e-104,0.2700814822730506,2.6111641946372153,279.49705809727254,0.06679136018891119,0.0665741328518974,1.5345426109577666e-66,0.25844024490955625,0.3218273230090353,0.2617445396343257
CU2 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,5,4298,0.2583383425773819,1.7329622145276285e-66,0.3217770695759897,4.1007454722185335e-104,0.2617128723015104,9.233861010484981e-104,0.2698826534641079,2.609056274952739,279.49598114610524,0.06673869924562836,0.06652145965048062,1.7329622145277292e-66,0.2583383425773819,0.3217770695759897,0.2617128723015104
CU2 FP Equity_DX_BROKER_SI_QTY,5,4298,-0.1750559124457491,6.377489942754833e-31,-0.036664488089305544,0.01622559928983436,-0.03741691721239989,0.0010051660735616783,0.8248019512881477,-0.004197646966412191,301.5015029497885,0.03064457248221375,0.030418931088471157,6.377489942753132e-31,0.1750559124457491,0.036664488089305544,0.03741691721239989
CU2 FP Equity_DX_UTILIZATION_QUANTITY,5,4298,0.14567641607778672,8.081192822234119e-22,0.3198358126829131,8.141338923000154e-103,0.259518144806275,2.5317692910540778e-102,0.3176570485330603,3.8729098629377465,284.6718771696536,0.02122161820126811,0.020993783382413533,8.081192822240051e-22,0.14567641607778672,0.3198358126829131,0.259518144806275
CU2 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,5,4298,0.1329396879632087,2.100786997977688e-18,0.5309184343395299,0.0,0.33155642113585104,3.577525491805215e-193,1.1614716879332316,3.019677081944698e-07,278.0808781696958,0.017672960635755408,0.017444299779292516,2.1007869979799932e-18,0.1329396879632087,0.5309184343395299,0.33155642113585104
CU2 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,5,4298,0.13283160599181199,2.2387459095040087e-18,0.5307424269148832,0.0,0.33487795663359926,9.195688414998409e-196,1.137004626549488,0.3020867246179141,278.09345107141235,0.01764423555036343,0.01741556800742816,2.2387459094996396e-18,0.13283160599181199,0.5307424269148832,0.33487795663359926
CU2 FP Equity_DX_SI_QTY,5,4298,-0.1324147688509725,2.859724588263635e-18,-0.012903016406242064,0.3977202754541469,-0.01849508928961899,0.10292110915829518,0.8153633696312155,-0.002542696197643553,297.7738705060573,0.017533671009856255,0.017304977730296045,2.859724588263691e-18,0.1324147688509725,0.012903016406242064,0.01849508928961899
CU2 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,5,4298,0.09568030266786955,3.2718505776895037e-10,0.5210880001268544,6.683566401259965e-298,0.3108600533053837,7.537028887209e-169,0.9734190635719269,6.985211736419834e-05,281.43771302974284,0.009154720318614973,0.00892407663153827,3.271850577693045e-10,0.09568030266786955,0.5210880001268544,0.3108600533053837
CU2 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,5,4298,-0.08616734927374366,1.532016218465443e-08,-0.0351392201508,0.021237346240135218,-0.029797396040433487,0.009694326432213067,0.592127971676442,-54.799592302384845,294.6022922577204,0.007424812080863208,0.007193765714960221,1.5320162184656607e-08,0.08616734927374366,0.0351392201508,0.029797396040433487
CU2 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,5,4298,-0.0766531674925247,4.872746257290589e-07,-0.0011696992598744969,0.9388922832523039,-0.0012866647963199786,0.9098209897125452,0.7946538605302855,-9.07756016774216e-06,294.64753675388755,0.005875708086637177,0.005644301128556739,4.872746257290433e-07,0.0766531674925247,0.0011696992598744969,0.0012866647963199786
CU2 FP Equity_DX_DSS,5,4298,-0.05326594586395411,0.0004766729312626364,-0.06673113001086588,1.195300056815633e-05,-0.054483192001581186,1.2171742521793728e-05,0.008944944182076253,-50.18759769673928,289.5968922264875,0.0028372609887812317,0.00260514675716772,0.0004766729312625633,0.05326594586395411,0.06673113001086588,0.054483192001581186
