feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
EC FP Equity_DX_SI_MV,5,4995,0.6680736528964795,0.0,0.5753222274577547,0.0,0.4280456297666296,0.0,1.2632862465544985,87.31636941455972,212.35274919553817,0.4463224056944457,0.4462115149285123,0.0,0.6680736528964795,0.5753222274577547,0.4280456297666296
EC FP Equity_DX_SHORT_INTEREST_VALUE,5,4995,0.6551976437550658,0.0,0.5343729156678602,0.0,0.3899231182382025,0.0,1.3226472033536836,0.00014762232371032496,205.90288526075892,0.42928395238218975,0.4291696491481385,0.0,0.6551976437550658,0.5343729156678602,0.3899231182382025
EC FP Equity_DX_SUPPLY_SI_MV,5,4995,0.6384952896160707,0.0,0.5238820243890187,0.0,0.3827013796455018,0.0,1.1468282564464296,112.79218609152633,219.3864501691781,0.4076762348619104,0.40755760402571206,0.0,0.6384952896160707,0.5238820243890187,0.3827013796455018
EC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,5,4995,0.6251569067332405,0.0,0.48937796709994896,3.468484527443375e-299,0.35013555043599154,2.747269075270214e-296,1.2810591299215943,0.00019113702053760013,214.40740272528953,0.3908211580362737,0.3906991514586723,0.0,0.6251569067332405,0.48937796709994896,0.35013555043599154
EC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,5,4995,0.557891493473431,0.0,0.5027343980918773,0.0,0.37103182749114716,0.0,1.4298696486166667,0.00020240953721433394,215.2538703409223,0.3112429184900154,0.3111049739513593,0.0,0.557891493473431,0.5027343980918773,0.37103182749114716
EC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,5,4995,0.5483407216533225,0.0,0.4065579280343718,3.611515112503632e-198,0.29210694424390377,2.018917083996766e-207,0.91745376806682,27.71835049325743,204.05313037083738,0.3006775470232862,0.30053748644788525,0.0,0.5483407216533225,0.4065579280343718,0.29210694424390377
EC FP Equity_DX_SI_QTY,5,4995,0.5200740116173513,0.0,0.39182008399573803,5.629283037145768e-183,0.27860715408060394,1.3299550304922611e-188,1.4437178848822243,0.04028507232268692,203.5258723996442,0.2704769775597652,0.2703308684024569,0.0,0.5200740116173513,0.39182008399573803,0.27860715408060394
EC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,5,4995,0.5188367888033818,0.0,-0.007772765866100231,0.5828589584910364,-0.009836877817494077,0.33977918372290317,0.9775288304553,23.377631812385733,213.79916777739854,0.26919161341580544,0.26904524682526176,0.0,0.5188367888033818,0.007772765866100231,0.009836877817494077
EC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,5,4995,0.5185892211685924,0.0,0.3833029077220919,1.5247768625438327e-174,0.2747913547447597,1.756371447770715e-178,1.154371267688958,302.2968873292033,203.76371478746574,0.26893478031224716,0.2687883622830687,0.0,0.5185892211685924,0.3833029077220919,0.2747913547447597
EC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,5,4995,0.5154783968017754,0.0,0.35793484309914747,7.109305395448242e-151,0.27274518078784354,5.392962983095526e-158,0.6864768084330981,1791.0339454615632,204.55354764790894,0.265717977569328,0.26557091527763355,0.0,0.5154783968017754,0.35793484309914747,0.27274518078784354
