feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
EPEJ FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,5,2350,-0.31882461009534924,1.1401685427617225e-56,-0.4804464426963478,5.312705257615042e-136,-0.3404551859105998,7.41768244627435e-116,0.9916381511537136,-3.437835651359654e-05,77.12527342572346,0.1016491320024514,0.1012665294181253,1.140168542761629e-56,0.31882461009534924,0.4804464426963478,0.3404551859105998
EPEJ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,5,2350,-0.31851736603874237,1.4740431011971836e-56,-0.4696950189288336,2.897454509949911e-129,-0.3584193350637487,1.8715895246861464e-117,0.6743528194279937,-34.33608114066659,77.09672447789659,0.10145331246825817,0.10107062648549325,1.47404310119768e-56,0.31851736603874237,0.4696950189288336,0.3584193350637487
EPEJ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,5,2350,-0.31610365900145,1.0970551018774087e-55,-0.4937652375580293,1.0942991150589868e-144,-0.370951968531395,3.2926103938186176e-133,1.0672489907874474,-0.00036328293335248377,76.83948444411945,0.09992152323410475,0.09953818487091648,1.0970551018776642e-55,0.31610365900145,0.4937652375580293,0.370951968531395
EPEJ FP Equity_DX_BROKER_SI_MARKET_SHARE_1,5,2350,-0.17072151308711495,7.890388917693739e-17,-0.18761893984739114,4.648027533058042e-20,-0.1517157204951513,1.8041709110054613e-19,0.09280478661691349,-0.5588910041933951,66.79321304434012,0.029145835030754075,0.02873235369984717,7.890388917689894e-17,0.17072151308711495,0.18761893984739114,0.1517157204951513
EPEJ FP Equity_DX_BROKER_SI_CON_RATIO,5,2350,-0.1691065938166741,1.5461105760064368e-16,-0.18402922541109387,2.398864686552769e-19,-0.14879853626063905,8.715857233997055e-19,0.09632895509736317,-55.819235529765216,66.71350903841295,0.02859704007227748,0.028183325012682947,1.5461105760065e-16,0.1691065938166741,0.18402922541109387,0.14879853626063905
EPEJ FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,5,2350,-0.1309435560532977,1.8682362327316126e-10,-0.16812460992197617,2.319976520717701e-16,-0.1334891951358316,1.2050821143124407e-15,0.136095395307956,-0.5563187670688198,65.04272315382929,0.01714621487188317,0.016727622970210132,1.8682362327318184e-10,0.1309435560532977,0.16812460992197617,0.1334891951358316
EPEJ FP Equity_DX_ACTIVE_UTILIZATION_MV,5,2350,-0.1309435560532977,1.8682362327316126e-10,-0.16812460992197617,2.319976520717701e-16,-0.1334891951358316,1.2050821143124407e-15,0.136095395307956,-0.5563187670688198,65.04272315382929,0.01714621487188317,0.016727622970210132,1.8682362327318184e-10,0.1309435560532977,0.16812460992197617,0.1334891951358316
EPEJ FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,5,2350,-0.10981365321434355,9.463856756287075e-08,-0.17109223193244877,6.755073579853941e-17,-0.13349470977140254,7.705352509513605e-16,0.13493339512255087,-0.0001556953704159181,64.25721040363003,0.012059038432279734,0.011638279930760165,9.463856756285496e-08,0.10981365321434355,0.17109223193244877,0.13349470977140254
EPEJ FP Equity_DX_SUPPLY_SI_MV,5,2350,-0.10954164921078302,1.0182895265491291e-07,-0.17217876483971653,4.275798423536822e-17,-0.1392681054032776,7.856152461298458e-17,0.1242175785805042,-155.62808321909068,64.24830599233073,0.011999372911818185,0.011578588999088923,1.0182895265490395e-07,0.10954164921078302,0.17217876483971653,0.1392681054032776
EPEJ FP Equity_DX_SHORT_INTEREST_VALUE,5,2350,-0.10893302120638733,1.198830517594205e-07,-0.18694780500788546,6.333150528041501e-20,-0.14696514566602092,6.097803028428277e-19,0.15846629573807558,-8.049754766786777e-05,64.22629133394724,0.011866403109151324,0.01144556256533058,1.1988305175943348e-07,0.10893302120638733,0.18694780500788546,0.14696514566602092
EPEJ FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,5,2350,-0.10738244171381212,1.8098198984887867e-07,-0.18717480762701258,5.704713710735418e-20,-0.14829133532259484,3.483259575835696e-19,0.17700850185667427,-57.291010419638205,64.17621125026443,0.011530988788420515,0.011110005393526245,1.8098198984888955e-07,0.10738244171381212,0.18717480762701258,0.14829133532259484
EPEJ FP Equity_DX_SI_MV,5,2350,-0.1066451177290667,2.1969994958889655e-07,-0.18742122019135413,5.092156187512859e-20,-0.15038206983805597,1.4984503450248481e-19,0.16712897730784881,-79.21100922190033,64.15370103554604,0.011373181135446608,0.010952130531160065,2.196999495888962e-07,0.1066451177290667,0.18742122019135413,0.15038206983805597
EPEJ FP Equity_DX_SUPPLY_SI_QTY,5,2350,-0.10585859973220221,2.697916957387473e-07,-0.17281578354540908,3.265643133489672e-17,-0.1421839488513693,2.2749268656023184e-17,0.11217755075472158,-0.0016753493258247294,64.13140828498243,0.011206043137262589,0.010784921349842214,2.6979169573874226e-07,0.10585859973220221,0.17281578354540908,0.1421839488513693
EPEJ FP Equity_DX_SI_QTY,5,2350,-0.10543308032173666,3.013163937948379e-07,-0.1874233171427535,5.087232786756404e-20,-0.15042479509322315,1.4677409925860958e-19,0.17640254559807178,-0.0008683717380391425,64.11563338540674,0.011116134426129909,0.010694974347094988,3.013163937947954e-07,0.10543308032173666,0.1874233171427535,0.15042479509322315
EPEJ FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,5,2350,-0.10121874141576762,8.79786077127356e-07,-0.1846454600205509,1.8141706341957011e-19,-0.14486503630767375,1.9307449844987346e-18,0.11364062607054004,-11.789115444053825,64.0050569432875,0.010245233613792148,0.009823702622997255,8.797860771274259e-07,0.10121874141576762,0.1846454600205509,0.14486503630767375
EPEJ FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,5,2350,-0.09265729456482447,6.826734515377363e-06,-0.18723618676038498,5.545644654852693e-20,-0.14793683401956398,3.588342588096477e-19,0.15940836746769338,-7.307820223439779e-05,63.74459805320947,0.008585374236072196,0.008163136320499698,6.826734515376961e-06,0.09265729456482447,0.18723618676038498,0.14793683401956398
EPEJ FP Equity_DX_BROKER_SI_QTY,5,2350,-0.09005023550168212,1.231648982798923e-05,-0.18887946475563044,2.591573703103666e-20,-0.15626184976276083,8.893447275398466e-21,0.13831835230996115,-0.0007854716011210368,63.67447479626913,0.008109044913908514,0.007686604132355557,1.2316489827987699e-05,0.09005023550168212,0.18887946475563044,0.15626184976276083
EPEJ FP Equity_DX_UTILIZATION_QUANTITY,5,2350,-0.08819995228715688,1.8545184711864984e-05,-0.16771544077601414,2.7454134039413875e-16,-0.1317306245567075,2.2052120380278223e-15,0.16317605920042833,-1.149018161261717,63.66211163995013,0.007779231583456947,0.007356650336260762,1.8545184711864445e-05,0.08819995228715688,0.16771544077601414,0.1317306245567075
EPEJ FP Equity_DX_DEMAND_SUPPLY_RATIO,5,2350,-0.06568446245814638,0.0014429491045626283,-0.175966037209771,8.482911404026088e-18,-0.1378379221175886,9.155837914924122e-17,0.19090489657990495,-27.124816534161756,63.143897596497425,0.004314448608415566,0.003890391729628573,0.0014429491045626296,0.06568446245814638,0.175966037209771,0.1378379221175886
EPEJ FP Equity_DX_BROKER_SI_MARKET_SHARE_2,5,2350,-0.0445561536662766,0.030783266892608793,-0.09210361501258998,7.748385076094497e-06,-0.07513140244762895,8.096457172203091e-06,0.0,-1.0639009224671894,62.781790951202446,0.0019852508295328253,0.0015602019585061466,0.03078326689260925,0.0445561536662766,0.09210361501258998,0.07513140244762895
EPEJ FP Equity_DX_BROKER_SI_MV_DEC,5,2350,-0.032112935150429824,0.1196354871537973,-0.0493884432400997,0.01664844520244656,-0.04029317384722228,0.016741371062860236,0.0,-106.77890206876395,62.64458170628285,0.0010312406039758581,0.0006057854253573858,0.11963548715380047,0.032112935150429824,0.0493884432400997,0.04029317384722228
EPEJ FP Equity_DX_BROKER_SI_QTY_DEC,5,2350,-0.031958970312552695,0.12142021022562541,-0.04938895849377894,0.01664730985628534,-0.040314853860116975,0.016685316310449998,0.0,-0.0011651569515625127,62.64309486749142,0.0010213757834385273,0.000595916403448471,0.12142021022562167,0.031958970312552695,0.04938895849377894,0.040314853860116975
EPEJ FP Equity_DX_BROKER_SI_MV_ADD,5,2350,-0.028020634865096764,0.17449713786018328,-0.04066267169641691,0.048728162362699355,-0.03321142703255533,0.04864947489263544,0.0,-111.16798048377885,62.609533256664356,0.000785155978243135,0.0003595959935659421,0.17449713786018597,0.028020634865096764,0.04066267169641691,0.03321142703255533
EPEJ FP Equity_DX_BROKER_SI_QTY_ADD,5,2350,-0.0279089483510057,0.17622178747979167,-0.04066267169641691,0.048728162362699355,-0.03321142703255533,0.04864947489263544,0.0,-0.0012352341427728161,62.60859027803486,0.0007789093980593575,0.0003533467529988066,0.17622178747979048,0.0279089483510057,0.04066267169641691,0.03321142703255533
