feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
GET FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,5,4734,0.8296433475754663,0.0,0.867135293289853,0.0,0.7380438037082947,0.0,1.757674714593513,6.054503167343437e-09,4.424181895195557,0.6883080841762261,0.6882422152168381,0.0,0.8296433475754663,0.867135293289853,0.7380438037082947
GET FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,5,4734,0.8213603024921663,0.0,0.8664171031013529,0.0,0.7368145747555859,0.0,1.729041470628454,0.006081872471015466,4.268217613018937,0.6746327465100233,0.6745639875807143,0.0,0.8213603024921663,0.8664171031013529,0.7368145747555859
GET FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,5,4734,0.49813853784356804,2.0143055986196436e-295,0.5424773718845914,0.0,0.38152613894476267,0.0,1.0745321024201586,5.917218315672631e-08,5.250827279036678,0.24814200288492805,0.247983114888919,2.014305598616767e-295,0.49813853784356804,0.5424773718845914,0.38152613894476267
GET FP Equity_DX_DSS,5,4734,-0.4220991611295639,6.540657931508593e-204,-0.46560234168969183,2.0786293713428795e-253,-0.3799405972893341,9.30864610236501e-236,0.32497517958570543,-2.8544374395936805,12.00308101690062,0.17816770182628172,0.177994026361748,6.540657931572046e-204,0.4220991611295639,0.46560234168969183,0.3799405972893341
GET FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,5,4734,-0.4040493861079006,2.0498125013705157e-185,-0.5058583613443455,4.465518092912652e-306,-0.3578284242429873,8.534511438740593e-297,0.9625072538496604,-0.8718955838328173,11.887671688222882,0.16325590641417154,0.16307907968264457,2.0498125013683163e-185,0.4040493861079006,0.5058583613443455,0.3578284242429873
GET FP Equity_DX_BROKER_SI_MARKET_SHARE_1,5,4734,0.3788271588185681,2.024614430028388e-161,0.3517421997854539,6.421015304178435e-138,0.24048991933405872,1.0304185478303797e-135,0.43046684851795103,0.10316594907410846,6.608407328261021,0.1435100162585491,0.14332901668463927,2.0246144300273314e-161,0.3788271588185681,0.3517421997854539,0.24048991933405872
GET FP Equity_DX_BROKER_SI_CON_RATIO,5,4734,0.37340453776998506,1.56556947502459e-156,0.3653459628112698,1.9409004465675567e-149,0.24617845750216208,4.220514533820705e-142,0.5272049810397288,12.528508920842182,7.327356614775102,0.1394309488272163,0.1392490872356752,1.5655694750243823e-156,0.37340453776998506,0.3653459628112698,0.24617845750216208
GET FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,5,4734,-0.3491466190578318,8.746711898449675e-136,-0.40712417813707164,1.7415423186633446e-188,-0.28357497856816194,2.902158285446675e-187,0.8738528302494366,-0.7554896738448696,11.789211991237512,0.12190336159951465,0.12171779595319177,8.746711898447164e-136,0.3491466190578318,0.40712417813707164,0.28357497856816194
GET FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,5,4734,-0.34129650416443735,1.8823238711799377e-129,-0.4397478174598223,3.999409729301176e-223,-0.308840617984201,2.3023766067462087e-222,0.8147496968973131,-0.16391980641266535,11.737983083450398,0.11648330375486582,0.11629659270325032,1.8823238711798025e-129,0.34129650416443735,0.4397478174598223,0.308840617984201
GET FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,5,4734,-0.31452491949778977,3.3825054217849157e-109,-0.4464947672013813,8.911142571753667e-231,-0.30503579716577967,1.2088597289804002e-216,0.9502825149609122,-0.052687865347350885,11.168793338022441,0.09892592498509112,0.09873550358293248,3.382505421786744e-109,0.31452491949778977,0.4464947672013813,0.30503579716577967
