feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
IDL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,5,3486,0.911277441309334,0.0,0.8945838690481482,0.0,0.7822181285392882,0.0,2.1931901203675266,1.5370307610539136,76.07247738414553,0.8304265750392869,0.8303779029884945,0.0,0.911277441309334,0.8945838690481482,0.7822181285392882
IDL FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,5,3486,0.9109813309767085,0.0,0.8947955333329546,0.0,0.7832873957774913,0.0,2.1719381456270037,1.533404425796641e-06,76.19885464846436,0.8298869853880954,0.8298381584608244,0.0,0.9109813309767085,0.8947955333329546,0.7832873957774913
IDL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,5,3486,0.8016449008060905,0.0,0.8202701548223398,0.0,0.6358200142392189,0.0,2.119550368625496,0.0005288490781248641,30.239387292391523,0.6426345469884067,0.6425319736666468,0.0,0.8016449008060905,0.8202701548223398,0.6358200142392189
IDL FP Equity_DX_SI_MV,5,3486,0.6629441002509584,0.0,0.8109508901180984,0.0,0.6172618065500637,0.0,1.491495698874104,14.644530659214333,133.39559171612322,0.4394948800575528,0.4393340002871904,0.0,0.6629441002509584,0.8109508901180984,0.6172618065500637
IDL FP Equity_DX_SHORT_INTEREST_VALUE,5,3486,0.6620281061981201,0.0,0.8100690996947952,0.0,0.6148057166429469,0.0,1.4947168799932187,1.4490817196533648e-05,133.69995525459277,0.4382812133962696,0.43811998527152685,0.0,0.6620281061981201,0.8100690996947952,0.6148057166429469
IDL FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,5,3486,0.6579086933633602,0.0,0.7652543789052956,0.0,0.5691610076215645,0.0,1.5425608586188782,2.1991154539204093e-05,137.17059610659803,0.43284384880308424,0.43268106001112183,0.0,0.6579086933633602,0.7652543789052956,0.5691610076215645
IDL FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,5,3486,0.6495993121770687,0.0,0.8063453192468717,0.0,0.6164278029141645,0.0,1.3128799213886158,1.65069143814224e-05,136.43575249117194,0.4219792663809211,0.42181335916690876,0.0,0.6495993121770687,0.8063453192468717,0.6164278029141645
IDL FP Equity_DX_SUPPLY_SI_MV,5,3486,0.6492731482781127,0.0,0.8060968739841436,0.0,0.6165413958096913,0.0,1.3120556691974081,16.48083682095287,136.46845826020737,0.4215556210749719,0.42138959226356976,0.0,0.6492731482781127,0.8060968739841436,0.6165413958096913
IDL FP Equity_DX_SUPPLY_SI_QTY,5,3486,0.5722769995122438,1.6288845226144593e-302,0.6599542985074782,0.0,0.47870620473911146,0.0,1.2873513858350765,0.005070650275692778,130.75297909200705,0.3275009641707366,0.32730793918915524,1.628884522612634e-302,0.5722769995122438,0.6599542985074782,0.47870620473911146
IDL FP Equity_DX_SI_QTY,5,3486,0.56227168551076,7.639549550723047e-290,0.6073673920907116,0.0,0.4274743867694398,6.00807400245834e-310,1.4581772204583823,0.004360063207719402,126.91831364658327,0.3161494483271108,0.31595316516072935,7.639549550715051e-290,0.56227168551076,0.6073673920907116,0.4274743867694398
