feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
OPM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,5,4995,-0.3076915712044102,5.337479215465931e-110,-0.2933092966445085,1.1237649616565915e-99,-0.20221066013855063,7.880867453136518e-101,1.2024986306996368,-6.847703804754607e-07,28.957990095464435,0.0946741029902387,0.09449278396420024,5.33747921550272e-110,0.3076915712044102,0.2933092966445085,0.20221066013855063
OPM FP Equity_DX_SHORT_INTEREST_VALUE,5,4995,0.13491491355471674,1.0031152632053173e-21,0.1584461596544133,1.9168646845995584e-29,0.1163947778834557,6.37229650774301e-35,0.7132289701044003,8.145701812139012e-08,23.12839127652252,0.01820203389947639,0.018005399017421375,1.0031152632057438e-21,0.13491491355471674,0.1584461596544133,0.1163947778834557
OPM FP Equity_DX_SI_MV,5,4995,0.13483895252013284,1.0573490940610049e-21,0.16465185698615517,1.081358275037435e-31,0.11864606925275797,3.5578978301914294e-36,0.7145602579194952,0.07953105046907107,23.11515946061897,0.018181543116726595,0.017984904130769586,1.0573490940625349e-21,0.13483895252013284,0.16465185698615517,0.11864606925275797
OPM FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,5,4995,0.11402823874070828,6.30160203769221e-16,0.12114417877277706,8.59023151862181e-18,0.09610423007254444,2.6465361394953925e-24,0.7421603647647093,8.873034105887744e-08,23.336517167854417,0.013002439230307972,0.012804762971391548,6.301602037693867e-16,0.11402823874070828,0.12114417877277706,0.09610423007254444
OPM FP Equity_DX_SUPPLY_SI_QTY,5,4995,-0.09653621150647218,8.087317537770641e-12,-0.08402045397112055,2.727620477941158e-09,-0.05974769383092975,2.648894787350491e-10,0.6940793056237684,-2.159635348704784e-06,25.187808417453002,0.009319240132022344,0.009120826200544663,8.08731753776385e-12,0.09653621150647218,0.08402045397112055,0.05974769383092975
OPM FP Equity_DX_BROKER_SI_MARKET_SHARE_2,5,4995,0.08720933571109463,6.668072790667323e-10,0.12028457066687352,1.4633795714581267e-17,0.0816107317782749,6.532475185193298e-18,0.4203622911348388,0.0989857801299511,22.182318996004025,0.007605468235170165,0.007406711068784211,6.668072790666379e-10,0.08720933571109463,0.12028457066687352,0.0816107317782749
OPM FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,5,4995,0.07624590299516838,6.844379896840198e-08,0.08840255531867797,3.8852217742900097e-10,0.065296281447314,4.802816540364524e-12,0.5912693351273246,0.12876548114695818,23.724689226459912,0.005813437723548809,0.005614321648588549,6.84437989684021e-08,0.07624590299516838,0.08840255531867797,0.065296281447314
OPM FP Equity_DX_SUPPLY_SI_MV,5,4995,0.07603821653985927,7.429148738464106e-08,0.08695799091372754,7.464837073285141e-10,0.060989275546269664,1.1723391325119942e-10,0.6598812702016899,0.06863811215257928,23.64112342379681,0.0057818103745624905,0.005582687965264399,7.429148738464603e-08,0.07603821653985927,0.08695799091372754,0.060989275546269664
OPM FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,5,4995,0.07234298894557509,3.083169216592354e-07,0.07591577659942152,7.796260650021999e-08,0.05517289668356479,5.340590060426821e-09,0.6706332539353044,6.58774295588454e-08,23.67937372653899,0.005233508049579894,0.0050342758260768505,3.0831692165916067e-07,0.07234298894557509,0.07591577659942152,0.05517289668356479
OPM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,5,4995,0.06067797028324318,1.776176898162187e-05,0.14125983577659923,1.10907211899441e-23,0.12520080552841645,9.594370342484817e-40,1.0630165612995115,0.005808213664281108,23.421170546817372,0.0036818160776943554,0.0034822730807141378,1.7761768981609277e-05,0.06067797028324318,0.14125983577659923,0.12520080552841645
OPM FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,5,4995,0.057739007491960745,4.4437436262122844e-05,0.1395679845070545,3.763431068301584e-23,0.12484845571872738,1.4538150072249644e-39,1.0787412822793603,5.5589126399442455e-09,23.47584026432766,0.0033337929861561033,0.0031341802869744306,4.443743626212504e-05,0.057739007491960745,0.1395679845070545,0.12484845571872738
OPM FP Equity_DX_SUPPLY_SI_MV_DEC,5,4995,0.049346713689223776,0.0004851085888761821,-0.018541700804538364,0.19011967167329355,-0.008224269805790604,0.41987174871879374,0.11237309513750793,0.4028015032084321,24.112578865866745,0.0024350981519262183,0.0022353054617904045,0.0004851085888764935,0.049346713689223776,0.018541700804538364,0.008224269805790604
OPM FP Equity_DX_BROKER_SI_QTY,5,4995,-0.04775035859471389,0.0007358733718415476,-0.05074982451110696,0.00033300172524604576,-0.02719952308227144,0.004002154507169206,0.6994190618380767,-9.835994371054854e-07,24.753130769005264,0.0022800967459238874,0.002080273012045608,0.0007358733718415721,0.04775035859471389,0.05074982451110696,0.02719952308227144
OPM FP Equity_DX_SUPPLY_SI_QTY_INC_y,5,4995,-0.04559483106499017,0.0012672330753426327,-0.027237624500108516,0.05424149863656663,-0.02333041880999072,0.024717677663875184,0.08046034723100481,-1.760261666791332e-05,24.479697419268625,0.002078888619844954,0.0018790245879242162,0.001267233075343564,0.04559483106499017,0.027237624500108516,0.02333041880999072
OPM FP Equity_DX_SUPPLY_SI_QTY_INC_x,5,4995,-0.04559483106499017,0.0012672330753426327,-0.027237624500108516,0.05424149863656663,-0.02333041880999072,0.024717677663875184,0.08046034723100481,-1.760261666791332e-05,24.479697419268625,0.002078888619844954,0.0018790245879242162,0.001267233075343564,0.04559483106499017,0.027237624500108516,0.02333041880999072
OPM FP Equity_DX_DEMAND_SUPPLY_RATIO,5,4995,0.04525241876228577,0.0013787302421512007,0.1703068587000597,8.063194473489887e-34,0.12381035376237605,2.9358793482304267e-39,0.7368944778872821,4.262308544255669,23.947107005079907,0.002047781403837323,0.0018479111417510907,0.0013787302421512046,0.04525241876228577,0.1703068587000597,0.12381035376237605
OPM FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,5,4995,0.043660921044362914,0.002025628607074691,0.10248067501444078,3.8662623781166033e-13,0.07082823287818586,8.728421985858701e-14,0.7024015191777293,0.847774197942067,23.873741721754175,0.0019062760264419998,0.0017063774236032447,0.002025628607074347,0.043660921044362914,0.10248067501444078,0.07082823287818586
OPM FP Equity_DX_BROKER_SI_MV_INC_y,5,4995,0.042316867514185584,0.0027774762647651673,-0.0009489283064652429,0.9465426660044072,0.0032534977103762536,0.754265949967079,0.07125598429789415,0.3936940432371548,24.153391521344048,0.0017907172762131607,0.0015907955292225884,0.0027774762647667464,0.042316867514185584,0.0009489283064652429,0.0032534977103762536
OPM FP Equity_DX_BROKER_SI_MV_INC_x,5,4995,0.042316867514185584,0.0027774762647651673,-0.0009489283064652429,0.9465426660044072,0.0032534977103762536,0.754265949967079,0.07125598429789415,0.3936940432371548,24.153391521344048,0.0017907172762131607,0.0015907955292225884,0.0027774762647667464,0.042316867514185584,0.0009489283064652429,0.0032534977103762536
OPM FP Equity_DX_BROKER_SI_CON_RATIO,5,4995,0.040912341674090975,0.0038282269806035247,0.05895966278220643,3.0516533974244785e-05,0.040733685880025516,1.6377344606481377e-05,0.5425831059263242,2.158850291477319,23.552479220809026,0.0016738197012573508,0.0014738745419745625,0.003828226980603743,0.040912341674090975,0.05895966278220643,0.040733685880025516
OPM FP Equity_DX_SI_QTY,5,4995,-0.03563005132559828,0.011791132044112572,-0.022636229417511988,0.10968131859812269,-0.011566636960087825,0.2206339065803069,0.7151133626553108,-5.793140772941014e-07,24.652433481910894,0.0012695005574646645,0.0010694744209850393,0.011791132044111908,0.03563005132559828,0.022636229417511988,0.011566636960087825
