feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ORA FP Equity_DX_SI_MV,5,4995,0.509404623385101,0.0,0.3632855047181561,1.0862860664928603e-155,0.23687520459217679,5.7616539334414336e-139,0.7443060587627537,0.001436244635770301,11.40360989811854,0.25949307032611657,0.2593447613075558,0.0,0.509404623385101,0.3632855047181561,0.23687520459217679
ORA FP Equity_DX_SUPPLY_SI_MV,5,4995,0.4729208358909458,7.954081539349717e-277,0.36453283588542007,7.941988734506544e-157,0.24008504832310215,1.0569142699104926e-142,0.773864145939319,0.002202362437949144,11.56591564458276,0.223654117019791,0.22349863016159344,7.954081539359025e-277,0.4729208358909458,0.36453283588542007,0.24008504832310215
ORA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,5,4995,-0.390723674749367,7.080610027047554e-182,-0.3623858444616417,7.114946257194248e-155,-0.2520024894519217,5.130590216767349e-157,0.9846330335100957,-1.2990730608437777e-08,18.51943493961845,0.15266499000964961,0.1524952854212277,7.080610027038389e-182,0.390723674749367,0.3623858444616417,0.2520024894519217
ORA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,5,4995,0.3536930247117285,4.0200726733252907e-147,0.2591039257671644,1.9537846469280802e-77,0.1552879573396928,8.750528206534707e-61,0.8247480078536729,0.08407977078322747,12.156496026548702,0.1250987557297314,0.12492353016508684,4.0200726733296306e-147,0.3536930247117285,0.2591039257671644,0.1552879573396928
ORA FP Equity_DX_ACTIVE_UTILIZATION_MV,5,4995,0.3379747198669752,1.032183457436967e-133,0.2590769760604765,2.028392517924825e-77,0.15491954886543083,1.6662192097081904e-60,0.8243977702279555,0.07425379893742848,12.2783274420616,0.11422691126916018,0.11404950828723925,1.0321834574377394e-133,0.3379747198669752,0.2590769760604765,0.15491954886543083
ORA FP Equity_DX_DEMAND_SUPPLY_RATIO,5,4995,0.31209506737990866,2.8037326185251365e-113,0.23016339294489882,4.73467988020784e-61,0.12591185895211693,1.4092453991506919e-40,0.7245190840626696,6.495496361860314,12.026273827797635,0.09740333108286969,0.09722255866770502,2.803732618512221e-113,0.31209506737990866,0.23016339294489882,0.12591185895211693
ORA FP Equity_DX_UTILIZATION_QUANTITY,5,4995,0.3036314025138492,5.0296729604971445e-107,0.24042498223640646,1.2995711963370482e-66,0.1457173518525064,9.721041976518854e-54,0.7639343750945926,0.1035182061616699,12.094122792317286,0.09219202859252718,0.092010212455654,5.029672960510539e-107,0.3036314025138492,0.24042498223640646,0.1457173518525064
ORA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,5,4995,0.29514581531201206,5.8237735217956e-101,0.2024089673986839,2.450499984228376e-47,0.11724231649596792,2.213473473632164e-35,0.706885621238313,0.283298294595873,12.040274877405366,0.08711105229619265,0.08692821853939237,5.823773521800467e-101,0.29514581531201206,0.2024089673986839,0.11724231649596792
ORA FP Equity_DX_SHORT_INTEREST_VALUE,5,4995,0.29254807657050935,3.808088737846305e-99,0.2551575014601158,4.505114018810084e-75,0.1646469779952448,3.928868158592215e-68,0.6362202755468669,1.363377785318112e-09,12.083799667032649,0.08558437710510469,0.0854012375851978,3.808088737846211e-99,0.29254807657050935,0.2551575014601158,0.1646469779952448
ORA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,5,4995,0.2732434331851087,3.0485225494390845e-86,0.1910419050217904,2.874251598098732e-42,0.11055551567147114,1.2301221463996428e-31,0.702680240931504,0.3600086890103909,12.130982835816768,0.07466197377878492,0.07447664671565224,3.0485225494361167e-86,0.2732434331851087,0.1910419050217904,0.11055551567147114
