feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
PHXM FP Equity_DX_UTILIZATION_QUANTITY,5,3207,-0.5192878181654447,5.399139022097083e-221,-0.5218758333990986,1.437903258205613e-223,-0.3524985167642239,2.5523802375302428e-191,1.7002584663538016,-0.18572620419179905,17.299751725574264,0.26965983809502847,0.2694319628495043,5.399139022088655e-221,0.5192878181654447,0.5218758333990986,0.3524985167642239
PHXM FP Equity_DX_SHORT_INTEREST_VALUE,5,3207,0.5009367399977063,2.311431944046355e-203,0.5230309965904069,1.0030929534726303e-224,0.38409017225454867,1.939353161478089e-231,1.7529436005034884,4.557931445067508e-06,7.162885581323051,0.2509376174795298,0.250703900667511,2.3114319440447557e-203,0.5009367399977063,0.5230309965904069,0.38409017225454867
PHXM FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,5,3207,0.5001678762965143,1.200391331345549e-202,0.5097645624995719,1.039462931325737e-211,0.37512309987742914,7.678466095425104e-221,1.7555771680144594,4.647840077036948e-06,7.276142168116783,0.25016790447896564,0.24993394750688425,1.2003913313446684e-202,0.5001678762965143,0.5097645624995719,0.37512309987742914
PHXM FP Equity_DX_SI_MV,5,3207,0.49842209894659295,4.977584465567334e-201,0.5342304143690316,3.5877464186928654e-236,0.3882498080459719,2.6871046432595737e-232,1.6234730417948202,4.535940165432521,7.148056729849321,0.2484245887183275,0.24819008780997132,4.977584465567787e-201,0.49842209894659295,0.5342304143690316,0.3882498080459719
PHXM FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,5,3207,0.47740389051274784,2.8409863112883255e-182,0.36263777857101603,2.899581778841797e-100,0.23985243028291042,1.0800954574188828e-90,1.6137511424251434,9.484496252456276,5.026446756355072,0.227914474676708,0.22767357435679436,2.8409863112869777e-182,0.47740389051274784,0.36263777857101603,0.23985243028291042
PHXM FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,5,3207,-0.3096724261386685,3.133390926962834e-72,-0.34077033593956785,5.096809867219986e-88,-0.27717776598231963,1.2545185212620825e-82,0.29054568413812065,-0.07997991415363664,17.208086431626832,0.09589701151060925,0.09561492009454398,3.133390926961021e-72,0.3096724261386685,0.34077033593956785,0.27717776598231963
PHXM FP Equity_DX_ACTIVE_UTILIZATION_MV,5,3207,-0.3096483468837424,3.2175666036263504e-72,-0.3407703396405589,5.096786503667799e-88,-0.2771777457094644,1.2533053662252329e-82,0.29021763815652757,-0.07997217169101846,17.20739746503305,0.09588209872783404,0.09560000265879443,3.217566603643098e-72,0.3096483468837424,0.3407703396405589,0.2771777457094644
PHXM FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,5,3207,0.30635131350498124,1.1851155490077005e-70,0.26398396488905734,2.8401563523397277e-52,0.17054522718966403,1.1353924720105118e-46,1.5830568305584887,7.874656223882059,6.849960795646241,0.09385112728622691,0.09356839752875001,1.18511554900774e-70,0.30635131350498124,0.26398396488905734,0.17054522718966403
PHXM FP Equity_DX_SUPPLY_SI_QTY,5,3207,-0.27784942716199656,6.1412341820704916e-58,-0.48196394807897047,3.12408498043912e-186,-0.313435410227784,4.5544406915850905e-151,1.9344599184183289,-9.891655782699399e-05,12.598113702394304,0.07720030417424883,0.07691237915215032,6.141234182069654e-58,0.27784942716199656,0.48196394807897047,0.313435410227784
PHXM FP Equity_DX_DSS,5,3207,0.23536056495857685,1.2995315526738991e-41,0.2824161701499142,7.061787567817311e-60,0.2307415725096918,1.4801802171642714e-57,0.19342885876877203,6.436088717310384,9.632921786891231,0.05539459553761972,0.05509986686228052,1.2995315526728112e-41,0.23536056495857685,0.2824161701499142,0.2307415725096918
