feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
SAN FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,5,4995,0.7451888633400928,0.0,0.866415678149995,0.0,0.694736323315645,0.0,1.3691011196734886,1.3878378110404865e-09,46.2363291571761,0.5553064420460994,0.555217378645748,0.0,0.7451888633400928,0.866415678149995,0.694736323315645
SAN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,5,4995,0.7392521131001656,0.0,0.8706130588949724,0.0,0.7025108491643866,0.0,1.3040920218194119,0.001503614591694445,42.08671318215689,0.54649368672306,0.5464028583006131,0.0,0.7392521131001656,0.8706130588949724,0.7025108491643866
SAN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,5,4995,0.5900987101080052,0.0,0.7114243011796261,0.0,0.5208248841671376,0.0,1.0867643713463941,1.4031704335141824e-07,35.74136343422235,0.34821648767113145,0.34808594821342487,0.0,0.5900987101080052,0.7114243011796261,0.5208248841671376
SAN FP Equity_DX_BROKER_SI_CON_RATIO,5,4995,0.4081574879813551,7.27680182724656e-200,0.5360322628272094,0.0,0.3767273675652027,0.0,0.4292920114384504,98.0029393462769,54.948305737068374,0.16659253499524995,0.166425619821005,7.276801827249997e-200,0.4081574879813551,0.5360322628272094,0.3767273675652027
SAN FP Equity_DX_DEMAND_SUPPLY_RATIO,5,4995,-0.37817989270660096,1.367096520649986e-169,-0.5921194350968193,0.0,-0.42494090477475555,0.0,0.6991976605317642,-41.73087021635867,78.79486758976213,0.14302003124757634,0.14284839496302748,1.367096520651457e-169,0.37817989270660096,0.5921194350968193,0.42494090477475555
SAN FP Equity_DX_BROKER_SI_MARKET_SHARE_1,5,4995,0.33452155708494635,7.194172158556948e-131,0.40548903430342303,4.8494202021358437e-197,0.2797539880744037,5.438187366252881e-193,0.3246867697632645,0.583659223486283,55.07253342284645,0.11190467215453703,0.11172680407365465,7.194172158549882e-131,0.33452155708494635,0.40548903430342303,0.2797539880744037
SAN FP Equity_DX_BROKER_SI_MARKET_SHARE_2,5,4995,0.33381800755436375,2.7026382932910775e-130,0.37838804618253635,8.635797147840343e-170,0.2626771781875128,2.3593702514896456e-170,0.3189014711840752,1.2803309385964987,49.31710380038377,0.11143446216756536,0.11125649991284225,2.7026382932880504e-130,0.33381800755436375,0.37838804618253635,0.2626771781875128
SAN FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,5,4995,-0.316290102700673,1.8655093690832978e-116,-0.5186360308251302,0.0,-0.3700389346149121,0.0,0.6500309504029431,-1.54363371713483,78.04679608455696,0.1000394290664024,0.09985918460997667,1.8655093690811524e-116,0.316290102700673,0.5186360308251302,0.3700389346149121
SAN FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,5,4995,-0.31263406646099956,1.1026310709724362e-113,-0.49781649068449924,0.0,-0.34088529091330944,2.156479647713169e-285,0.7505812593768488,-0.4055332343889826,76.47513618023252,0.09774005951194076,0.09755935453687803,1.1026310709750426e-113,0.31263406646099956,0.49781649068449924,0.34088529091330944
SAN FP Equity_DX_ACTIVE_UTILIZATION_MV,5,4995,-0.30320049507915264,1.0337381644426688e-106,-0.497768472721589,0.0,-0.3409813407057352,1.483256167201897e-285,0.7407029685252158,-0.3802307612808885,76.26600538032399,0.09193054021624336,0.09174867170837553,1.033738164443703e-106,0.30320049507915264,0.497768472721589,0.3409813407057352
