feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
SGO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,5,4995,0.6947599222750123,0.0,0.6012492051324932,0.0,0.4965310605673692,0.0,1.360882813748757,0.0034749475421943063,28.235676518251438,0.4826913495995814,0.4825877428200098,0.0,0.6947599222750123,0.6012492051324932,0.4965310605673692
SGO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,5,4995,0.6731940044491297,0.0,0.5502093751211535,0.0,0.45696432702328915,0.0,1.3495821680495927,3.246110462380933e-09,30.091402161983943,0.45319016762625497,0.45308065233837713,0.0,0.6731940044491297,0.5502093751211535,0.45696432702328915
SGO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,5,4995,0.333263974828387,7.644975906317982e-130,0.4044356665492848,6.2124976117152445e-196,0.3173221123019288,8.485342713401345e-248,1.234091813267102,1.3635032560515722e-07,31.50722800105613,0.11106487691841582,0.1108868406430139,7.644975906321051e-130,0.333263974828387,0.4044356665492848,0.3173221123019288
SGO FP Equity_DX_BROKER_SI_QTY,5,4995,-0.2188411752925324,3.174283625518702e-55,-0.2765970221140798,2.0707393495877546e-88,-0.18971714713578577,7.316699398044149e-90,0.5530402601843178,-2.8777733729493796e-07,48.69903734142539,0.04789146000341715,0.047700771331276814,3.174283625522735e-55,0.2188411752925324,0.2765970221140798,0.18971714713578577
SGO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,5,4995,0.21772723289307536,1.1415410742799473e-54,0.21655543073609937,4.3538042165725666e-54,0.1357961075356646,6.194066910313549e-47,0.5334604521511146,1.018278475713152e-08,41.668596820938696,0.04740514794327555,0.04721436187236494,1.1415410742805643e-54,0.21772723289307536,0.21655543073609937,0.1357961075356646
SGO FP Equity_DX_SUPPLY_SI_MV,5,4995,0.21688654113294947,2.984961535137868e-54,0.1896838955715794,1.1046868468634616e-41,0.11683552239719512,3.4116648530047305e-35,0.5492631893180864,0.008329346209318012,41.756259750380366,0.047039771724614377,0.046848912476011195,2.9849615351400197e-54,0.21688654113294947,0.1896838955715794,0.11683552239719512
SGO FP Equity_DX_SI_QTY,5,4995,-0.16226182271726622,8.139926803146675e-31,-0.24055767072353845,1.0967782042191295e-66,-0.1670724314940771,4.098151589285989e-70,0.576276884264666,-1.5827917263184388e-07,47.83767347043237,0.02632889911152947,0.026133891881229276,8.139926803150017e-31,0.16226182271726622,0.24055767072353845,0.1670724314940771
SGO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,5,4995,-0.15309381529889204,1.41301860499677e-27,-0.20614807921601216,4.497323555127192e-49,-0.14138692456336566,1.2583855375812362e-50,0.5861897381204901,-0.5250489157379329,47.534041889350036,0.023437716282771248,0.023242130005239225,1.413018604995975e-27,0.15309381529889204,0.20614807921601216,0.14138692456336566
SGO FP Equity_DX_DSS,5,4995,-0.1433151080756794,2.4635714407204704e-24,-0.18499207552043567,1.0697636924653274e-39,-0.14241492817599352,3.0179744933586565e-40,0.17454234799960355,-2.6036611984415527,48.04720351637956,0.02053922020274379,0.020343053413279022,2.4635714407451184e-24,0.1433151080756794,0.18499207552043567,0.14241492817599352
SGO FP Equity_DX_DEMAND_SUPPLY_RATIO,5,4995,-0.14294760043862953,3.229302181503697e-24,-0.30546934741430876,2.296506361001125e-108,-0.2181956520870679,3.5326831970586275e-118,0.6358367843969139,-8.535073735464016,47.061327193743764,0.020434016471162053,0.020237828611452624,3.2293021815051005e-24,0.14294760043862953,0.30546934741430876,0.2181956520870679
