feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
SMCP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,5,2047,0.778673874738521,0.0,0.591392236505242,2.2516801496907837e-193,0.4628298780664384,4.270753359106833e-213,1.352177002597104,1.0591763512402779e-07,4.7527379720467895,0.606333003200302,0.6061405010013781,0.0,0.778673874738521,0.591392236505242,0.4628298780664384
SMCP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,5,2047,0.7780943186611913,0.0,0.590493309601657,1.1970633312847541e-192,0.46130043024565187,1.2293462053193388e-211,1.364829253580412,0.10575258989833929,4.75181721142603,0.6054307687328238,0.605237825343451,0.0,0.7780943186611913,0.590493309601657,0.46130043024565187
SMCP FP Equity_DX_UTILIZATION_QUANTITY,5,2047,-0.5071586733350252,3.1722555131155996e-134,-0.6399507315864185,3.05252085499634e-236,-0.4688176299100924,1.606804832100949e-220,1.4143230955473265,-0.1324343656212675,11.414105153295216,0.2572099199389428,0.2568466974059056,3.172255513113476e-134,0.5071586733350252,0.6399507315864185,0.4688176299100924
SMCP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,5,2047,-0.4435041663744177,2.1804112784384653e-99,-0.24473196080734633,2.679231729198162e-29,-0.1713025273399387,5.217482095291906e-31,0.8268978953071797,-0.31729342594274174,14.82694712019108,0.1966959455914674,0.19630313187293025,2.1804112784382456e-99,0.4435041663744177,0.24473196080734633,0.1713025273399387
SMCP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,5,2047,-0.4212016197341611,7.864850442865956e-89,-0.47835378376572135,1.5187721450123684e-117,-0.3342310092243032,1.4229617116880459e-111,1.1548149871084332,-0.07179063733134526,11.485051045431916,0.17741080446668123,0.17700856036128598,7.864850442868459e-89,0.4212016197341611,0.47835378376572135,0.3342310092243032
SMCP FP Equity_DX_ACTIVE_UTILIZATION_MV,5,2047,-0.4209439232143486,1.030609695953844e-88,-0.47844281223602325,1.3563105172592296e-117,-0.3341770180716988,1.4840073582023656e-111,1.1469167098432798,-0.07173969843462685,11.481966723711723,0.1771937864910874,0.17679143626443272,1.0306096959538146e-88,0.4209439232143486,0.47844281223602325,0.3341770180716988
SMCP FP Equity_DX_DEMAND_SUPPLY_RATIO,5,2047,-0.41816960640526374,1.864545927248931e-87,-0.5691915228103922,4.21830964148749e-176,-0.41811539065139924,6.538262765346352e-176,1.535082415658667,-7.3593612855974895,11.033833709322131,0.1748658197211329,0.17446233112441956,1.8645459272488451e-87,0.41816960640526374,0.5691915228103922,0.41811539065139924
SMCP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,5,2047,0.40910258466161986,1.9888020166123186e-83,0.3727086019253622,1.8202282152605015e-68,0.24793455638981363,1.707069712601918e-62,1.3929275948595015,9.001992739187982e-07,5.586676211968842,0.16736492477681786,0.16695776826081632,1.988802016612943e-83,0.40910258466161986,0.3727086019253622,0.24793455638981363
SMCP FP Equity_DX_SUPPLY_SI_QTY,5,2047,-0.4000368481919988,1.5970514984988758e-79,-0.5584248035311127,3.4487998120253155e-168,-0.39455034064424377,8.554345050734151e-157,1.422949230880337,-2.159725919884961e-06,10.816889761424347,0.16002947991138838,0.15961873638078272,1.5970514984981396e-79,0.4000368481919988,0.5584248035311127,0.39455034064424377
SMCP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,5,2047,0.3909087383101492,1.0324610160068639e-75,-0.00859149664789322,0.6976597011418237,-0.03835371934931697,0.009474911867155865,1.5184454612060119,1.8212694606227793e-07,6.614833992552356,0.1528096416872332,0.15239536767338835,1.0324610160065981e-75,0.3909087383101492,0.00859149664789322,0.03835371934931697
