feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
SRIC3 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,5,1486,-0.30580992989631195,1.5410483989560315e-33,-0.05716403291434552,0.027556352773657915,-0.041758561527904046,0.04131414943347149,0.3451838221862662,-1.7531422148238662e-06,9.712441872583307,0.0935197132231873,0.09290887745042664,1.5410483989659476e-33,0.30580992989631195,0.05716403291434552,0.041758561527904046
SRIC3 FP Equity_DX_BROKER_SI_QTY,5,1486,-0.30371319976882943,4.413295893832714e-33,-0.05716973572958923,0.027540855630559302,-0.04228420821505707,0.03920639941787508,0.34366837651960314,-1.7014116033105003e-05,9.712383272398235,0.09224170771382112,0.09163001075136412,4.413295893808257e-33,0.30371319976882943,0.05716973572958923,0.04228420821505707
SRIC3 FP Equity_DX_SI_MV,5,1486,-0.29918624726804705,4.155423919634273e-32,-0.05593250353347948,0.03108389030383748,-0.03950557513331807,0.0531302098966806,0.34943616677813205,-0.8485092443946918,9.724679213326194,0.08951241055433712,0.08889887444285083,4.155423919604429e-32,0.29918624726804705,0.05593250353347948,0.03950557513331807
SRIC3 FP Equity_DX_SHORT_INTEREST_VALUE,5,1486,-0.2975783929241905,9.127243389368737e-32,-0.060995221962666636,0.01869810457967807,-0.041518485997959015,0.041512625726631835,0.3750424715940257,-8.409569904042416e-07,9.724214963004895,0.08855289993534421,0.08793871725335989,9.127243389366979e-32,0.2975783929241905,0.060995221962666636,0.041518485997959015
SRIC3 FP Equity_DX_SI_QTY,5,1486,-0.29534580094395146,2.6992505410538193e-31,-0.061177588607506626,0.01834700589760183,-0.042443101229371415,0.03745422736344698,0.3682593699340899,-8.147237836110149e-06,9.724043808831802,0.08722914213522437,0.08661406743315914,2.6992505410649947e-31,0.29534580094395146,0.061177588607506626,0.042443101229371415
SRIC3 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,5,1486,-0.2931359241120886,7.8207888423888335e-31,-0.02769187457809523,0.28606612328760506,-0.02305206366783637,0.26781477106703155,0.17974870121173536,-16.65059679991192,9.724363100737296,0.08592867000504856,0.08531271897405457,7.820788842359935e-31,0.2931359241120886,0.02769187457809523,0.02305206366783637
SRIC3 FP Equity_DX_SUPPLY_SI_MV,5,1486,-0.2655738415299867,2.0846343894402296e-25,-0.049133141252251225,0.05828249278003348,-0.0331920974009842,0.1045976233405735,0.35027441406736903,-1.311419160069288,9.729645920661342,0.07052946530499493,0.06990313745142684,2.084634389439346e-25,0.2655738415299867,0.049133141252251225,0.0331920974009842
SRIC3 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,5,1486,-0.26430866448576396,3.576080201364724e-25,-0.06012844887970353,0.02044830242071817,-0.039054729562588444,0.05518539605866101,0.4006189341024071,-1.3015063087197266e-06,9.729211658055727,0.06985907012224868,0.0692322905199051,3.5760802013721756e-25,0.26430866448576396,0.06012844887970353,0.039054729562588444
SRIC3 FP Equity_DX_SUPPLY_SI_QTY,5,1486,-0.2619296622266874,9.788058805327778e-25,-0.06037611876660983,0.019934197787140343,-0.04005521937226372,0.04956690010502515,0.39697196069805374,-1.2563969875499237e-05,9.728846365401495,0.06860714795418688,0.06797952473852253,9.788058805311565e-25,0.2619296622266874,0.06037611876660983,0.04005521937226372
SRIC3 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,5,1486,-0.24854761549592796,2.332863472860889e-22,-0.062216829415644256,0.016454204348823002,-0.04597070767049245,0.024043624423126866,0.34637377409383063,-0.08448623354599864,9.718641219985393,0.06177591716871211,0.061143690697801456,2.3328634728495813e-22,0.24854761549592796,0.062216829415644256,0.04597070767049245
SRIC3 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,5,1486,0.12827542114080226,7.00610385556905e-07,0.43988044175034646,2.3666055185726847e-71,0.35283572130585866,1.1742647576464406e-65,0.33518924930676164,6.11232817699736e-08,9.635012297523428,0.01645458366885022,0.01579181721579681,7.006103855581885e-07,0.12827542114080226,0.43988044175034646,0.35283572130585866
SRIC3 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,5,1486,0.12816514369989498,7.162912554763015e-07,0.4447669744059002,4.3398771151314814e-73,0.3580409199218571,1.5296632008756328e-69,0.3631901197040428,0.006105815650611728,9.63504788900703,0.016426304059614982,0.01576351855022118,7.162912554778764e-07,0.12816514369989498,0.4447669744059002,0.3580409199218571
SRIC3 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,5,1486,0.12815742317595086,7.174016352835164e-07,0.44241125492092465,3.0076845308987705e-72,0.35876548367790606,6.021540099284488e-70,0.42534246846075985,6.0967624492319515e-09,9.635049443732841,0.016424325115100058,0.015761538272185627,7.174016352843643e-07,0.12815742317595086,0.44241125492092465,0.35876548367790606
SRIC3 FP Equity_DX_DEMAND_SUPPLY_RATIO,5,1486,-0.11907045354116282,4.1739455207735595e-06,-0.06600642582396615,0.010924813441700567,-0.05402545382352365,0.008092948688445054,0.38497847642464,-0.26098420559876917,9.705865915191648,0.014177772906498465,0.013513472214386923,4.173945520761823e-06,0.11907045354116282,0.06600642582396615,0.05402545382352365
SRIC3 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,5,1486,-0.10169910727947808,8.592182336512485e-05,-0.0664395378477338,0.010412180875412728,-0.056565706193539574,0.00608857244487231,0.27180323446464105,-0.0023246210283471014,9.70696925073435,0.010342708421442914,0.009675823454071919,8.59218233654963e-05,0.10169910727947808,0.0664395378477338,0.056565706193539574
SRIC3 FP Equity_DX_BROKER_SI_CON_RATIO,5,1486,-0.10068370823963142,0.00010114033471632787,-0.0663103744312198,0.0105627744563775,-0.056307920939896276,0.006324695249019411,0.25713825445748695,-0.23885487475358674,9.706195303986256,0.01013720910488336,0.009470185660883867,0.0001011403347162688,0.10068370823963142,0.0663103744312198,0.056307920939896276
SRIC3 FP Equity_DX_UTILIZATION_QUANTITY,5,1486,-0.09718103304622162,0.0001754780198178877,-0.06563109433099214,0.011387051136693768,-0.054893354623334265,0.007228882951772561,0.3610406828700021,-0.0027992611791086116,9.701299384651513,0.009444153183931214,0.008776662721117101,0.0001754780198180194,0.09718103304622162,0.06563109433099214,0.054893354623334265
SRIC3 FP Equity_DX_ACTIVE_UTILIZATION_MV,5,1486,-0.08989813069481659,0.0005213035230163771,-0.06369373453546351,0.01405962538202231,-0.052396896988343225,0.013319685622071085,0.20026394984491547,-0.001863348101408251,9.703610677058537,0.008081673902422648,0.007413265326885132,0.0005213035230146036,0.08989813069481659,0.06369373453546351,0.052396896988343225
SRIC3 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,5,1486,-0.08989813069481659,0.0005213035230163771,-0.06369373453546351,0.01405962538202231,-0.052396896988343225,0.013319685622071085,0.20026394984491547,-0.001863348101408251,9.703610677058537,0.008081673902422648,0.007413265326885132,0.0005213035230146036,0.08989813069481659,0.06369373453546351,0.052396896988343225
SRIC3 FP Equity_DX_SUPPLY_SI_QTY_INC_y,5,1486,-0.06091365935542839,0.018857022843986274,-0.027876948249357478,0.28285688343885035,-0.022938337198477418,0.2775926599802274,0.0,-1.9090405868747213e-05,9.678489573891039,0.0037104738960693773,0.0030391197679670023,0.01885702284398328,0.06091365935542839,0.027876948249357478,0.022938337198477418
SRIC3 FP Equity_DX_SUPPLY_SI_QTY_INC_x,5,1486,-0.06091365935542839,0.018857022843986274,-0.027876948249357478,0.28285688343885035,-0.022938337198477418,0.2775926599802274,0.0,-1.9090405868747213e-05,9.678489573891039,0.0037104738960693773,0.0030391197679670023,0.01885702284398328,0.06091365935542839,0.027876948249357478,0.022938337198477418
SRIC3 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,5,1486,-0.04959077766517268,0.055975566734533334,-0.024006668222157135,0.3550805321190841,-0.018877871866822115,0.3647351141367885,0.139331818961405,-0.005405702529696185,9.683409032014495,0.002459245229436968,0.001787047955332799,0.0559755667345432,0.04959077766517268,0.024006668222157135,0.018877871866822115
SRIC3 FP Equity_DX_BROKER_SI_QTY_ADD,5,1486,-0.04693327172042491,0.07049926028022467,-0.024445942219122618,0.34634303249368137,-0.019945939323119,0.3450351016448807,0.0,-1.2008748812647986e-05,9.67718324258108,0.0022027319943834778,0.0015303618676950625,0.07049926028018606,0.04693327172042491,0.024445942219122618,0.019945939323119
SRIC3 FP Equity_DX_BROKER_SI_MV_ADD,5,1486,-0.046208231336695146,0.07495851044262454,-0.020484568145339093,0.4300704172383939,-0.016767709630013138,0.4274482558040319,0.0,-1.2253494642913771,9.677138198277998,0.0021352006432657777,0.0014627850102760798,0.07495851044261023,0.046208231336695146,0.020484568145339093,0.016767709630013138
SRIC3 FP Equity_DX_SUPPLY_SI_MV_DEC,5,1486,-0.010267462213811094,0.6924928296463772,-0.025782656742889216,0.3206047638858497,-0.02115381338208439,0.3155212104068216,0.013602883876750793,-0.151446126779073,9.675099307027661,0.00010542078031239299,-0.0005683626288652821,0.6924928296462826,0.010267462213811094,0.025782656742889216,0.02115381338208439
SRIC3 FP Equity_DX_SUPPLY_SI_QTY_DEC,5,1486,-0.009885540164790861,0.703379074865171,-0.023367677301014633,0.3680362929154919,-0.0193157077053192,0.359193147818361,0.014295159552860426,-1.4155843216500718e-06,9.675067243921623,9.772390435003331e-05,-0.0005760646914017009,0.7033790748649864,0.009885540164790861,0.023367677301014633,0.0193157077053192
